lineId,componentWordId,description,critical,field,value,status,sourceRef,sourceQuote,retrievedAt,nextAction
structure_containment_rack_chassis_1u_rack_chassis,1u_rack_chassis,1U rack chassis,true,supplier,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_rack_chassis_1u_rack_chassis,1u_rack_chassis,1U rack chassis,true,manufacturer,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_rack_chassis_1u_rack_chassis,1u_rack_chassis,1U rack chassis,true,mpn,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_rack_chassis_1u_rack_chassis,1u_rack_chassis,1U rack chassis,true,unit_cost_gbp,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_rack_chassis_1u_rack_chassis,1u_rack_chassis,1U rack chassis,true,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_rack_chassis_slide_rail_kit,slide_rail_kit,slide rail kit,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_rack_chassis_slide_rail_kit,slide_rail_kit,slide rail kit,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_rack_chassis_slide_rail_kit,slide_rail_kit,slide rail kit,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_rack_chassis_slide_rail_kit,slide_rail_kit,slide rail kit,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_rack_chassis_slide_rail_kit,slide_rail_kit,slide rail kit,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_rack_chassis_internal_divider_panel,internal_divider_panel,internal divider panel,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_rack_chassis_internal_divider_panel,internal_divider_panel,internal divider panel,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_rack_chassis_internal_divider_panel,internal_divider_panel,internal divider panel,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_rack_chassis_internal_divider_panel,internal_divider_panel,internal divider panel,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_rack_chassis_internal_divider_panel,internal_divider_panel,internal divider panel,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_rack_chassis_front_bezel_assembly,front_bezel_assembly,front bezel assembly,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_rack_chassis_front_bezel_assembly,front_bezel_assembly,front bezel assembly,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_rack_chassis_front_bezel_assembly,front_bezel_assembly,front bezel assembly,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_rack_chassis_front_bezel_assembly,front_bezel_assembly,front bezel assembly,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_rack_chassis_front_bezel_assembly,front_bezel_assembly,front bezel assembly,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_accelerator_retention_bracket,accelerator_retention_bracket,accelerator retention bracket,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_accelerator_retention_bracket,accelerator_retention_bracket,accelerator retention bracket,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_accelerator_retention_bracket,accelerator_retention_bracket,accelerator retention bracket,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_accelerator_retention_bracket,accelerator_retention_bracket,accelerator retention bracket,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_accelerator_retention_bracket,accelerator_retention_bracket,accelerator retention bracket,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_pcie_riser_support,pcie_riser_support,PCIe riser support,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_pcie_riser_support,pcie_riser_support,PCIe riser support,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_pcie_riser_support,pcie_riser_support,PCIe riser support,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_pcie_riser_support,pcie_riser_support,PCIe riser support,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_pcie_riser_support,pcie_riser_support,PCIe riser support,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_card_stiffener_rail,card_stiffener_rail,card stiffener rail,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_card_stiffener_rail,card_stiffener_rail,card stiffener rail,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_card_stiffener_rail,card_stiffener_rail,card stiffener rail,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_card_stiffener_rail,card_stiffener_rail,card stiffener rail,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_card_stiffener_rail,card_stiffener_rail,card stiffener rail,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_gpu_airflow_baffle,gpu_airflow_baffle,GPU airflow baffle,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_gpu_airflow_baffle,gpu_airflow_baffle,GPU airflow baffle,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_gpu_airflow_baffle,gpu_airflow_baffle,GPU airflow baffle,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_gpu_airflow_baffle,gpu_airflow_baffle,GPU airflow baffle,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_accelerator_mounting_gpu_airflow_baffle,gpu_airflow_baffle,GPU airflow baffle,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_service_labelling_asset_label_plate,asset_label_plate,asset label plate,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_service_labelling_asset_label_plate,asset_label_plate,asset label plate,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_service_labelling_asset_label_plate,asset_label_plate,asset label plate,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_service_labelling_asset_label_plate,asset_label_plate,asset label plate,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_service_labelling_asset_label_plate,asset_label_plate,asset label plate,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_service_labelling_airflow_direction_label,airflow_direction_label,airflow direction label,false,supplier,,not_claimed,,,,No claim is made for this field yet.
