rowType,id,moduleId,moduleName,subModuleId,subModuleName,componentWordId,label,status,interfaces,componentWordIds,criticalComponentWordIds,duplicateComponentWordIds,blockers,requiredAction
submodule,skin_patient_interface:adhesive_patch_stack,skin_patient_interface,Skin Patient Interface,adhesive_patch_stack,Adhesive patch stack,,,ready,adhesive_skin_boundary; interstitial_fluid_path; sterile_boundary,adhesive_skin_patch; hydrocolloid_edge_seal; breathable_backing_film; pull_tab_liner,adhesive_skin_patch,,,Submodule has component candidates and no allocation blocker.
submodule,skin_patient_interface:cannula_skin_contact,skin_patient_interface,Skin Patient Interface,cannula_skin_contact,Sensor skin contact,,,ready,interstitial_fluid_path; insertion_path; sterile_boundary,skin_contact_gasket; filament_entry_seal; antimicrobial_contact_pad; insertion_site_spacing_ring,,,,Submodule has component candidates and no allocation blocker.
submodule,skin_patient_interface:wear_comfort_retention,skin_patient_interface,Skin Patient Interface,wear_comfort_retention,Wear comfort and retention,,,ready,adhesive_skin_boundary; service_access,flex_relief_bridge; sweat_channel_texture; patch_stretch_zone; removal_aid_tab,,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:glucose_filament_stack,sensing_instrumentation,Glucose Sensing Instrumentation,glucose_filament_stack,Glucose filament stack,,,ready,interstitial_fluid_path; electrode_signal_path; analog_power_rail,glucose_sensing_filament; enzyme_reagent_membrane; reference_electrode; diffusion_limiting_membrane,glucose_sensing_filament; enzyme_reagent_membrane; reference_electrode,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:analog_front_end,sensing_instrumentation,Glucose Sensing Instrumentation,analog_front_end,Analog front end,,,ready,electrode_signal_path; sensor_signal_bus; analog_power_rail,potentiostat_afe; low_leakage_input_guard; electrode_flex_tail; sensor_bias_resistor_network,,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:calibration_drift_monitoring,sensing_instrumentation,Glucose Sensing Instrumentation,calibration_drift_monitoring,Calibration and drift monitoring,,,ready,sensor_signal_bus; calibration_data_bus; temperature_compensation_bus,calibration_data_eeprom; drift_estimator_firmware_table; factory_calibration_code; signal_integrity_test_pad,,,,Submodule has component candidates and no allocation blocker.
submodule,actuation_kinematics:disposable_applicator,actuation_kinematics,Applicator Insertion Mechanism,disposable_applicator,Disposable applicator,,,ready,insertion_path; sterile_boundary; user_trigger,disposable_applicator; spring_insertion_driver; trigger_button; safety_cap,disposable_applicator,,,Submodule has component candidates and no allocation blocker.
submodule,actuation_kinematics:insertion_mechanism,actuation_kinematics,Applicator Insertion Mechanism,insertion_mechanism,Insertion mechanism,,,ready,insertion_path; user_trigger,introducer_needle; filament_deployment_shuttle; depth_stop_collar; retraction_latch,,,,Submodule has component candidates and no allocation blocker.
submodule,actuation_kinematics:sharps_lockout,actuation_kinematics,Applicator Insertion Mechanism,sharps_lockout,Sharps lockout,,,ready,service_access; sterile_boundary,needle_shield; post_use_lock_tab; applicator_status_window; trigger_interlock_spring,,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:transmitter_housing,structure_containment,Transmitter Housing Structure,transmitter_housing,Transmitter housing,,,ready,electronics_mount; ingress_boundary; adhesive_skin_boundary,protective_transmitter_housing; ultrasonic_weld_seam; electronics_carrier_tray; ingress_gasket,protective_transmitter_housing,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:patch_mechanical_frame,structure_containment,Transmitter Housing Structure,patch_mechanical_frame,Patch mechanical frame,,,ready,electronics_mount; adhesive_skin_boundary; insertion_path,flexible_patch_frame; sensor_port_boss; transmitter_latch_rail; strain_relief_web,,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:ingress_boundary,structure_containment,Transmitter Housing Structure,ingress_boundary,Ingress boundary,,,ready,ingress_boundary; service_access,hydrophobic_vent_membrane; ip_ingress_seal; splash_shield_lip; housing_serial_marking,,,,Submodule has component candidates and no allocation blocker.
submodule,energy_storage_source:battery_cell,energy_storage_source,Wearable Energy Source,battery_cell,Battery cell,,,ready,cell_power_bus; lot_traceability,thin_film_battery; battery_weld_tab; battery_pouch_insulator; state_of_charge_witness_pad,thin_film_battery,,,Submodule has component candidates and no allocation blocker.
submodule,energy_storage_source:power_reserve,energy_storage_source,Wearable Energy Source,power_reserve,Power reserve,,,ready,cell_power_bus; service_access,brownout_hold_up_capacitor; battery_cut_off_tab; shelf_life_isolation_film; activation_pull_strip,,,,Submodule has component candidates and no allocation blocker.
submodule,energy_storage_source:battery_safety,energy_storage_source,Wearable Energy Source,battery_safety,Battery safety,,,ready,cell_power_bus; lot_traceability,battery_vent_clearance; reverse_polarity_fuse; pack_temperature_dot; battery_lot_barcode,,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:low_power_rails,power_distribution,Low-Power Distribution,low_power_rails,Low-power rails,,,ready,cell_power_bus; low_power_rail; hardwired_trip,nanoamp_power_switch; digital_buck_regulator; rail_measurement_divider; wake_timer_oscillator,,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:analog_excitation,power_distribution,Low-Power Distribution,analog_excitation,Analog excitation,,,ready,cell_power_bus; analog_power_rail; sensor_signal_bus,sensor_excitation_mux; analog_power_filter; electrode_guard_driver; afe_wake_timer,,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:power_fault_handling,power_distribution,Low-Power Distribution,power_fault_handling,Power fault handling,,,ready,hardwired_trip; low_power_rail; analog_power_rail,hardwired_reset_supervisor; overcurrent_limiter; load_gate_transistor; fault_latch,,,,Submodule has component candidates and no allocation blocker.
