activityId,activity,status,evidenceKind,moduleId,moduleName,requirementIds,sanityCheckIds,interfaceIds,componentWordIds,acceptanceCriteria,blockers
design_review:energy_conversion_transduction,Review Refrigerant Energy Conversion architecture allocation,ready_for_review,design_review,energy_conversion_transduction,Refrigerant Energy Conversion,thermal_output_kw; cop,heatpump_cop_input_power; heatpump_refrigerant_hydronic_closure,refrigerant_loop; hydronic_loop; control_bus; protective_earth; service_access; sensor_bus,inverter_scroll_compressor; compressor_inverter_drive; compressor_mounting_grommet_set; crankcase_heater_band; electronic_expansion_valve; eev_stepper_harness; liquid_line_filter_drier; sight_glass_indicator; copper_refrigerant_tube_set; service_valve_pair; brazed_joint_sleeve_set; refrigerant_charge_label; refrigerant_stub_out_pair; hydronic_stub_out_pair; plate_heat_exchanger_mounting_bracket; condenser_insulation_sleeve,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:energy_conversion_transduction,Verify Refrigerant Energy Conversion requirement calculations,ready_for_review,calculation,energy_conversion_transduction,Refrigerant Energy Conversion,thermal_output_kw; cop,heatpump_cop_input_power; heatpump_refrigerant_hydronic_closure,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:energy_conversion_transduction,Collect source-backed evidence for Refrigerant Energy Conversion critical components,blocked,source_evidence,energy_conversion_transduction,Refrigerant Energy Conversion,thermal_output_kw; cop,,,inverter_scroll_compressor; electronic_expansion_valve,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",inverter_scroll_compressor electronic_expansion_valve
design_review:environmental_interface,Review Outdoor Air Interface architecture allocation,ready_for_review,design_review,environmental_interface,Outdoor Air Interface,thermal_output_kw,heatpump_cop_input_power; heatpump_refrigerant_hydronic_closure,refrigerant_loop; airflow_path; condensate_drain; sensor_bus; control_bus; protective_earth; service_access,outdoor_finned_evaporator_coil; coil_temperature_sensor; coil_guard_grille; hydrophilic_fin_coating; variable_speed_fan_assembly; ec_fan_motor_controller; fan_shroud; inlet_debris_screen; condensate_drain_tray; trace_heater_cable; defrost_temperature_probe; drain_hose_barb,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:environmental_interface,Verify Outdoor Air Interface requirement calculations,ready_for_review,calculation,environmental_interface,Outdoor Air Interface,thermal_output_kw,heatpump_cop_input_power; heatpump_refrigerant_hydronic_closure,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:environmental_interface,Collect source-backed evidence for Outdoor Air Interface critical components,blocked,source_evidence,environmental_interface,Outdoor Air Interface,thermal_output_kw,,,outdoor_finned_evaporator_coil; variable_speed_fan_assembly,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",outdoor_finned_evaporator_coil variable_speed_fan_assembly
design_review:mass_fluid_transport_process,Review Hydronic Heat Delivery architecture allocation,ready_for_review,design_review,mass_fluid_transport_process,Hydronic Heat Delivery,thermal_output_kw,heatpump_cop_input_power; heatpump_refrigerant_hydronic_closure,hydronic_loop; pressure_relief; sensor_bus; service_access; refrigerant_loop; control_bus; protective_earth,brazed_plate_heat_exchanger; plate_exchanger_insulation_jacket; water_outlet_temperature_sensor; refrigerant_outlet_temperature_sensor; hydronic_circulation_pump; pump_isolation_valve_pair; flow_proving_switch; strainer_filter; hydronic_safety_valve_kit; expansion_vessel; automatic_air_vent; fill_and_drain_valve_set,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:mass_fluid_transport_process,Verify Hydronic Heat Delivery requirement calculations,ready_for_review,calculation,mass_fluid_transport_process,Hydronic Heat Delivery,thermal_output_kw,heatpump_cop_input_power; heatpump_refrigerant_hydronic_closure,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:mass_fluid_transport_process,Collect source-backed evidence for Hydronic Heat Delivery critical components,blocked,source_evidence,mass_fluid_transport_process,Hydronic Heat Delivery,thermal_output_kw,,,brazed_plate_heat_exchanger; hydronic_circulation_pump; hydronic_safety_valve_kit,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",brazed_plate_heat_exchanger hydronic_circulation_pump hydronic_safety_valve_kit
design_review:control_compute_communication,Review Control Compute Communication architecture allocation,ready_for_review,design_review,control_compute_communication,Control Compute Communication,cop,heatpump_cop_input_power; heatpump_refrigerant_hydronic_closure,control_bus; sensor_bus; service_port; alarm_bus; protective_earth,heat_pump_controller_pcb; controller_enclosure; real_time_clock_module; non_volatile_fault_memory; compressor_contactor; pump_relay_output; fan_pwm_output_board; safety_chain_input_terminal; modbus_service_port; usb_commissioning_adapter; fault_led_stack; installer_qr_code_label,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:control_compute_communication,Verify Control Compute Communication requirement calculations,ready_for_review,calculation,control_compute_communication,Control Compute Communication,cop,heatpump_cop_input_power; heatpump_refrigerant_hydronic_closure,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:control_compute_communication,Collect source-backed evidence for Control Compute Communication critical components,blocked,source_evidence,control_compute_communication,Control Compute Communication,cop,,,heat_pump_controller_pcb,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",heat_pump_controller_pcb
design_review:sensing_instrumentation,Review Sensing Instrumentation architecture allocation,ready_for_review,design_review,sensing_instrumentation,Sensing Instrumentation,cop,heatpump_cop_input_power; heatpump_refrigerant_hydronic_closure,sensor_bus; refrigerant_loop; hydronic_loop; airflow_path,refrigerant_sensor_and_pressure_transducers; suction_temperature_probe; discharge_temperature_probe; refrigerant_leak_sensor; flow_temperature_sensor; return_temperature_sensor; flow_meter_cartridge; water_pressure_transducer; ambient_temperature_sensor; ambient_humidity_sensor; air_pressure_switch; rain_ingress_sensor,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:sensing_instrumentation,Verify Sensing Instrumentation requirement calculations,ready_for_review,calculation,sensing_instrumentation,Sensing Instrumentation,cop,heatpump_cop_input_power; heatpump_refrigerant_hydronic_closure,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:sensing_instrumentation,Collect source-backed evidence for Sensing Instrumentation critical components,blocked,source_evidence,sensing_instrumentation,Sensing Instrumentation,cop,,,refrigerant_sensor_and_pressure_transducers,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",refrigerant_sensor_and_pressure_transducers
design_review:power_distribution,Review Electrical Power Distribution architecture allocation,ready_for_review,design_review,power_distribution,Electrical Power Distribution,,,mains_supply; protective_earth; control_bus; service_access; sensor_bus,lockable_isolator_switch; mcb_breaker_set; rcd_protection_device; surge_protection_device; 24_v_dc_power_supply; terminal_rail_assembly; fused_auxiliary_terminal; protective_earth_bar; segregated_cable_duct; ip_rated_cable_gland_set; emc_ferrite_clamp_set; wiring_diagram_label,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
design_review:structure_containment,Review Monobloc Structure And Containment architecture allocation,ready_for_review,design_review,structure_containment,Monobloc Structure And Containment,,,airflow_path; condensate_drain; service_access; mechanical_mounts; protective_earth,galvanised_steel_cabinet; powder_coated_access_panel; epdm_door_gasket; ip_rated_fastener_set; anti_vibration_foot_set; base_rail_pair; condensate_fall_spacer; lifting_lug_set; removable_service_panel; hinged_controller_cover; quarter_turn_latch_set; service_clearance_label,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
design_review:safety_protection,Review Safety Protection architecture allocation,ready_for_review,design_review,safety_protection,Safety Protection,,,pressure_relief; alarm_bus; protective_earth; sensor_bus; refrigerant_loop; hydronic_loop; control_bus; mains_supply,high_pressure_cut_out_switch; low_pressure_cut_out_switch; refrigerant_leak_alarm_output; refrigerant_warning_label; anti_freeze_thermostat; backup_immersion_heater_relay; drain_down_instruction_label; glycol_compatibility_tag; earth_continuity_test_point; touch_safe_terminal_cover; over_temperature_cut_out; safety_compliance_label,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
design_review:maintenance_serviceability,Review Maintenance And Commissioning architecture allocation,ready_for_review,design_review,maintenance_serviceability,Maintenance And Commissioning,,,service_access; service_port; refrigerant_loop; hydronic_loop; airflow_path; sensor_bus; control_bus,refrigerant_service_port_cap_set; hydronic_drain_cock; pressure_gauge_pocket; commissioning_checklist_card; cleanable_y_strainer_basket; coil_cleaning_access_cover; service_interval_label; spare_gasket_kit; diagnostic_test_header; fault_code_label; data_log_export_button; installer_handover_record,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
design_review:hmi_ergonomics,Review User And Installer Interface architecture allocation,ready_for_review,design_review,hmi_ergonomics,User And Installer Interface,,,service_port; alarm_bus; control_bus; service_access,lcd_status_display; menu_button_membrane; weatherproof_display_window; mode_indicator_led_set; thermostat_input_terminal; modbus_room_controller_link; demand_signal_opto_isolator; installer_wiring_label; alarm_relay_output; user_quick_start_label; fault_reset_button; qr_service_documentation_label,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
interface_review:environmental_interface:energy_conversion_transduction:refrigerant_loop,Verify refrigerant_loop interface contract,ready_for_review,interface_review,environmental_interface:energy_conversion_transduction,Outdoor Air Interface -> Refrigerant Energy Conversion,,,refrigerant_loop,outdoor_finned_evaporator_coil; coil_temperature_sensor; coil_guard_grille; hydrophilic_fin_coating; inverter_scroll_compressor; compressor_inverter_drive; compressor_mounting_grommet_set; crankcase_heater_band; electronic_expansion_valve; eev_stepper_harness; liquid_line_filter_drier; sight_glass_indicator; copper_refrigerant_tube_set; service_valve_pair; brazed_joint_sleeve_set; refrigerant_charge_label; refrigerant_stub_out_pair; hydronic_stub_out_pair; plate_heat_exchanger_mounting_bracket; condenser_insulation_sleeve,"Both endpoint modules declare the interface. At least one submodule carrier is named on each endpoint. Electrical, thermal, fluid, mechanical or data capacity is validated by the next detailed design pass.",
interface_review:energy_conversion_transduction:mass_fluid_transport_process:hydronic_loop,Verify hydronic_loop interface contract,ready_for_review,interface_review,energy_conversion_transduction:mass_fluid_transport_process,Refrigerant Energy Conversion -> Hydronic Heat Delivery,,,hydronic_loop,refrigerant_stub_out_pair; hydronic_stub_out_pair; plate_heat_exchanger_mounting_bracket; condenser_insulation_sleeve; brazed_plate_heat_exchanger; plate_exchanger_insulation_jacket; water_outlet_temperature_sensor; refrigerant_outlet_temperature_sensor; hydronic_circulation_pump; pump_isolation_valve_pair; flow_proving_switch; strainer_filter; hydronic_safety_valve_kit; expansion_vessel; automatic_air_vent; fill_and_drain_valve_set,"Both endpoint modules declare the interface. At least one submodule carrier is named on each endpoint. Electrical, thermal, fluid, mechanical or data capacity is validated by the next detailed design pass.",
interface_review:control_compute_communication:energy_conversion_transduction:control_bus,Verify control_bus interface contract,ready_for_review,interface_review,control_compute_communication:energy_conversion_transduction,Control Compute Communication -> Refrigerant Energy Conversion,,,control_bus,heat_pump_controller_pcb; controller_enclosure; real_time_clock_module; non_volatile_fault_memory; compressor_contactor; pump_relay_output; fan_pwm_output_board; safety_chain_input_terminal; inverter_scroll_compressor; compressor_inverter_drive; compressor_mounting_grommet_set; crankcase_heater_band; electronic_expansion_valve; eev_stepper_harness; liquid_line_filter_drier; sight_glass_indicator,"Both endpoint modules declare the interface. At least one submodule carrier is named on each endpoint. Electrical, thermal, fluid, mechanical or data capacity is validated by the next detailed design pass.",
interface_review:sensing_instrumentation:control_compute_communication:sensor_bus,Verify sensor_bus interface contract,ready_for_review,interface_review,sensing_instrumentation:control_compute_communication,Sensing Instrumentation -> Control Compute Communication,,,sensor_bus,refrigerant_sensor_and_pressure_transducers; suction_temperature_probe; discharge_temperature_probe; refrigerant_leak_sensor; flow_temperature_sensor; return_temperature_sensor; flow_meter_cartridge; water_pressure_transducer; ambient_temperature_sensor; ambient_humidity_sensor; air_pressure_switch; rain_ingress_sensor; heat_pump_controller_pcb; controller_enclosure; real_time_clock_module; non_volatile_fault_memory; modbus_service_port; usb_commissioning_adapter; fault_led_stack; installer_qr_code_label,"Both endpoint modules declare the interface. At least one submodule carrier is named on each endpoint. Electrical, thermal, fluid, mechanical or data capacity is validated by the next detailed design pass.",
compliance_review:EN-14511,Plan evidence for EN-14511,open,compliance_review,system_compliance,System Compliance,,,,,"Capacity, COP and operating-point test evidence.",Compliance evidence not yet collected in scratch prototype.
compliance_review:EN-378,Plan evidence for EN-378,open,compliance_review,system_compliance,System Compliance,,,,,"Refrigerant charge, pressure protection and safety assessment.",Compliance evidence not yet collected in scratch prototype.
compliance_review:EN-60335-2-40,Plan evidence for EN-60335-2-40,open,compliance_review,system_compliance,System Compliance,,,,,"Electrical safety, leakage, temperature and abnormal-operation evidence.",Compliance evidence not yet collected in scratch prototype.
risk_review:1,Review risk control for Refrigerant leak or flammability hazard,open,compliance_review,system_risk,System Risk Register,,,,,"Severity, occurrence and detection ratings have been reviewed by a domain owner. Mitigation is accepted, corrected or converted into a design action. Any residual high-risk item has an owner before publication.",Risk evidence not yet reviewed in scratch prototype.
risk_review:2,Review risk control for Frozen outdoor coil reduces capacity,open,compliance_review,system_risk,System Risk Register,,,,,"Severity, occurrence and detection ratings have been reviewed by a domain owner. Mitigation is accepted, corrected or converted into a design action. Any residual high-risk item has an owner before publication.",Risk evidence not yet reviewed in scratch prototype.
risk_review:3,Review risk control for Hydronic overpressure or low flow,open,compliance_review,system_risk,System Risk Register,,,,,"Severity, occurrence and detection ratings have been reviewed by a domain owner. Mitigation is accepted, corrected or converted into a design action. Any residual high-risk item has an owner before publication.",Risk evidence not yet reviewed in scratch prototype.
