batchId,batchSequence,batchKind,batchTitle,batchStatus,itemId,closureRowId,action,priority,status,componentWordId,description,searchTerms,requiredEvidence,acceptanceCriteria,rejectionCriteria,targetOutcome,blocksProcurement,sourceArtifacts
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:1:heat_pump_controller_pcb,bom-close:control_compute_communication_main_controller_heat_pump_controller_pcb,collect_source_evidence,blocker,ready,heat_pump_controller_pcb,Heat pump controller PCB,Heat pump controller PCB; Heat pump controller PCB manufacturer part number; Heat pump controller PCB catalogue price GBP; Heat pump controller PCB datasheet,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:2:inverter_scroll_compressor,bom-close:energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor,collect_source_evidence,blocker,ready,inverter_scroll_compressor,Inverter scroll compressor,Inverter scroll compressor; Inverter scroll compressor manufacturer part number; Inverter scroll compressor catalogue price GBP; Inverter scroll compressor datasheet,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:3:electronic_expansion_valve,bom-close:energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve,collect_source_evidence,blocker,ready,electronic_expansion_valve,Electronic expansion valve,Electronic expansion valve; Electronic expansion valve manufacturer part number; Electronic expansion valve catalogue price GBP; Electronic expansion valve datasheet,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:4:variable_speed_fan_assembly,bom-close:environmental_interface_fan_air_path_variable_speed_fan_assembly,collect_source_evidence,blocker,ready,variable_speed_fan_assembly,Variable-speed fan assembly,Variable-speed fan assembly; Variable-speed fan assembly manufacturer part number; Variable-speed fan assembly catalogue price GBP; Variable-speed fan assembly datasheet,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:5:outdoor_finned_evaporator_coil,bom-close:environmental_interface_outdoor_evaporator_outdoor_finned_evaporator_coil,collect_source_evidence,blocker,ready,outdoor_finned_evaporator_coil,Outdoor finned evaporator coil,Outdoor finned evaporator coil; Outdoor finned evaporator coil manufacturer part number; Outdoor finned evaporator coil catalogue price GBP; Outdoor finned evaporator coil datasheet,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:6:hydronic_circulation_pump,bom-close:mass_fluid_transport_process_circulation_pump_group_hydronic_circulation_pump,collect_source_evidence,blocker,ready,hydronic_circulation_pump,Hydronic circulation pump,Hydronic circulation pump; Hydronic circulation pump manufacturer part number; Hydronic circulation pump catalogue price GBP; Hydronic circulation pump datasheet,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:7:brazed_plate_heat_exchanger,bom-close:mass_fluid_transport_process_condenser_heat_exchanger_brazed_plate_heat_exchanger,collect_source_evidence,blocker,ready,brazed_plate_heat_exchanger,Brazed plate heat exchanger,Brazed plate heat exchanger; Brazed plate heat exchanger manufacturer part number; Brazed plate heat exchanger catalogue price GBP; Brazed plate heat exchanger datasheet,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:8:hydronic_safety_valve_kit,bom-close:mass_fluid_transport_process_hydronic_safety_group_hydronic_safety_valve_kit,collect_source_evidence,blocker,ready,hydronic_safety_valve_kit,Hydronic safety valve kit,Hydronic safety valve kit; Hydronic safety valve kit manufacturer part number; Hydronic safety valve kit catalogue price GBP; Hydronic safety valve kit datasheet,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:9:refrigerant_sensor_and_pressure_transducers,bom-close:sensing_instrumentation_refrigerant_sensing_refrigerant_sensor_and_pressure_transducers,collect_source_evidence,blocker,ready,refrigerant_sensor_and_pressure_transducers,Refrigerant sensor and pressure transducers,Refrigerant sensor and pressure transducers; Refrigerant sensor and pressure transducers manufacturer part number; Refrigerant sensor and pressure transducers catalogue price GBP; Refrigerant sensor and pressure transducers datasheet,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:6:candidate_sourcing_deferred,6,candidate_sourcing_deferred,Defer Candidate-Only Sourcing,deferred,candidate_sourcing_deferred:1:controller_enclosure,bom-close:control_compute_communication_main_controller_controller_enclosure,defer_candidate_sourcing,minor,deferred,controller_enclosure,controller enclosure,controller enclosure; controller enclosure manufacturer part number; controller enclosure catalogue price GBP; controller enclosure datasheet,no immediate evidence required unless this candidate is promoted to procurement scope,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,candidate remains out of procurement totals,no,*.sourcing-pack.csv; *.bom-evidence-trace.csv; *.bom-evidence-closure-plan.csv
