id,sequence,action,status,priority,lineId,componentWordId,description,traceStatus,requiredEvidence,intakeArtifacts,acceptanceCriteria,rejectionCriteria,blocksCandidateDisplay,blocksPricedReview,blocksProcurement,requiredAction
bom-close:actuation_kinematics_agitation_drive_train_agitation_drive,1,collect_source_evidence,ready,blocker,actuation_kinematics_agitation_drive_train_agitation_drive,agitation_drive,Agitation drive,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:control_compute_communication_process_controller_bioreactor_controller,2,collect_source_evidence,ready,blocker,control_compute_communication_process_controller_bioreactor_controller,bioreactor_controller,Bioreactor controller,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:environmental_interface_exhaust_filter_train_exhaust_filter_and_pressure_relief_set,3,collect_source_evidence,ready,blocker,environmental_interface_exhaust_filter_train_exhaust_filter_and_pressure_relief_set,exhaust_filter_and_pressure_relief_set,Exhaust filter and pressure relief set,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:environmental_interface_temperature_control_loop_temperature_control_loop,4,collect_source_evidence,ready,blocker,environmental_interface_temperature_control_loop_temperature_control_loop,temperature_control_loop,Temperature control loop,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:mass_fluid_transport_process_feed_pump_manifold_peristaltic_feed_pump,5,collect_source_evidence,ready,blocker,mass_fluid_transport_process_feed_pump_manifold_peristaltic_feed_pump,peristaltic_feed_pump,Peristaltic feed pump,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:mass_fluid_transport_process_sparger_gas_mixing_sparger_and_gas_mix_manifold,6,collect_source_evidence,ready,blocker,mass_fluid_transport_process_sparger_gas_mixing_sparger_and_gas_mix_manifold,sparger_and_gas_mix_manifold,Sparger and gas-mix manifold,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:sensing_instrumentation_do_ph_sensing_dissolved_oxygen_optical_sensor,7,collect_source_evidence,ready,blocker,sensing_instrumentation_do_ph_sensing_dissolved_oxygen_optical_sensor,dissolved_oxygen_optical_sensor,Dissolved oxygen optical sensor,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:sensing_instrumentation_do_ph_sensing_single_use_ph_sensor,8,collect_source_evidence,ready,blocker,sensing_instrumentation_do_ph_sensing_single_use_ph_sensor,single_use_ph_sensor,Single-use pH sensor,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:sensing_instrumentation_pressure_mass_temperature_sensing_load_cell_set,9,collect_source_evidence,ready,blocker,sensing_instrumentation_pressure_mass_temperature_sensing_load_cell_set,load_cell_set,Load cell set,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:structure_containment_single_use_bag_chamber_single_use_bioreactor_bag,10,collect_source_evidence,ready,blocker,structure_containment_single_use_bag_chamber_single_use_bioreactor_bag,single_use_bioreactor_bag,Single-use bioreactor bag,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
