id,kind,priority,status,scope,issue,requiredEvidence,closurePath,blocks,linkedIds,source
readiness:1,readiness_blocker,blocker,open,Report readiness gate,bom score 1 is below 8.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",score_repair,publishable,,report_readiness_gate
readiness:2,readiness_blocker,blocker,open,Report readiness gate,12 critical BoM line(s) lack source-backed cost evidence.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",sourcing_intake,bom; publishable,,report_readiness_gate
readiness:3,readiness_blocker,blocker,open,Report readiness gate,7 verification activity/activities remain blocked.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",verification_intake,publishable,,report_readiness_gate
readiness:4,readiness_blocker,blocker,open,Report readiness gate,0/30 non-sourcing verification activity/activities have accepted reviewer evidence.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",verification_intake,publishable,,report_readiness_gate
calculation:auv_endurance_minutes,calculation_review,major,needs_review,AUV endurance minutes,480 minutes mission endurance before energy-budget proof.,"Confirm speed profile, payload load, reserve margin, battery derating and recovery scenario.",engineering_review,publishable,endurance_hours,engineering_calculation_ledger
assumption:metric:headline_output,assumption_review,major,needs_review,Survey endurance,Survey endurance uses endurance_hours with medium confidence.,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",engineering_review,publishable,,engineering_assumption_ledger
assumption:metric:capex_gbp,assumption_review,blocker,ready_for_intake,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,Admit source-backed BoM pricing before treating this cost metric as a claim.,sourcing_intake,bom; publishable,,engineering_assumption_ledger
assumption:metric:opex_annual_gbp,assumption_review,blocker,ready_for_intake,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,Admit source-backed BoM pricing before treating this cost metric as a claim.,sourcing_intake,bom; publishable,,engineering_assumption_ledger
assumption:sanity:auv_depth_rating,assumption_review,major,needs_review,Depth Rating,"Depth Rating currently evaluates as pass against 10 to 600 m for inspection-class AUV prototypes; deeper missions need dedicated pressure-vessel, seal and recovery evidence.","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,depth_rating_m,engineering_assumption_ledger
assumption:sanity:auv_endurance_target,assumption_review,major,needs_review,Survey Endurance Target,"Survey Endurance Target currently evaluates as pass against <=12 h plausible for compact inspection AUV concept, 12-24 h needs battery/drag budget, >24 h is high risk without a detailed energy model.","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,endurance_hours,engineering_assumption_ledger
assumption:sanity:auv_navigation_control_closure,assumption_review,major,needs_review,Navigation/Control Closure,"Navigation/Control Closure currently evaluates as pass against navigation sensor bus, payload data bus, acoustic link and thrust command bus present.","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,endurance_hours,engineering_assumption_ledger
