lineId,componentWordId,description,critical,field,value,status,sourceRef,sourceQuote,retrievedAt,nextAction
energy_storage_source_cell_string_lfp_prismatic_cells,lfp_prismatic_cells,LFP prismatic cells,true,supplier,Protocol Evidence Supplier,source_backed,test-fixture://review-evidence-closure/source/lfp_prismatic_cells,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,Keep source record attached; refresh evidence before procurement use.
energy_storage_source_cell_string_lfp_prismatic_cells,lfp_prismatic_cells,LFP prismatic cells,true,manufacturer,Protocol Evidence Manufacturer,source_backed,test-fixture://review-evidence-closure/source/lfp_prismatic_cells,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,Keep source record attached; refresh evidence before procurement use.
energy_storage_source_cell_string_lfp_prismatic_cells,lfp_prismatic_cells,LFP prismatic cells,true,mpn,PROTOCOL-1-lfp_prismatic_cells,source_backed,test-fixture://review-evidence-closure/source/lfp_prismatic_cells,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,Keep source record attached; refresh evidence before procurement use.
energy_storage_source_cell_string_lfp_prismatic_cells,lfp_prismatic_cells,LFP prismatic cells,true,unit_cost_gbp,100,source_backed,test-fixture://review-evidence-closure/source/lfp_prismatic_cells,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,Keep source record attached; refresh evidence before procurement use.
energy_storage_source_cell_string_lfp_prismatic_cells,lfp_prismatic_cells,LFP prismatic cells,true,lead_time_weeks,8,source_backed,test-fixture://review-evidence-closure/source/lfp_prismatic_cells,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,Keep source record attached; refresh evidence before procurement use.
energy_storage_source_cell_string_cell_to_cell_busbar,cell_to_cell_busbar,cell-to-cell busbar,false,supplier,Protocol Evidence Supplier,source_backed,test-fixture://review-evidence-closure/source/cell_to_cell_busbar,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,Keep source record attached; refresh evidence before procurement use.
energy_storage_source_cell_string_cell_to_cell_busbar,cell_to_cell_busbar,cell-to-cell busbar,false,manufacturer,Protocol Evidence Manufacturer,source_backed,test-fixture://review-evidence-closure/source/cell_to_cell_busbar,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,Keep source record attached; refresh evidence before procurement use.
energy_storage_source_cell_string_cell_to_cell_busbar,cell_to_cell_busbar,cell-to-cell busbar,false,mpn,PROTOCOL-2-cell_to_cell_busbar,source_backed,test-fixture://review-evidence-closure/source/cell_to_cell_busbar,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,Keep source record attached; refresh evidence before procurement use.
energy_storage_source_cell_string_cell_to_cell_busbar,cell_to_cell_busbar,cell-to-cell busbar,false,unit_cost_gbp,101,source_backed,test-fixture://review-evidence-closure/source/cell_to_cell_busbar,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,Keep source record attached; refresh evidence before procurement use.
energy_storage_source_cell_string_cell_to_cell_busbar,cell_to_cell_busbar,cell-to-cell busbar,false,lead_time_weeks,8,source_backed,test-fixture://review-evidence-closure/source/cell_to_cell_busbar,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,Keep source record attached; refresh evidence before procurement use.
