lineId,componentWordId,description,critical,field,value,status,sourceRef,sourceQuote,retrievedAt,nextAction
energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor,inverter_scroll_compressor,Inverter scroll compressor,true,supplier,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor,inverter_scroll_compressor,Inverter scroll compressor,true,manufacturer,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor,inverter_scroll_compressor,Inverter scroll compressor,true,mpn,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor,inverter_scroll_compressor,Inverter scroll compressor,true,unit_cost_gbp,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor,inverter_scroll_compressor,Inverter scroll compressor,true,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_compressor_inverter_stage_compressor_inverter_drive,compressor_inverter_drive,compressor inverter drive,false,supplier,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_compressor_inverter_stage_compressor_inverter_drive,compressor_inverter_drive,compressor inverter drive,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_compressor_inverter_stage_compressor_inverter_drive,compressor_inverter_drive,compressor inverter drive,false,mpn,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_compressor_inverter_stage_compressor_inverter_drive,compressor_inverter_drive,compressor inverter drive,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_compressor_inverter_stage_compressor_inverter_drive,compressor_inverter_drive,compressor inverter drive,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_compressor_inverter_stage_compressor_mounting_grommet_set,compressor_mounting_grommet_set,compressor mounting grommet set,false,supplier,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_compressor_inverter_stage_compressor_mounting_grommet_set,compressor_mounting_grommet_set,compressor mounting grommet set,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_compressor_inverter_stage_compressor_mounting_grommet_set,compressor_mounting_grommet_set,compressor mounting grommet set,false,mpn,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_compressor_inverter_stage_compressor_mounting_grommet_set,compressor_mounting_grommet_set,compressor mounting grommet set,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_compressor_inverter_stage_compressor_mounting_grommet_set,compressor_mounting_grommet_set,compressor mounting grommet set,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_compressor_inverter_stage_crankcase_heater_band,crankcase_heater_band,crankcase heater band,false,supplier,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_compressor_inverter_stage_crankcase_heater_band,crankcase_heater_band,crankcase heater band,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_compressor_inverter_stage_crankcase_heater_band,crankcase_heater_band,crankcase heater band,false,mpn,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_compressor_inverter_stage_crankcase_heater_band,crankcase_heater_band,crankcase heater band,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_compressor_inverter_stage_crankcase_heater_band,crankcase_heater_band,crankcase heater band,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve,electronic_expansion_valve,Electronic expansion valve,true,supplier,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve,electronic_expansion_valve,Electronic expansion valve,true,manufacturer,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve,electronic_expansion_valve,Electronic expansion valve,true,mpn,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve,electronic_expansion_valve,Electronic expansion valve,true,unit_cost_gbp,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve,electronic_expansion_valve,Electronic expansion valve,true,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_expansion_metering_stage_eev_stepper_harness,eev_stepper_harness,EEV stepper harness,false,supplier,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_expansion_metering_stage_eev_stepper_harness,eev_stepper_harness,EEV stepper harness,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_expansion_metering_stage_eev_stepper_harness,eev_stepper_harness,EEV stepper harness,false,mpn,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_expansion_metering_stage_eev_stepper_harness,eev_stepper_harness,EEV stepper harness,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_expansion_metering_stage_eev_stepper_harness,eev_stepper_harness,EEV stepper harness,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_expansion_metering_stage_liquid_line_filter_drier,liquid_line_filter_drier,liquid-line filter drier,false,supplier,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_expansion_metering_stage_liquid_line_filter_drier,liquid_line_filter_drier,liquid-line filter drier,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_expansion_metering_stage_liquid_line_filter_drier,liquid_line_filter_drier,liquid-line filter drier,false,mpn,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_expansion_metering_stage_liquid_line_filter_drier,liquid_line_filter_drier,liquid-line filter drier,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_expansion_metering_stage_liquid_line_filter_drier,liquid_line_filter_drier,liquid-line filter drier,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_expansion_metering_stage_sight_glass_indicator,sight_glass_indicator,sight glass indicator,false,supplier,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_expansion_metering_stage_sight_glass_indicator,sight_glass_indicator,sight glass indicator,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_expansion_metering_stage_sight_glass_indicator,sight_glass_indicator,sight glass indicator,false,mpn,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_expansion_metering_stage_sight_glass_indicator,sight_glass_indicator,sight glass indicator,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_expansion_metering_stage_sight_glass_indicator,sight_glass_indicator,sight glass indicator,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_copper_refrigerant_tube_set,copper_refrigerant_tube_set,copper refrigerant tube set,false,supplier,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_copper_refrigerant_tube_set,copper_refrigerant_tube_set,copper refrigerant tube set,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_copper_refrigerant_tube_set,copper_refrigerant_tube_set,copper refrigerant tube set,false,mpn,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_copper_refrigerant_tube_set,copper_refrigerant_tube_set,copper refrigerant tube set,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_copper_refrigerant_tube_set,copper_refrigerant_tube_set,copper refrigerant tube set,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_service_valve_pair,service_valve_pair,service valve pair,false,supplier,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_service_valve_pair,service_valve_pair,service valve pair,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_service_valve_pair,service_valve_pair,service valve pair,false,mpn,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_service_valve_pair,service_valve_pair,service valve pair,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_service_valve_pair,service_valve_pair,service valve pair,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_brazed_joint_sleeve_set,brazed_joint_sleeve_set,brazed joint sleeve set,false,supplier,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_brazed_joint_sleeve_set,brazed_joint_sleeve_set,brazed joint sleeve set,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_brazed_joint_sleeve_set,brazed_joint_sleeve_set,brazed joint sleeve set,false,mpn,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_brazed_joint_sleeve_set,brazed_joint_sleeve_set,brazed joint sleeve set,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_brazed_joint_sleeve_set,brazed_joint_sleeve_set,brazed joint sleeve set,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_refrigerant_charge_label,refrigerant_charge_label,refrigerant charge label,false,supplier,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_refrigerant_charge_label,refrigerant_charge_label,refrigerant charge label,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_refrigerant_charge_label,refrigerant_charge_label,refrigerant charge label,false,mpn,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_refrigerant_charge_label,refrigerant_charge_label,refrigerant charge label,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_refrigerant_manifold_refrigerant_charge_label,refrigerant_charge_label,refrigerant charge label,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_condenser_coupling_boundary_refrigerant_stub_out_pair,refrigerant_stub_out_pair,refrigerant stub-out pair,false,supplier,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_condenser_coupling_boundary_refrigerant_stub_out_pair,refrigerant_stub_out_pair,refrigerant stub-out pair,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_condenser_coupling_boundary_refrigerant_stub_out_pair,refrigerant_stub_out_pair,refrigerant stub-out pair,false,mpn,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_condenser_coupling_boundary_refrigerant_stub_out_pair,refrigerant_stub_out_pair,refrigerant stub-out pair,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_condenser_coupling_boundary_refrigerant_stub_out_pair,refrigerant_stub_out_pair,refrigerant stub-out pair,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_condenser_coupling_boundary_hydronic_stub_out_pair,hydronic_stub_out_pair,hydronic stub-out pair,false,supplier,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_condenser_coupling_boundary_hydronic_stub_out_pair,hydronic_stub_out_pair,hydronic stub-out pair,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_condenser_coupling_boundary_hydronic_stub_out_pair,hydronic_stub_out_pair,hydronic stub-out pair,false,mpn,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_condenser_coupling_boundary_hydronic_stub_out_pair,hydronic_stub_out_pair,hydronic stub-out pair,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_condenser_coupling_boundary_hydronic_stub_out_pair,hydronic_stub_out_pair,hydronic stub-out pair,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_condenser_coupling_boundary_plate_heat_exchanger_mounting_bracket,plate_heat_exchanger_mounting_bracket,plate heat exchanger mounting bracket,false,supplier,,not_claimed,,,,No claim is made for this field yet.
energy_conversion_transduction_condenser_coupling_boundary_plate_heat_exchanger_mounting_bracket,plate_heat_exchanger_mounting_bracket,plate heat exchanger mounting bracket,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
