activityId,activity,evidenceKind,plannedStatus,ledgerStatus,moduleId,moduleName,reviewerName,evidenceRef,evidenceNote,reviewedAt,residualAction
design_review:structure_containment,Review Rack Structure Containment architecture allocation,design_review,ready_for_review,pending,structure_containment,Rack Structure Containment,,,,,Collect reviewer evidence through the verification intake template.
calculation:structure_containment,Verify Rack Structure Containment requirement calculations,calculation,ready_for_review,pending,structure_containment,Rack Structure Containment,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:structure_containment,Collect source-backed evidence for Rack Structure Containment critical components,source_evidence,blocked,source_evidence_required,structure_containment,Rack Structure Containment,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:compute_acceleration,Review Compute Acceleration architecture allocation,design_review,ready_for_review,pending,compute_acceleration,Compute Acceleration,,,,,Collect reviewer evidence through the verification intake template.
calculation:compute_acceleration,Verify Compute Acceleration requirement calculations,calculation,ready_for_review,pending,compute_acceleration,Compute Acceleration,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:compute_acceleration,Collect source-backed evidence for Compute Acceleration critical components,source_evidence,blocked,source_evidence_required,compute_acceleration,Compute Acceleration,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:network_io,Review Network IO architecture allocation,design_review,ready_for_review,pending,network_io,Network IO,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:network_io,Collect source-backed evidence for Network IO critical components,source_evidence,blocked,source_evidence_required,network_io,Network IO,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:data_storage,Review Data Storage architecture allocation,design_review,ready_for_review,pending,data_storage,Data Storage,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:data_storage,Collect source-backed evidence for Data Storage critical components,source_evidence,blocked,source_evidence_required,data_storage,Data Storage,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:control_compute_communication,Review Control Compute Communication architecture allocation,design_review,ready_for_review,pending,control_compute_communication,Control Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
calculation:control_compute_communication,Verify Control Compute Communication requirement calculations,calculation,ready_for_review,pending,control_compute_communication,Control Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:control_compute_communication,Collect source-backed evidence for Control Compute Communication critical components,source_evidence,blocked,source_evidence_required,control_compute_communication,Control Compute Communication,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:power_distribution,Review Power Distribution architecture allocation,design_review,ready_for_review,pending,power_distribution,Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
calculation:power_distribution,Verify Power Distribution requirement calculations,calculation,ready_for_review,pending,power_distribution,Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:power_distribution,Collect source-backed evidence for Power Distribution critical components,source_evidence,blocked,source_evidence_required,power_distribution,Power Distribution,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:environmental_interface,Review Thermal Airflow Interface architecture allocation,design_review,ready_for_review,pending,environmental_interface,Thermal Airflow Interface,,,,,Collect reviewer evidence through the verification intake template.
calculation:environmental_interface,Verify Thermal Airflow Interface requirement calculations,calculation,ready_for_review,pending,environmental_interface,Thermal Airflow Interface,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:environmental_interface,Collect source-backed evidence for Thermal Airflow Interface critical components,source_evidence,blocked,source_evidence_required,environmental_interface,Thermal Airflow Interface,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:sensing_instrumentation,Review Telemetry Instrumentation architecture allocation,design_review,ready_for_review,pending,sensing_instrumentation,Telemetry Instrumentation,,,,,Collect reviewer evidence through the verification intake template.
design_review:safety_protection,Review Security And Safety Protection architecture allocation,design_review,ready_for_review,pending,safety_protection,Security And Safety Protection,,,,,Collect reviewer evidence through the verification intake template.
calculation:safety_protection,Verify Security And Safety Protection requirement calculations,calculation,ready_for_review,pending,safety_protection,Security And Safety Protection,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:safety_protection,Collect source-backed evidence for Security And Safety Protection critical components,source_evidence,blocked,source_evidence_required,safety_protection,Security And Safety Protection,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:maintenance_serviceability,Review Field Maintenance Serviceability architecture allocation,design_review,ready_for_review,pending,maintenance_serviceability,Field Maintenance Serviceability,,,,,Collect reviewer evidence through the verification intake template.
calculation:maintenance_serviceability,Verify Field Maintenance Serviceability requirement calculations,calculation,ready_for_review,pending,maintenance_serviceability,Field Maintenance Serviceability,,,,,Collect reviewer evidence through the verification intake template.
interface_review:control_compute_communication:compute_acceleration:pcie_fabric,Verify pcie_fabric interface contract,interface_review,ready_for_review,pending,control_compute_communication:compute_acceleration,Control Compute Communication -> Compute Acceleration,,,,,Collect reviewer evidence through the verification intake template.
interface_review:power_distribution:compute_acceleration:gpu_power_bus,Verify gpu_power_bus interface contract,interface_review,ready_for_review,pending,power_distribution:compute_acceleration,Power Distribution -> Compute Acceleration,,,,,Collect reviewer evidence through the verification intake template.
interface_review:network_io:control_compute_communication:inference_network,Verify inference_network interface contract,interface_review,ready_for_review,pending,network_io:control_compute_communication,Network IO -> Control Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
interface_review:data_storage:control_compute_communication:storage_bus,Verify storage_bus interface contract,interface_review,ready_for_review,pending,data_storage:control_compute_communication,Data Storage -> Control Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
interface_review:environmental_interface:compute_acceleration:thermal_path,Verify thermal_path interface contract,interface_review,ready_for_review,pending,environmental_interface:compute_acceleration,Thermal Airflow Interface -> Compute Acceleration,,,,,Collect reviewer evidence through the verification intake template.
interface_review:sensing_instrumentation:control_compute_communication:sensor_bus,Verify sensor_bus interface contract,interface_review,ready_for_review,pending,sensing_instrumentation:control_compute_communication,Telemetry Instrumentation -> Control Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
interface_review:safety_protection:power_distribution:hardwired_trip,Verify hardwired_trip interface contract,interface_review,ready_for_review,pending,safety_protection:power_distribution,Security And Safety Protection -> Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
interface_review:structure_containment:environmental_interface:airflow_path,Verify airflow_path interface contract,interface_review,ready_for_review,pending,structure_containment:environmental_interface,Rack Structure Containment -> Thermal Airflow Interface,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:IEC-62368-1,Plan evidence for IEC-62368-1,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:CE-EMC,Plan evidence for CE-EMC,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:SECURE-BOOT-REVIEW,Plan evidence for SECURE-BOOT-REVIEW,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
risk_review:1,Review risk control for Accelerator thermal throttling or shutdown under rack inlet conditions,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
risk_review:2,Review risk control for Insecure firmware or management interface compromise,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
risk_review:3,"Review risk control for Inference outage from PSU, fan or SSD failure",compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
