id,kind,priority,status,scope,reviewerQuestion,evidenceRequired,acceptanceCriteria,linkedModuleIds,linkedSubModuleIds,linkedComponentWordIds,linkedRequirementIds,linkedInterfaceIds,linkedCalculationIds,blockers
assumption_resolution:compliance:CE-EMC,assumption_resolution,major,needs_review,CE-EMC,"Can the CE-EMC assumption be accepted for architecture review, or must it be replaced with evidence?",EMC test plan and declarations.,"Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:UK-UAS,assumption_resolution,major,needs_review,UK-UAS,"Can the UK-UAS assumption be accepted for architecture review, or must it be replaced with evidence?","Mass, geofencing and operating-category evidence.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:component:actuation_kinematics_esc_stack_esc,assumption_resolution,major,needs_review,ESC,"Can the ESC assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",actuation_kinematics,,esc,,,,
assumption_resolution:component:actuation_kinematics_motor_sets_brushless_motors,assumption_resolution,major,needs_review,Brushless motors,"Can the Brushless motors assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",actuation_kinematics,,brushless_motors,,,,
assumption_resolution:component:actuation_kinematics_propeller_sets_propeller_set,assumption_resolution,major,needs_review,Propeller set,"Can the Propeller set assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",actuation_kinematics,,propeller_set,,,,
assumption_resolution:component:control_compute_communication_flight_controller_stack_flight_controller,assumption_resolution,major,needs_review,Flight controller,"Can the Flight controller assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",control_compute_communication,,flight_controller,,,,
assumption_resolution:component:control_compute_communication_radio_navigation_link_radio_and_gnss_link,assumption_resolution,major,needs_review,Radio and GNSS link,"Can the Radio and GNSS link assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",control_compute_communication,,radio_and_gnss_link,,,,
assumption_resolution:component:energy_storage_source_flight_battery_pack_flight_battery_pack,assumption_resolution,major,needs_review,Flight battery pack,"Can the Flight battery pack assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",energy_storage_source,,flight_battery_pack,,,,
assumption_resolution:component:sensing_instrumentation_camera_payload_4k_camera_payload,assumption_resolution,major,needs_review,4K camera payload,"Can the 4K camera payload assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",sensing_instrumentation,,4k_camera_payload,,,,
assumption_resolution:component:structure_containment_carbon_airframe_carbon_airframe,assumption_resolution,major,needs_review,Carbon airframe,"Can the Carbon airframe assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",structure_containment,,carbon_airframe,,,,
