activityId,activity,evidenceKind,plannedStatus,ledgerStatus,moduleId,moduleName,reviewerName,evidenceRef,evidenceNote,reviewedAt,residualAction
design_review:structure_containment,Review Ultra-Light Wing Structure architecture allocation,design_review,ready_for_review,pending,structure_containment,Ultra-Light Wing Structure,,,,,Collect reviewer evidence through the verification intake template.
calculation:structure_containment,Verify Ultra-Light Wing Structure requirement calculations,calculation,ready_for_review,pending,structure_containment,Ultra-Light Wing Structure,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:structure_containment,Collect source-backed evidence for Ultra-Light Wing Structure critical components,source_evidence,blocked,source_evidence_required,structure_containment,Ultra-Light Wing Structure,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:energy_harvesting,Review Solar Energy Harvesting architecture allocation,design_review,ready_for_review,pending,energy_harvesting,Solar Energy Harvesting,,,,,Collect reviewer evidence through the verification intake template.
calculation:energy_harvesting,Verify Solar Energy Harvesting requirement calculations,calculation,ready_for_review,pending,energy_harvesting,Solar Energy Harvesting,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:energy_harvesting,Collect source-backed evidence for Solar Energy Harvesting critical components,source_evidence,blocked,source_evidence_required,energy_harvesting,Solar Energy Harvesting,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:energy_storage_source,Review Night-Cycle Energy Storage architecture allocation,design_review,ready_for_review,pending,energy_storage_source,Night-Cycle Energy Storage,,,,,Collect reviewer evidence through the verification intake template.
calculation:energy_storage_source,Verify Night-Cycle Energy Storage requirement calculations,calculation,ready_for_review,pending,energy_storage_source,Night-Cycle Energy Storage,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:energy_storage_source,Collect source-backed evidence for Night-Cycle Energy Storage critical components,source_evidence,blocked,source_evidence_required,energy_storage_source,Night-Cycle Energy Storage,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:power_distribution,Review Flight Power Distribution architecture allocation,design_review,ready_for_review,pending,power_distribution,Flight Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
