batchId,batchSequence,batchKind,batchTitle,batchStatus,itemId,closureRowId,action,priority,status,componentWordId,description,searchTerms,requiredEvidence,acceptanceCriteria,rejectionCriteria,targetOutcome,blocksProcurement,sourceArtifacts
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:1:electric_propulsion_pod,bom-close:actuation_kinematics_electric_propulsion_pods_electric_propulsion_pod,collect_source_evidence,blocker,ready,electric_propulsion_pod,Electric propulsion pod,Electric propulsion pod; Electric propulsion pod manufacturer part number; Electric propulsion pod catalogue price GBP; Electric propulsion pod datasheet; Electric propulsion pod HAPS; Electric propulsion pod solar electric aircraft,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:2:flight_control_computer,bom-close:control_compute_communication_flight_control_computer_flight_control_computer,collect_source_evidence,blocker,ready,flight_control_computer,Flight control computer,Flight control computer; Flight control computer manufacturer part number; Flight control computer catalogue price GBP; Flight control computer datasheet; Flight control computer HAPS; Flight control computer solar electric aircraft,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:3:ground_control_link,bom-close:control_compute_communication_ground_command_link_ground_control_link,collect_source_evidence,blocker,ready,ground_control_link,Ground control link,Ground control link; Ground control link manufacturer part number; Ground control link catalogue price GBP; Ground control link datasheet; Ground control link HAPS; Ground control link solar electric aircraft,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:4:mppt_power_tracker,bom-close:energy_harvesting_mppt_conversion_mppt_power_tracker,collect_source_evidence,blocker,ready,mppt_power_tracker,MPPT power tracker,MPPT power tracker; MPPT power tracker manufacturer part number; MPPT power tracker catalogue price GBP; MPPT power tracker datasheet; MPPT power tracker HAPS; MPPT power tracker solar electric aircraft,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:5:solar_cell_array,bom-close:energy_harvesting_solar_skin_array_solar_cell_array,collect_source_evidence,blocker,ready,solar_cell_array,Solar cell array,Solar cell array; Solar cell array manufacturer part number; Solar cell array catalogue price GBP; Solar cell array datasheet; Solar cell array HAPS; Solar cell array solar electric aircraft,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:6:stratospheric_battery_pack,bom-close:energy_storage_source_stratospheric_battery_pack_stratospheric_battery_pack,collect_source_evidence,blocker,ready,stratospheric_battery_pack,Stratospheric battery pack,Stratospheric battery pack; Stratospheric battery pack manufacturer part number; Stratospheric battery pack catalogue price GBP; Stratospheric battery pack datasheet; Stratospheric battery pack HAPS; Stratospheric battery pack solar electric aircraft,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:7:thermal_insulation_blanket,bom-close:environmental_interface_thermal_protection_thermal_insulation_blanket,collect_source_evidence,blocker,ready,thermal_insulation_blanket,Thermal insulation blanket,Thermal insulation blanket; Thermal insulation blanket manufacturer part number; Thermal insulation blanket catalogue price GBP; Thermal insulation blanket datasheet; Thermal insulation blanket HAPS; Thermal insulation blanket solar electric aircraft,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:8:payload_antenna_array,bom-close:payload_communication_antenna_aperture_payload_antenna_array,collect_source_evidence,blocker,ready,payload_antenna_array,Payload antenna array,Payload antenna array; Payload antenna array manufacturer part number; Payload antenna array catalogue price GBP; Payload antenna array datasheet; Payload antenna array HAPS; Payload antenna array solar electric aircraft,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:9:stratospheric_communications_payload,bom-close:payload_communication_payload_radio_stratospheric_communications_payload,collect_source_evidence,blocker,ready,stratospheric_communications_payload,Stratospheric communications payload,Stratospheric communications payload; Stratospheric communications payload manufacturer part number; Stratospheric communications payload catalogue price GBP; Stratospheric communications payload datasheet; Stratospheric communications payload HAPS; Stratospheric communications payload solar electric aircraft,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:10:recovery_parachute_system,bom-close:safety_protection_abort_recovery_recovery_parachute_system,collect_source_evidence,blocker,ready,recovery_parachute_system,Recovery parachute system,Recovery parachute system; Recovery parachute system manufacturer part number; Recovery parachute system catalogue price GBP; Recovery parachute system datasheet; Recovery parachute system HAPS; Recovery parachute system solar electric aircraft,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
