lineId,componentWordId,description,critical,field,value,status,sourceRef,sourceQuote,retrievedAt,nextAction
structure_containment_carbon_airframe_carbon_airframe,carbon_airframe,Carbon airframe,true,supplier,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_carbon_airframe_carbon_airframe,carbon_airframe,Carbon airframe,true,manufacturer,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_carbon_airframe_carbon_airframe,carbon_airframe,Carbon airframe,true,mpn,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_carbon_airframe_carbon_airframe,carbon_airframe,Carbon airframe,true,unit_cost_gbp,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_carbon_airframe_carbon_airframe,carbon_airframe,Carbon airframe,true,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_carbon_fibre_arm_tube,carbon_fibre_arm_tube,carbon fibre arm tube,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_carbon_fibre_arm_tube,carbon_fibre_arm_tube,carbon fibre arm tube,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_carbon_fibre_arm_tube,carbon_fibre_arm_tube,carbon fibre arm tube,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_carbon_fibre_arm_tube,carbon_fibre_arm_tube,carbon fibre arm tube,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_carbon_fibre_arm_tube,carbon_fibre_arm_tube,carbon fibre arm tube,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_centre_plate_pair,centre_plate_pair,centre plate pair,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_centre_plate_pair,centre_plate_pair,centre plate pair,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_centre_plate_pair,centre_plate_pair,centre plate pair,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_centre_plate_pair,centre_plate_pair,centre plate pair,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_centre_plate_pair,centre_plate_pair,centre plate pair,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_arm_folding_hinge,arm_folding_hinge,arm folding hinge,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_arm_folding_hinge,arm_folding_hinge,arm folding hinge,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_arm_folding_hinge,arm_folding_hinge,arm folding hinge,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_arm_folding_hinge,arm_folding_hinge,arm folding hinge,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_arm_folding_hinge,arm_folding_hinge,arm folding hinge,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_landing_gear_strut,landing_gear_strut,landing gear strut,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_landing_gear_strut,landing_gear_strut,landing gear strut,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_landing_gear_strut,landing_gear_strut,landing gear strut,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_carbon_airframe_landing_gear_strut,landing_gear_strut,landing gear strut,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
