id,kind,subjectId,ref,referenceClass,status,reviewerName,timestamp,sourceGrade,reason,requiredAction
sourcing:1:lfp_prismatic_cells,sourcing,lfp_prismatic_cells,test-fixture://review-evidence-closure/source/lfp_prismatic_cells,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:2:cell_to_cell_busbar,sourcing,cell_to_cell_busbar,test-fixture://review-evidence-closure/source/cell_to_cell_busbar,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:3:cell_terminal_hardware_set,sourcing,cell_terminal_hardware_set,test-fixture://review-evidence-closure/source/cell_terminal_hardware_set,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:4:cell_insulation_pad,sourcing,cell_insulation_pad,test-fixture://review-evidence-closure/source/cell_insulation_pad,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:5:module_fuse,sourcing,module_fuse,test-fixture://review-evidence-closure/source/module_fuse,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:6:module_steel_frame,sourcing,module_steel_frame,test-fixture://review-evidence-closure/source/module_steel_frame,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:7:compression_plate,sourcing,compression_plate,test-fixture://review-evidence-closure/source/compression_plate,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:8:compression_tie_rod_set,sourcing,compression_tie_rod_set,test-fixture://review-evidence-closure/source/compression_tie_rod_set,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:9:module_top_cover,sourcing,module_top_cover,test-fixture://review-evidence-closure/source/module_top_cover,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
sourcing:10:rack_label_plate,sourcing,rack_label_plate,test-fixture://review-evidence-closure/source/rack_label_plate,protocol_fixture,protocol_fixture,,2026-05-17T11:40:00.000+01:00,priced,source evidence is a protocol fixture and proves mechanics only.,Replace protocol or non-external BoM evidence with a retrievable supplier/catalogue URL and refreshed timestamp.
