activityId,activity,evidenceKind,reviewerName,verdict,evidenceRef,evidenceNote,reviewedAt
design_review:skin_patient_interface,Review Skin Patient Interface architecture allocation,design_review,,,,,
calculation:skin_patient_interface,Verify Skin Patient Interface requirement calculations,calculation,,,,,
design_review:sensing_instrumentation,Review Glucose Sensing Instrumentation architecture allocation,design_review,,,,,
calculation:sensing_instrumentation,Verify Glucose Sensing Instrumentation requirement calculations,calculation,,,,,
design_review:actuation_kinematics,Review Applicator Insertion Mechanism architecture allocation,design_review,,,,,
design_review:structure_containment,Review Transmitter Housing Structure architecture allocation,design_review,,,,,
design_review:energy_storage_source,Review Wearable Energy Source architecture allocation,design_review,,,,,
calculation:energy_storage_source,Verify Wearable Energy Source requirement calculations,calculation,,,,,
design_review:power_distribution,Review Low-Power Distribution architecture allocation,design_review,,,,,
calculation:power_distribution,Verify Low-Power Distribution requirement calculations,calculation,,,,,
design_review:control_compute_communication,Review Control Compute Communication architecture allocation,design_review,,,,,
calculation:control_compute_communication,Verify Control Compute Communication requirement calculations,calculation,,,,,
design_review:environmental_interface,Review Wear Environment Compensation architecture allocation,design_review,,,,,
calculation:environmental_interface,Verify Wear Environment Compensation requirement calculations,calculation,,,,,
design_review:safety_protection,Review Patient Safety Protection architecture allocation,design_review,,,,,
calculation:safety_protection,Verify Patient Safety Protection requirement calculations,calculation,,,,,
design_review:maintenance_serviceability,Review Packaging Traceability Serviceability architecture allocation,design_review,,,,,
interface_review:skin_patient_interface:sensing_instrumentation:interstitial_fluid_path,Verify interstitial_fluid_path interface contract,interface_review,,,,,
interface_review:actuation_kinematics:skin_patient_interface:insertion_path,Verify insertion_path interface contract,interface_review,,,,,
interface_review:sensing_instrumentation:control_compute_communication:sensor_signal_bus,Verify sensor_signal_bus interface contract,interface_review,,,,,
interface_review:sensing_instrumentation:control_compute_communication:calibration_data_bus,Verify calibration_data_bus interface contract,interface_review,,,,,
interface_review:energy_storage_source:power_distribution:cell_power_bus,Verify cell_power_bus interface contract,interface_review,,,,,
interface_review:power_distribution:sensing_instrumentation:analog_power_rail,Verify analog_power_rail interface contract,interface_review,,,,,
interface_review:power_distribution:control_compute_communication:low_power_rail,Verify low_power_rail interface contract,interface_review,,,,,
interface_review:environmental_interface:control_compute_communication:temperature_compensation_bus,Verify temperature_compensation_bus interface contract,interface_review,,,,,
interface_review:control_compute_communication:safety_protection:alarm_state_bus,Verify alarm_state_bus interface contract,interface_review,,,,,
interface_review:maintenance_serviceability:skin_patient_interface:sterile_boundary,Verify sterile_boundary interface contract,interface_review,,,,,
compliance_review:ISO-10993,Plan evidence for ISO-10993,compliance_review,,,,,
compliance_review:ISO-14971,Plan evidence for ISO-14971,compliance_review,,,,,
compliance_review:IEC-62304,Plan evidence for IEC-62304,compliance_review,,,,,
compliance_review:IEC-60601-1,Plan evidence for IEC-60601-1,compliance_review,,,,,
risk_review:1,Review risk control for Incorrect glucose reading drives unsafe therapy decision,compliance_review,,,,,
risk_review:2,Review risk control for Skin irritation or adhesive injury during extended wear,compliance_review,,,,,
risk_review:3,Review risk control for Applicator needle or filament insertion injury,compliance_review,,,,,
risk_review:4,Review risk control for Telemetry or battery failure hides a clinically relevant trend,compliance_review,,,,,
