componentWordId,description,priority,supplierName,manufacturer,mpn,unitCostGbp,leadTimeWeeks,sourceGrade,evidence.ref,evidence.quote,retrievedAt
ac_input_breaker_and_spd,AC input breaker and SPD,critical,,,,,,catalogue,,,
dc_output_contactor_set,DC output contactor set,critical,,,,,,catalogue,,,
mid_energy_meter,MID energy meter,critical,,,,,,catalogue,,,
power_module_stack,Power module stack,critical,,,,,,catalogue,,,
ccs2_liquid_cooled_cable_and_connector,CCS2 liquid-cooled cable and connector,critical,,,,,,catalogue,,,
iso_15118_plc_modem,ISO 15118 PLC modem,critical,,,,,,catalogue,,,
ocpp_communications_gateway,OCPP communications gateway,critical,,,,,,catalogue,,,
iso_15118_plc_modem,ISO 15118 PLC modem,critical,,,,,,catalogue,,,
mid_energy_meter,MID energy meter,critical,,,,,,catalogue,,,
insulation_monitoring_device,Insulation monitoring device,critical,,,,,,catalogue,,,
cooling_loop_assembly,Cooling loop assembly,critical,,,,,,catalogue,,,
emergency_stop_and_safety_interlock_set,Emergency stop and safety interlock set,critical,,,,,,catalogue,,,
insulation_monitoring_device,Insulation monitoring device,critical,,,,,,catalogue,,,
