id,kind,priority,status,scope,issue,requiredEvidence,closurePath,blocks,linkedIds,source
calculation:bess_nameplate_annual_throughput_mwh,calculation_review,major,needs_review,BESS annual nameplate throughput,1277.5 MWh/year assumes one full equivalent cycle per day.,"Confirm cycles per year, usable depth of discharge, round-trip efficiency and degradation assumptions.",engineering_review,publishable,capacity_mwh,engineering_calculation_ledger
assumption:metric:headline_output,assumption_review,major,needs_review,Annual MWh delivered,Annual MWh delivered uses capacity_mwh * cycles_per_year * efficiency with medium confidence.,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",engineering_review,publishable,,engineering_assumption_ledger
assumption:metric:capex_gbp,assumption_review,major,needs_review,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,Admit source-backed BoM pricing before treating this cost metric as a claim.,engineering_review,publishable,,engineering_assumption_ledger
assumption:metric:opex_annual_gbp,assumption_review,major,needs_review,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,Admit source-backed BoM pricing before treating this cost metric as a claim.,engineering_review,publishable,,engineering_assumption_ledger
assumption:sanity:bess_c_rate,assumption_review,major,needs_review,BESS C-Rate,BESS C-Rate currently evaluates as pass against 0.1C to 1.0C for typical grid-storage duration systems.,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,capacity_mwh; power_mw,engineering_assumption_ledger
assumption:sanity:bess_duration,assumption_review,major,needs_review,Rated Duration,Rated Duration currently evaluates as pass against 1 to 6 hours for common containerised BESS applications.,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,capacity_mwh; power_mw,engineering_assumption_ledger
assumption:sanity:bess_container_energy_density,assumption_review,major,needs_review,Container-Level Energy Density,Container-Level Energy Density currently evaluates as pass against 50 to 200 Wh/kg at container/system level before detailed structural mass review.,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,capacity_mwh; mass_kg,engineering_assumption_ledger
assumption:compliance:IEC-62619,assumption_review,major,needs_review,IEC-62619,Industrial lithium battery safety is relevant to this product class in Global / UK-adopted.,Cell certificates and pack-level safety validation.,engineering_review,publishable,,engineering_assumption_ledger
assumption:compliance:UL-9540A,assumption_review,major,needs_review,UL-9540A,Thermal runaway fire propagation test is relevant to this product class in US / investor diligence.,"Cell, module and unit-level propagation evidence.",engineering_review,publishable,,engineering_assumption_ledger
assumption:compliance:G99,assumption_review,major,needs_review,G99,UK grid connection requirements is relevant to this product class in UK.,"Protection settings, relay test certificates and commissioning records.",engineering_review,publishable,,engineering_assumption_ledger
