activityId,activity,evidenceKind,reviewerName,verdict,evidenceRef,evidenceNote,reviewedAt
design_review:structure_containment,Review Pressure Structure Containment architecture allocation,design_review,,,,,
calculation:structure_containment,Verify Pressure Structure Containment requirement calculations,calculation,,,,,
design_review:energy_storage_source,Review Subsea Energy Storage architecture allocation,design_review,,,,,
calculation:energy_storage_source,Verify Subsea Energy Storage requirement calculations,calculation,,,,,
design_review:power_distribution,Review Subsea Power Distribution architecture allocation,design_review,,,,,
calculation:power_distribution,Verify Subsea Power Distribution requirement calculations,calculation,,,,,
design_review:actuation_kinematics,Review Thruster Actuation Kinematics architecture allocation,design_review,,,,,
calculation:actuation_kinematics,Verify Thruster Actuation Kinematics requirement calculations,calculation,,,,,
design_review:control_compute_communication,Review Autonomy Compute Communication architecture allocation,design_review,,,,,
calculation:control_compute_communication,Verify Autonomy Compute Communication requirement calculations,calculation,,,,,
design_review:sensing_instrumentation,Review Navigation And Payload Sensing architecture allocation,design_review,,,,,
design_review:environmental_interface,Review Pressure Thermal Buoyancy Interface architecture allocation,design_review,,,,,
calculation:environmental_interface,Verify Pressure Thermal Buoyancy Interface requirement calculations,calculation,,,,,
design_review:safety_protection,Review Leak Abort And Recovery Safety architecture allocation,design_review,,,,,
calculation:safety_protection,Verify Leak Abort And Recovery Safety requirement calculations,calculation,,,,,
design_review:maintenance_serviceability,Review Deck Recovery And Service architecture allocation,design_review,,,,,
interface_review:energy_storage_source:power_distribution:dc_power_bus,Verify dc_power_bus interface contract,interface_review,,,,,
interface_review:power_distribution:actuation_kinematics:thruster_power_bus,Verify thruster_power_bus interface contract,interface_review,,,,,
interface_review:control_compute_communication:actuation_kinematics:thrust_command_bus,Verify thrust_command_bus interface contract,interface_review,,,,,
interface_review:sensing_instrumentation:control_compute_communication:navigation_sensor_bus,Verify navigation_sensor_bus interface contract,interface_review,,,,,
interface_review:sensing_instrumentation:control_compute_communication:payload_data_bus,Verify payload_data_bus interface contract,interface_review,,,,,
interface_review:environmental_interface:structure_containment:pressure_boundary,Verify pressure_boundary interface contract,interface_review,,,,,
interface_review:safety_protection:control_compute_communication:alarm_bus,Verify alarm_bus interface contract,interface_review,,,,,
interface_review:safety_protection:structure_containment:pressure_boundary,Verify pressure_boundary interface contract,interface_review,,,,,
compliance_review:PRESSURE-BOUNDARY-REVIEW,Plan evidence for PRESSURE-BOUNDARY-REVIEW,compliance_review,,,,,
compliance_review:SUBSEA-LEAK-ABORT-REVIEW,Plan evidence for SUBSEA-LEAK-ABORT-REVIEW,compliance_review,,,,,
compliance_review:EMC-MARINE-COMMS-REVIEW,Plan evidence for EMC-MARINE-COMMS-REVIEW,compliance_review,,,,,
risk_review:1,Review risk control for Pressure hull or seal failure at depth,compliance_review,,,,,
risk_review:2,Review risk control for Loss of navigation or communications underwater,compliance_review,,,,,
risk_review:3,Review risk control for Unable to recover vehicle after abort,compliance_review,,,,,
