id,kind,priority,status,scope,reviewerQuestion,evidenceRequired,acceptanceCriteria,linkedModuleIds,linkedSubModuleIds,linkedComponentWordIds,linkedRequirementIds,linkedInterfaceIds,linkedCalculationIds,blockers
assumption_resolution:compliance:EU-GMP-ANNEX-11,assumption_resolution,major,needs_review,EU-GMP-ANNEX-11,"Can the EU-GMP-ANNEX-11 assumption be accepted for architecture review, or must it be replaced with evidence?","Batch record integrity, audit trail and access-control evidence.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:IEC-61010,assumption_resolution,major,needs_review,IEC-61010,"Can the IEC-61010 assumption be accepted for architecture review, or must it be replaced with evidence?","Electrical safety design, protective earth and abnormal operation evidence.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:ISO-13485,assumption_resolution,major,needs_review,ISO-13485,"Can the ISO-13485 assumption be accepted for architecture review, or must it be replaced with evidence?","Supplier quality evidence, change control and traceability where applicable.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:USP-CLASS-VI,assumption_resolution,major,needs_review,USP-CLASS-VI,"Can the USP-CLASS-VI assumption be accepted for architecture review, or must it be replaced with evidence?",Material certificates for single-use bag and tubing contact surfaces.,"Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:component:actuation_kinematics_agitation_drive_train_agitation_drive,assumption_resolution,major,needs_review,Agitation drive,"Can the Agitation drive assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",actuation_kinematics,,agitation_drive,,,,
assumption_resolution:component:control_compute_communication_process_controller_bioreactor_controller,assumption_resolution,major,needs_review,Bioreactor controller,"Can the Bioreactor controller assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",control_compute_communication,,bioreactor_controller,,,,
assumption_resolution:component:environmental_interface_exhaust_filter_train_exhaust_filter_and_pressure_relief_set,assumption_resolution,major,needs_review,Exhaust filter and pressure relief set,"Can the Exhaust filter and pressure relief set assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",environmental_interface,,exhaust_filter_and_pressure_relief_set,,,,
assumption_resolution:component:environmental_interface_temperature_control_loop_temperature_control_loop,assumption_resolution,major,needs_review,Temperature control loop,"Can the Temperature control loop assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",environmental_interface,,temperature_control_loop,,,,
assumption_resolution:component:mass_fluid_transport_process_feed_pump_manifold_peristaltic_feed_pump,assumption_resolution,major,needs_review,Peristaltic feed pump,"Can the Peristaltic feed pump assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",mass_fluid_transport_process,,peristaltic_feed_pump,,,,
assumption_resolution:component:mass_fluid_transport_process_sparger_gas_mixing_sparger_and_gas_mix_manifold,assumption_resolution,major,needs_review,Sparger and gas-mix manifold,"Can the Sparger and gas-mix manifold assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",mass_fluid_transport_process,,sparger_and_gas_mix_manifold,,,,
assumption_resolution:component:sensing_instrumentation_do_ph_sensing_dissolved_oxygen_optical_sensor,assumption_resolution,major,needs_review,Dissolved oxygen optical sensor,"Can the Dissolved oxygen optical sensor assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",sensing_instrumentation,,dissolved_oxygen_optical_sensor,,,,
assumption_resolution:component:sensing_instrumentation_do_ph_sensing_single_use_ph_sensor,assumption_resolution,major,needs_review,Single-use pH sensor,"Can the Single-use pH sensor assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",sensing_instrumentation,,single_use_ph_sensor,,,,
assumption_resolution:component:sensing_instrumentation_pressure_mass_temperature_sensing_load_cell_set,assumption_resolution,major,needs_review,Load cell set,"Can the Load cell set assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",sensing_instrumentation,,load_cell_set,,,,
assumption_resolution:component:structure_containment_single_use_bag_chamber_single_use_bioreactor_bag,assumption_resolution,major,needs_review,Single-use bioreactor bag,"Can the Single-use bioreactor bag assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",structure_containment,,single_use_bioreactor_bag,,,,
assumption_resolution:component:structure_containment_sterile_connector_panel_sterile_tubing_and_connector_set,assumption_resolution,major,needs_review,Sterile tubing and connector set,"Can the Sterile tubing and connector set assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",structure_containment,,sterile_tubing_and_connector_set,,,,
assumption_resolution:interface:actuation_kinematics:structure_containment:sterile_boundary,assumption_resolution,major,needs_review,actuation_kinematics -> structure_containment,"Can the actuation_kinematics -> structure_containment assumption be accepted for architecture review, or must it be replaced with evidence?","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,sterile_boundary,,
assumption_resolution:interface:control_compute_communication:mass_fluid_transport_process:pump_control,assumption_resolution,major,needs_review,control_compute_communication -> mass_fluid_transport_process,"Can the control_compute_communication -> mass_fluid_transport_process assumption be accepted for architecture review, or must it be replaced with evidence?","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,pump_control,,
