id,category,status,scope,assumption,basis,evidenceRequired,linkedRequirements,linkedInterfaces,linkedComponents,blocksArchitecture,blocksBom
brief:endurance_hours,brief_requirement,brief_supported,Endurance,"Endurance = 8 hours is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",endurance_hours,,,false,false
brief:depth_rating_m,brief_requirement,brief_supported,Depth rating,"Depth rating = 300 m is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",depth_rating_m,,,false,false
metric:headline_output,derived_metric,review_required,Survey endurance,Survey endurance uses endurance_hours with medium confidence.,class_pack:auv.class_pack; formula:endurance_hours,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",,,,false,false
metric:capex_gbp,derived_metric,source_required,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,formula:capex=sum(bom.totalCostGbp); class_pack:auv.class_pack,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
metric:opex_annual_gbp,derived_metric,source_required,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,formula:opex=capex*0.04,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
sanity:auv_depth_rating,sanity_envelope,review_required,Depth Rating,"Depth Rating currently evaluates as pass against 10 to 600 m for inspection-class AUV prototypes; deeper missions need dedicated pressure-vessel, seal and recovery evidence.",brief:input.brief; model:engineering_sanity.auv; model:engineering_sanity.auv,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",depth_rating_m,,,false,false
sanity:auv_endurance_target,sanity_envelope,review_required,Survey Endurance Target,"Survey Endurance Target currently evaluates as pass against <=12 h plausible for compact inspection AUV concept, 12-24 h needs battery/drag budget, >24 h is high risk without a detailed energy model.",brief:input.brief; model:engineering_sanity.auv; model:engineering_sanity.auv,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",endurance_hours,,,false,false
sanity:auv_navigation_control_closure,sanity_envelope,review_required,Navigation/Control Closure,"Navigation/Control Closure currently evaluates as pass against navigation sensor bus, payload data bus, acoustic link and thrust command bus present.",model:engineering_sanity.auv; model:engineering_sanity.auv,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",endurance_hours,,,false,false
sanity:auv_pressure_power_recovery_safety,sanity_envelope,review_required,Pressure/Power/Recovery Safety,"Pressure/Power/Recovery Safety currently evaluates as pass against pressure boundary, leak alarm, alarm bus, DC power, service access and recovery beacon present.",model:engineering_sanity.auv; model:engineering_sanity.auv,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",endurance_hours; depth_rating_m,,,false,false
interface:energy_storage_source:power_distribution:dc_power_bus,interface_closure,model_present,energy_storage_source -> power_distribution,dc_power_bus is named on both endpoint modules in the generated architecture.,Battery energy must enter protected DC distribution through an explicit bus.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,dc_power_bus,,false,false
interface:power_distribution:actuation_kinematics:thruster_power_bus,interface_closure,model_present,power_distribution -> actuation_kinematics,thruster_power_bus is named on both endpoint modules in the generated architecture.,Thrusters must receive protected power separately from avionics and payload rails.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,thruster_power_bus,,false,false
interface:control_compute_communication:actuation_kinematics:thrust_command_bus,interface_closure,model_present,control_compute_communication -> actuation_kinematics,thrust_command_bus is named on both endpoint modules in the generated architecture.,Mission control must command thruster drive states over a declared control interface.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,thrust_command_bus,,false,false
interface:sensing_instrumentation:control_compute_communication:navigation_sensor_bus,interface_closure,model_present,sensing_instrumentation -> control_compute_communication,navigation_sensor_bus is named on both endpoint modules in the generated architecture.,"DVL, INS and depth data must feed navigation fusion before mission autonomy is credible.","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,navigation_sensor_bus,,false,false
interface:sensing_instrumentation:control_compute_communication:payload_data_bus,interface_closure,model_present,sensing_instrumentation -> control_compute_communication,payload_data_bus is named on both endpoint modules in the generated architecture.,Inspection payload data must be logged or acted on by the mission computer.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,payload_data_bus,,false,false
interface:environmental_interface:structure_containment:pressure_boundary,interface_closure,model_present,environmental_interface -> structure_containment,pressure_boundary is named on both endpoint modules in the generated architecture.,"Hull, penetrators, thermal path and buoyancy hardware must share one depth-rated boundary model.","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,pressure_boundary,,false,false
interface:safety_protection:control_compute_communication:alarm_bus,interface_closure,model_present,safety_protection -> control_compute_communication,alarm_bus is named on both endpoint modules in the generated architecture.,"Leak, over-depth and recovery alarms must drive fail-safe mission states.","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,alarm_bus,,false,false
interface:safety_protection:structure_containment:pressure_boundary,interface_closure,model_present,safety_protection -> structure_containment,pressure_boundary is named on both endpoint modules in the generated architecture.,Leak and over-depth protection must reference the same pressure boundary as the hull design.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,pressure_boundary,,false,false
component:structure_containment_pressure_hull_shell_pressure_hull,critical_component,source_required,Pressure hull,Pressure hull is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.auv,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,pressure_hull,false,true
component:energy_storage_source_subsea_battery_pack_battery_pack,critical_component,source_required,Battery pack,Battery pack is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.auv,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,battery_pack,false,true
component:power_distribution_dc_distribution_wet_mate_connector_set,critical_component,source_required,Wet-mate connector set,Wet-mate connector set is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.auv,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,wet_mate_connector_set,false,true
component:actuation_kinematics_thruster_array_thruster_set,critical_component,source_required,Thruster set,Thruster set is a critical architecture-derived component candidate with quantity 6 each.,model:scratch_universal_architecture.auv,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,thruster_set,false,true
component:control_compute_communication_mission_computer_stack_mission_computer,critical_component,source_required,Mission computer,Mission computer is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.auv,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,mission_computer,false,true
component:control_compute_communication_acoustic_communications_acoustic_modem,critical_component,source_required,Acoustic modem,Acoustic modem is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.auv,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,acoustic_modem,false,true
component:sensing_instrumentation_navigation_sensor_suite_dvl,critical_component,source_required,DVL,DVL is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.auv,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,dvl,false,true
component:sensing_instrumentation_navigation_sensor_suite_inertial_navigation_unit,critical_component,source_required,Inertial navigation unit,Inertial navigation unit is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.auv,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,inertial_navigation_unit,false,true
component:sensing_instrumentation_depth_environment_sensors_depth_and_pressure_sensor,critical_component,source_required,Depth and pressure sensor,Depth and pressure sensor is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.auv,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,depth_and_pressure_sensor,false,true
component:sensing_instrumentation_payload_sensor_bay_forward_sonar_payload,critical_component,source_required,Forward sonar payload,Forward sonar payload is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.auv,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,forward_sonar_payload,false,true
component:safety_protection_leak_detection_leak_detection_sensor,critical_component,source_required,Leak detection sensor,Leak detection sensor is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.auv,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,leak_detection_sensor,false,true
component:safety_protection_abort_recovery_recovery_beacon,critical_component,source_required,Recovery beacon,Recovery beacon is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.auv,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,recovery_beacon,false,true
compliance:PRESSURE-BOUNDARY-REVIEW,compliance_evidence,review_required,PRESSURE-BOUNDARY-REVIEW,Depth-rated pressure boundary review is relevant to this product class in Project engineering gate.,class_pack:auv.class_pack,"Depth rating calculation, hull material allowables, endcap seal design and proof-pressure plan.",,,,false,false
compliance:SUBSEA-LEAK-ABORT-REVIEW,compliance_evidence,review_required,SUBSEA-LEAK-ABORT-REVIEW,Leak detection and abort-state review is relevant to this product class in Project engineering gate.,class_pack:auv.class_pack,"Leak sensor placement, abort state machine, battery isolation and recovery procedure.",,,,false,false
compliance:EMC-MARINE-COMMS-REVIEW,compliance_evidence,review_required,EMC-MARINE-COMMS-REVIEW,Marine communications and EMC review is relevant to this product class in Project engineering gate.,class_pack:auv.class_pack,"Acoustic modem integration, antenna/transducer mounting, cable shielding and data-loss behaviour.",,,,false,false
