batchId,batchSequence,batchKind,batchTitle,batchStatus,itemId,closureRowId,action,priority,status,componentWordId,description,searchTerms,requiredEvidence,acceptanceCriteria,rejectionCriteria,targetOutcome,blocksProcurement,sourceArtifacts
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:1:agitation_drive,bom-close:actuation_kinematics_agitation_drive_train_agitation_drive,collect_source_evidence,blocker,ready,agitation_drive,Agitation drive,Agitation drive; Agitation drive manufacturer part number; Agitation drive catalogue price GBP; Agitation drive datasheet; Agitation drive single-use bioreactor; Agitation drive GMP sterile bioprocess,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:2:bioreactor_controller,bom-close:control_compute_communication_process_controller_bioreactor_controller,collect_source_evidence,blocker,ready,bioreactor_controller,Bioreactor controller,Bioreactor controller; Bioreactor controller manufacturer part number; Bioreactor controller catalogue price GBP; Bioreactor controller datasheet; Bioreactor controller single-use bioreactor; Bioreactor controller GMP sterile bioprocess,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:3:exhaust_filter_and_pressure_relief_set,bom-close:environmental_interface_exhaust_filter_train_exhaust_filter_and_pressure_relief_set,collect_source_evidence,blocker,ready,exhaust_filter_and_pressure_relief_set,Exhaust filter and pressure relief set,Exhaust filter and pressure relief set; Exhaust filter and pressure relief set manufacturer part number; Exhaust filter and pressure relief set catalogue price GBP; Exhaust filter and pressure relief set datasheet; Exhaust filter and pressure relief set single-use bioreactor; Exhaust filter and pressure relief set GMP sterile bioprocess,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:4:temperature_control_loop,bom-close:environmental_interface_temperature_control_loop_temperature_control_loop,collect_source_evidence,blocker,ready,temperature_control_loop,Temperature control loop,Temperature control loop; Temperature control loop manufacturer part number; Temperature control loop catalogue price GBP; Temperature control loop datasheet; Temperature control loop single-use bioreactor; Temperature control loop GMP sterile bioprocess,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:5:peristaltic_feed_pump,bom-close:mass_fluid_transport_process_feed_pump_manifold_peristaltic_feed_pump,collect_source_evidence,blocker,ready,peristaltic_feed_pump,Peristaltic feed pump,Peristaltic feed pump; Peristaltic feed pump manufacturer part number; Peristaltic feed pump catalogue price GBP; Peristaltic feed pump datasheet; Peristaltic feed pump single-use bioreactor; Peristaltic feed pump GMP sterile bioprocess,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:6:sparger_and_gas_mix_manifold,bom-close:mass_fluid_transport_process_sparger_gas_mixing_sparger_and_gas_mix_manifold,collect_source_evidence,blocker,ready,sparger_and_gas_mix_manifold,Sparger and gas-mix manifold,Sparger and gas-mix manifold; Sparger and gas-mix manifold manufacturer part number; Sparger and gas-mix manifold catalogue price GBP; Sparger and gas-mix manifold datasheet; Sparger and gas-mix manifold single-use bioreactor; Sparger and gas-mix manifold GMP sterile bioprocess,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:7:dissolved_oxygen_optical_sensor,bom-close:sensing_instrumentation_do_ph_sensing_dissolved_oxygen_optical_sensor,collect_source_evidence,blocker,ready,dissolved_oxygen_optical_sensor,Dissolved oxygen optical sensor,Dissolved oxygen optical sensor; Dissolved oxygen optical sensor manufacturer part number; Dissolved oxygen optical sensor catalogue price GBP; Dissolved oxygen optical sensor datasheet; Dissolved oxygen optical sensor single-use bioreactor; Dissolved oxygen optical sensor GMP sterile bioprocess,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:8:single_use_ph_sensor,bom-close:sensing_instrumentation_do_ph_sensing_single_use_ph_sensor,collect_source_evidence,blocker,ready,single_use_ph_sensor,Single-use pH sensor,Single-use pH sensor; Single-use pH sensor manufacturer part number; Single-use pH sensor catalogue price GBP; Single-use pH sensor datasheet; Single-use pH sensor single-use bioreactor; Single-use pH sensor GMP sterile bioprocess,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:9:load_cell_set,bom-close:sensing_instrumentation_pressure_mass_temperature_sensing_load_cell_set,collect_source_evidence,blocker,ready,load_cell_set,Load cell set,Load cell set; Load cell set manufacturer part number; Load cell set catalogue price GBP; Load cell set datasheet; Load cell set single-use bioreactor; Load cell set GMP sterile bioprocess,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:10:single_use_bioreactor_bag,bom-close:structure_containment_single_use_bag_chamber_single_use_bioreactor_bag,collect_source_evidence,blocker,ready,single_use_bioreactor_bag,Single-use bioreactor bag,Single-use bioreactor bag; Single-use bioreactor bag manufacturer part number; Single-use bioreactor bag catalogue price GBP; Single-use bioreactor bag datasheet; Single-use bioreactor bag single-use bioreactor; Single-use bioreactor bag GMP sterile bioprocess,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:11:sterile_tubing_and_connector_set,bom-close:structure_containment_sterile_connector_panel_sterile_tubing_and_connector_set,collect_source_evidence,blocker,ready,sterile_tubing_and_connector_set,Sterile tubing and connector set,Sterile tubing and connector set; Sterile tubing and connector set manufacturer part number; Sterile tubing and connector set catalogue price GBP; Sterile tubing and connector set datasheet; Sterile tubing and connector set single-use bioreactor; Sterile tubing and connector set GMP sterile bioprocess,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:6:candidate_sourcing_deferred,6,candidate_sourcing_deferred,Defer Candidate-Only Sourcing,deferred,candidate_sourcing_deferred:1:drive_encoder,bom-close:actuation_kinematics_agitation_drive_train_drive_encoder,defer_candidate_sourcing,minor,deferred,drive_encoder,drive encoder,drive encoder; drive encoder manufacturer part number; drive encoder catalogue price GBP; drive encoder datasheet; drive encoder single-use bioreactor; drive encoder GMP sterile bioprocess,no immediate evidence required unless this candidate is promoted to procurement scope,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,candidate remains out of procurement totals,no,*.sourcing-pack.csv; *.bom-evidence-trace.csv; *.bom-evidence-closure-plan.csv
