activityId,activity,evidenceKind,plannedStatus,ledgerStatus,moduleId,moduleName,reviewerName,evidenceRef,evidenceNote,reviewedAt,residualAction
design_review:structure_containment,Review Sterile Structure Containment architecture allocation,design_review,ready_for_review,pending,structure_containment,Sterile Structure Containment,,,,,Collect reviewer evidence through the verification intake template.
calculation:structure_containment,Verify Sterile Structure Containment requirement calculations,calculation,ready_for_review,pending,structure_containment,Sterile Structure Containment,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:structure_containment,Collect source-backed evidence for Sterile Structure Containment critical components,source_evidence,blocked,source_evidence_required,structure_containment,Sterile Structure Containment,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:actuation_kinematics,Review Mixing And Agitation architecture allocation,design_review,ready_for_review,pending,actuation_kinematics,Mixing And Agitation,,,,,Collect reviewer evidence through the verification intake template.
calculation:actuation_kinematics,Verify Mixing And Agitation requirement calculations,calculation,ready_for_review,pending,actuation_kinematics,Mixing And Agitation,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:actuation_kinematics,Collect source-backed evidence for Mixing And Agitation critical components,source_evidence,blocked,source_evidence_required,actuation_kinematics,Mixing And Agitation,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:mass_fluid_transport_process,Review Media Gas And Harvest Transport architecture allocation,design_review,ready_for_review,pending,mass_fluid_transport_process,Media Gas And Harvest Transport,,,,,Collect reviewer evidence through the verification intake template.
calculation:mass_fluid_transport_process,Verify Media Gas And Harvest Transport requirement calculations,calculation,ready_for_review,pending,mass_fluid_transport_process,Media Gas And Harvest Transport,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:mass_fluid_transport_process,Collect source-backed evidence for Media Gas And Harvest Transport critical components,source_evidence,blocked,source_evidence_required,mass_fluid_transport_process,Media Gas And Harvest Transport,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:environmental_interface,Review Thermal Gas Exhaust Interface architecture allocation,design_review,ready_for_review,pending,environmental_interface,Thermal Gas Exhaust Interface,,,,,Collect reviewer evidence through the verification intake template.
