activityId,activity,status,evidenceKind,moduleId,moduleName,requirementIds,sanityCheckIds,interfaceIds,componentWordIds,acceptanceCriteria,blockers
design_review:structure_containment,Review Sterile Structure Containment architecture allocation,ready_for_review,design_review,structure_containment,Sterile Structure Containment,working_volume_l,bioreactor_working_volume; bioreactor_process_closure; bioreactor_aseptic_pressure_safety,sterile_boundary; sterile_fluid_path; mechanical_mounts; service_access; pressure_relief,single_use_bioreactor_bag; bag_support_tray; port_clamp_set; bag_integrity_test_label; stainless_support_frame; load_cell_mounting_bracket_set; levelling_foot_set; lifting_eye_kit; sterile_tubing_and_connector_set; aseptic_sampling_port; clamp_rail; connector_parking_bracket,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:structure_containment,Verify Sterile Structure Containment requirement calculations,ready_for_review,calculation,structure_containment,Sterile Structure Containment,working_volume_l,bioreactor_working_volume; bioreactor_process_closure; bioreactor_aseptic_pressure_safety,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:structure_containment,Collect source-backed evidence for Sterile Structure Containment critical components,blocked,source_evidence,structure_containment,Sterile Structure Containment,working_volume_l,,,single_use_bioreactor_bag; sterile_tubing_and_connector_set,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",single_use_bioreactor_bag sterile_tubing_and_connector_set
design_review:actuation_kinematics,Review Mixing And Agitation architecture allocation,ready_for_review,design_review,actuation_kinematics,Mixing And Agitation,working_volume_l,bioreactor_working_volume; bioreactor_process_closure; bioreactor_aseptic_pressure_safety,mixing_drive; control_bus; sterile_boundary; sensor_bus; service_access; alarm_bus,agitation_drive; magnetic_coupling_hub; drive_encoder; motor_mounting_plate; single_use_impeller_coupling; impeller_guard_insert; rocker_angle_stop; mixing_validation_coupon; motor_current_sensor; overspeed_interlock_input; drive_fault_relay; emergency_drive_stop_contactor,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:actuation_kinematics,Verify Mixing And Agitation requirement calculations,ready_for_review,calculation,actuation_kinematics,Mixing And Agitation,working_volume_l,bioreactor_working_volume; bioreactor_process_closure; bioreactor_aseptic_pressure_safety,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:actuation_kinematics,Collect source-backed evidence for Mixing And Agitation critical components,blocked,source_evidence,actuation_kinematics,Mixing And Agitation,working_volume_l,,,agitation_drive,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",agitation_drive
design_review:mass_fluid_transport_process,Review Media Gas And Harvest Transport architecture allocation,ready_for_review,design_review,mass_fluid_transport_process,Media Gas And Harvest Transport,working_volume_l,bioreactor_working_volume; bioreactor_process_closure; bioreactor_aseptic_pressure_safety,sterile_fluid_path; gas_path; pump_control; control_bus; sensor_bus; service_access,peristaltic_feed_pump; pump_tubing_cassette_set; media_bag_hanger; feed_line_pinch_clamp; harvest_transfer_tubing_set; single_use_sample_valve; waste_collection_bag; low_hold_up_connector; sparger_and_gas_mix_manifold; mass_flow_controller_bank; sterile_gas_filter_capsule; sparger_check_valve,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:mass_fluid_transport_process,Verify Media Gas And Harvest Transport requirement calculations,ready_for_review,calculation,mass_fluid_transport_process,Media Gas And Harvest Transport,working_volume_l,bioreactor_working_volume; bioreactor_process_closure; bioreactor_aseptic_pressure_safety,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:mass_fluid_transport_process,Collect source-backed evidence for Media Gas And Harvest Transport critical components,blocked,source_evidence,mass_fluid_transport_process,Media Gas And Harvest Transport,working_volume_l,,,peristaltic_feed_pump; sparger_and_gas_mix_manifold,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",peristaltic_feed_pump sparger_and_gas_mix_manifold
design_review:environmental_interface,Review Thermal Gas Exhaust Interface architecture allocation,ready_for_review,design_review,environmental_interface,Thermal Gas Exhaust Interface,working_volume_l,bioreactor_working_volume; bioreactor_process_closure; bioreactor_aseptic_pressure_safety,thermal_loop; gas_path; exhaust_path; sterile_boundary; sensor_bus; control_bus; pressure_relief; service_access; alarm_bus,temperature_control_loop; heater_blanket; cooling_plate; thermal_interface_mat; exhaust_filter_and_pressure_relief_set; condensate_knock_out_bottle; exhaust_heater_sleeve; pressure_relief_indicator; ambient_temperature_probe; clean_zone_status_beacon; splash_guard_panel; wipe_down_surface_kit,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
