activityId,activity,evidenceKind,plannedStatus,ledgerStatus,moduleId,moduleName,reviewerName,evidenceRef,evidenceNote,reviewedAt,residualAction
design_review:energy_storage_source,Review Energy Storage Source architecture allocation,design_review,ready_for_review,pending,energy_storage_source,Energy Storage Source,,,,,Collect reviewer evidence through the verification intake template.
calculation:energy_storage_source,Verify Energy Storage Source requirement calculations,calculation,ready_for_review,pending,energy_storage_source,Energy Storage Source,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:energy_storage_source,Collect source-backed evidence for Energy Storage Source critical components,source_evidence,blocked,source_evidence_required,energy_storage_source,Energy Storage Source,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:energy_conversion_transduction,Review Power Conversion System architecture allocation,design_review,ready_for_review,pending,energy_conversion_transduction,Power Conversion System,,,,,Collect reviewer evidence through the verification intake template.
calculation:energy_conversion_transduction,Verify Power Conversion System requirement calculations,calculation,ready_for_review,pending,energy_conversion_transduction,Power Conversion System,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:energy_conversion_transduction,Collect source-backed evidence for Power Conversion System critical components,source_evidence,blocked,source_evidence_required,energy_conversion_transduction,Power Conversion System,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:structure_containment,Review Container Structure And Fit-Out architecture allocation,design_review,ready_for_review,pending,structure_containment,Container Structure And Fit-Out,,,,,Collect reviewer evidence through the verification intake template.
calculation:structure_containment,Verify Container Structure And Fit-Out requirement calculations,calculation,ready_for_review,pending,structure_containment,Container Structure And Fit-Out,,,,,Collect reviewer evidence through the verification intake template.
design_review:sensing_instrumentation,Review Sensing And Instrumentation architecture allocation,design_review,ready_for_review,pending,sensing_instrumentation,Sensing And Instrumentation,,,,,Collect reviewer evidence through the verification intake template.
design_review:control_compute_communication,Review Control Compute And Communication architecture allocation,design_review,ready_for_review,pending,control_compute_communication,Control Compute And Communication,,,,,Collect reviewer evidence through the verification intake template.
calculation:control_compute_communication,Verify Control Compute And Communication requirement calculations,calculation,ready_for_review,pending,control_compute_communication,Control Compute And Communication,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:control_compute_communication,Collect source-backed evidence for Control Compute And Communication critical components,source_evidence,blocked,source_evidence_required,control_compute_communication,Control Compute And Communication,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:safety_protection,Review Safety Protection And Interlocks architecture allocation,design_review,ready_for_review,pending,safety_protection,Safety Protection And Interlocks,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:safety_protection,Collect source-backed evidence for Safety Protection And Interlocks critical components,source_evidence,blocked,source_evidence_required,safety_protection,Safety Protection And Interlocks,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:environmental_interface,Review Environmental Interface architecture allocation,design_review,ready_for_review,pending,environmental_interface,Environmental Interface,,,,,Collect reviewer evidence through the verification intake template.
design_review:power_distribution,Review DC And AC Power Distribution architecture allocation,design_review,ready_for_review,pending,power_distribution,DC And AC Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
calculation:power_distribution,Verify DC And AC Power Distribution requirement calculations,calculation,ready_for_review,pending,power_distribution,DC And AC Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
design_review:maintenance_serviceability,Review Maintenance And Serviceability architecture allocation,design_review,ready_for_review,pending,maintenance_serviceability,Maintenance And Serviceability,,,,,Collect reviewer evidence through the verification intake template.
calculation:maintenance_serviceability,Verify Maintenance And Serviceability requirement calculations,calculation,ready_for_review,pending,maintenance_serviceability,Maintenance And Serviceability,,,,,Collect reviewer evidence through the verification intake template.
design_review:mass_fluid_transport_process,Review Coolant Circulation Process architecture allocation,design_review,ready_for_review,pending,mass_fluid_transport_process,Coolant Circulation Process,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:mass_fluid_transport_process,Collect source-backed evidence for Coolant Circulation Process critical components,source_evidence,blocked,source_evidence_required,mass_fluid_transport_process,Coolant Circulation Process,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:hmi_ergonomics,Review Operator HMI And Labelling architecture allocation,design_review,ready_for_review,pending,hmi_ergonomics,Operator HMI And Labelling,,,,,Collect reviewer evidence through the verification intake template.
interface_review:energy_storage_source:energy_conversion_transduction:dc_bus,Verify dc_bus interface contract,interface_review,ready_for_review,pending,energy_storage_source:energy_conversion_transduction,Energy Storage Source -> Power Conversion System,,,,,Collect reviewer evidence through the verification intake template.
interface_review:energy_storage_source:environmental_interface:thermal_loop,Verify thermal_loop interface contract,interface_review,ready_for_review,pending,energy_storage_source:environmental_interface,Energy Storage Source -> Environmental Interface,,,,,Collect reviewer evidence through the verification intake template.
interface_review:energy_storage_source:control_compute_communication:bms_network,Verify bms_network interface contract,interface_review,ready_for_review,pending,energy_storage_source:control_compute_communication,Energy Storage Source -> Control Compute And Communication,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:IEC-62619,Plan evidence for IEC-62619,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:UL-9540A,Plan evidence for UL-9540A,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:G99,Plan evidence for G99,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
