id,moduleId,moduleName,subModuleId,subModuleName,verdict,purposePresent,componentWordCount,interfaceCount,linkedRequirementCount,criticalComponentCount,duplicateComponentCount,carrierContractCount,missingCarrierContractCount,localOnlyInterfaceCount,reviewQuestions,acceptedReviewQuestions,blockedReviewQuestions,verificationActivities,acceptedVerificationActivities,blockedVerificationActivities,criticalUnpricedLines,passRatio,blockers,requiredAction
power_distribution:ac_input_switchgear,power_distribution,AC Input And DC Output Distribution,ac_input_switchgear,AC input switchgear,review,yes,4,3,1,1,0,1,0,2,3,0,0,4,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): protective_earth, service_access. 3 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
power_distribution:dc_output_switchgear,power_distribution,AC Input And DC Output Distribution,dc_output_switchgear,DC output switchgear,review,yes,4,3,0,1,0,0,0,3,2,0,0,2,0,0,1,0.6667,,"Review 3 local-only interface declaration(s): dc_output_bus, control_bus, protective_earth. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
power_distribution:billing_metering_branch,power_distribution,AC Input And DC Output Distribution,billing_metering_branch,Billing metering branch,review,yes,4,3,0,1,1,0,0,3,2,0,0,5,0,0,2,0.6667,,"Resolve duplicate component identity before sourcing: mid_energy_meter. Review 3 local-only interface declaration(s): metering_bus, dc_output_bus, service_access. 2 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 2 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
energy_conversion_transduction:rectifier_power_modules,energy_conversion_transduction,Power Conversion Stack,rectifier_power_modules,Rectifier power modules,review,yes,4,4,1,1,0,4,0,0,6,0,0,7,0,0,1,0.6667,,6 engineering review question(s) await acceptance. 6 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
energy_conversion_transduction:output_filtering,energy_conversion_transduction,Power Conversion Stack,output_filtering,Output filtering,review,yes,4,2,0,0,0,1,0,1,3,0,0,2,0,0,0,0.6667,,Review 1 local-only interface declaration(s): protective_earth. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence.
energy_conversion_transduction:converter_supervision,energy_conversion_transduction,Power Conversion Stack,converter_supervision,Converter supervision,review,yes,4,3,0,0,0,2,0,1,4,0,0,3,0,0,0,0.6667,,Review 1 local-only interface declaration(s): sensor_bus. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence.
charging_connector_interface:ccs2_cable_connector,charging_connector_interface,Vehicle Charging Interface,ccs2_cable_connector,CCS2 cable connector,review,yes,4,4,1,1,0,1,0,3,3,0,0,4,0,0,1,0.6667,,"Review 3 local-only interface declaration(s): ccs2_vehicle_interface, control_pilot, protective_earth. 3 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
charging_connector_interface:connector_cooling_coupling,charging_connector_interface,Vehicle Charging Interface,connector_cooling_coupling,Connector cooling coupling,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): coolant_loop, ccs2_vehicle_interface, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
charging_connector_interface:vehicle_communication_frontend,charging_connector_interface,Vehicle Charging Interface,vehicle_communication_frontend,Vehicle communication frontend,review,yes,4,3,0,1,1,1,0,2,3,0,0,7,0,0,2,0.6667,,"Resolve duplicate component identity before sourcing: iso_15118_plc_modem. Review 2 local-only interface declaration(s): control_pilot, control_bus. 3 engineering review question(s) await acceptance. 5 verification activity row(s) await accepted evidence. 2 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
control_compute_communication:charge_controller,control_compute_communication,Control Compute Communication,charge_controller,Charge controller,review,yes,4,3,0,0,0,2,0,1,4,0,0,3,0,0,0,0.6667,,Review 1 local-only interface declaration(s): alarm_bus. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence.
control_compute_communication:backend_gateway,control_compute_communication,Control Compute Communication,backend_gateway,Backend gateway,review,yes,4,2,0,1,0,0,0,2,2,0,0,2,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): ocpp_network, service_port. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
control_compute_communication:protocol_stack,control_compute_communication,Control Compute Communication,protocol_stack,Vehicle protocol stack,review,yes,4,3,0,1,1,3,0,0,5,0,0,7,0,0,2,0.6667,,Resolve duplicate component identity before sourcing: iso_15118_plc_modem. 5 engineering review question(s) await acceptance. 5 verification activity row(s) await accepted evidence. 2 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
sensing_instrumentation:energy_metering,sensing_instrumentation,Metering And Electrical Sensing,energy_metering,Energy metering,review,yes,4,2,0,1,1,1,0,1,3,0,0,5,0,0,2,0.6667,,Resolve duplicate component identity before sourcing: mid_energy_meter. Review 1 local-only interface declaration(s): dc_output_bus. 3 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 2 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
sensing_instrumentation:insulation_fault_detection,sensing_instrumentation,Metering And Electrical Sensing,insulation_fault_detection,Insulation fault detection,review,yes,4,3,0,1,1,0,0,3,2,0,0,4,0,0,2,0.6667,,"Resolve duplicate component identity before sourcing: insulation_monitoring_device. Review 3 local-only interface declaration(s): insulation_monitoring, dc_output_bus, alarm_bus. 2 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence. 2 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
sensing_instrumentation:connector_sensing,sensing_instrumentation,Metering And Electrical Sensing,connector_sensing,Connector sensing,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): sensor_bus, ccs2_vehicle_interface, control_pilot. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
environmental_interface:liquid_cooling_loop,environmental_interface,Thermal And Environmental Interface,liquid_cooling_loop,Liquid cooling loop,review,yes,4,3,1,1,0,1,0,2,3,0,0,4,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): sensor_bus, service_access. 3 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
environmental_interface:thermal_air_path,environmental_interface,Thermal And Environmental Interface,thermal_air_path,Thermal air path,review,yes,4,3,0,0,0,1,0,2,3,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): airflow_path, protective_earth. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
environmental_interface:weatherproofing,environmental_interface,Thermal And Environmental Interface,weatherproofing,Weatherproofing,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): condensate_drain, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
structure_containment:outdoor_cabinet,structure_containment,Cabinet Structure And Containment,outdoor_cabinet,Outdoor cabinet,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): mechanical_mounts, service_access, protective_earth. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
structure_containment:cable_holster_boom,structure_containment,Cabinet Structure And Containment,cable_holster_boom,Cable holster and boom,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): ccs2_vehicle_interface, mechanical_mounts. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
structure_containment:internal_compartmentation,structure_containment,Cabinet Structure And Containment,internal_compartmentation,Internal compartmentation,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): service_access, protective_earth. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
safety_protection:emergency_stop_chain,safety_protection,Safety Protection,emergency_stop_chain,Emergency stop chain,review,yes,4,3,0,1,0,0,0,3,2,0,0,2,0,0,1,0.6667,,"Review 3 local-only interface declaration(s): emergency_stop, alarm_bus, control_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
safety_protection:dc_fault_protection,safety_protection,Safety Protection,dc_fault_protection,DC fault protection,review,yes,4,3,0,1,1,0,0,3,2,0,0,4,0,0,2,0.6667,,"Resolve duplicate component identity before sourcing: insulation_monitoring_device. Review 3 local-only interface declaration(s): dc_output_bus, insulation_monitoring, alarm_bus. 2 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence. 2 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
safety_protection:user_access_protection,safety_protection,Safety Protection,user_access_protection,User access protection,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): protective_earth, ccs2_vehicle_interface. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
