lineId,componentWordId,description,critical,field,value,status,sourceRef,sourceQuote,retrievedAt,nextAction
power_distribution_ac_input_switchgear_ac_input_breaker_and_spd,ac_input_breaker_and_spd,AC input breaker and SPD,true,supplier,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
power_distribution_ac_input_switchgear_ac_input_breaker_and_spd,ac_input_breaker_and_spd,AC input breaker and SPD,true,manufacturer,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
power_distribution_ac_input_switchgear_ac_input_breaker_and_spd,ac_input_breaker_and_spd,AC input breaker and SPD,true,mpn,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
power_distribution_ac_input_switchgear_ac_input_breaker_and_spd,ac_input_breaker_and_spd,AC input breaker and SPD,true,unit_cost_gbp,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
power_distribution_ac_input_switchgear_ac_input_breaker_and_spd,ac_input_breaker_and_spd,AC input breaker and SPD,true,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
power_distribution_ac_input_switchgear_lockable_ac_isolator,lockable_ac_isolator,lockable AC isolator,false,supplier,,not_claimed,,,,No claim is made for this field yet.
power_distribution_ac_input_switchgear_lockable_ac_isolator,lockable_ac_isolator,lockable AC isolator,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
power_distribution_ac_input_switchgear_lockable_ac_isolator,lockable_ac_isolator,lockable AC isolator,false,mpn,,not_claimed,,,,No claim is made for this field yet.
power_distribution_ac_input_switchgear_lockable_ac_isolator,lockable_ac_isolator,lockable AC isolator,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
power_distribution_ac_input_switchgear_lockable_ac_isolator,lockable_ac_isolator,lockable AC isolator,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
power_distribution_ac_input_switchgear_surge_arrestor_cartridge,surge_arrestor_cartridge,surge arrestor cartridge,false,supplier,,not_claimed,,,,No claim is made for this field yet.
power_distribution_ac_input_switchgear_surge_arrestor_cartridge,surge_arrestor_cartridge,surge arrestor cartridge,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
power_distribution_ac_input_switchgear_surge_arrestor_cartridge,surge_arrestor_cartridge,surge arrestor cartridge,false,mpn,,not_claimed,,,,No claim is made for this field yet.
power_distribution_ac_input_switchgear_surge_arrestor_cartridge,surge_arrestor_cartridge,surge arrestor cartridge,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
power_distribution_ac_input_switchgear_surge_arrestor_cartridge,surge_arrestor_cartridge,surge arrestor cartridge,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
power_distribution_ac_input_switchgear_input_terminal_shroud,input_terminal_shroud,input terminal shroud,false,supplier,,not_claimed,,,,No claim is made for this field yet.
power_distribution_ac_input_switchgear_input_terminal_shroud,input_terminal_shroud,input terminal shroud,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
power_distribution_ac_input_switchgear_input_terminal_shroud,input_terminal_shroud,input terminal shroud,false,mpn,,not_claimed,,,,No claim is made for this field yet.
power_distribution_ac_input_switchgear_input_terminal_shroud,input_terminal_shroud,input terminal shroud,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
power_distribution_ac_input_switchgear_input_terminal_shroud,input_terminal_shroud,input terminal shroud,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
power_distribution_dc_output_switchgear_dc_output_contactor_set,dc_output_contactor_set,DC output contactor set,true,supplier,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
