batchId,batchSequence,batchKind,batchTitle,batchStatus,itemId,closureRowId,action,priority,status,componentWordId,description,searchTerms,requiredEvidence,acceptanceCriteria,rejectionCriteria,targetOutcome,blocksProcurement,sourceArtifacts
sourcing-batch:1:component_identity_resolution,1,component_identity_resolution,Resolve Component Identity Before Pricing,waiting,component_identity_resolution:1:iso_15118_plc_modem,bom-close:charging_connector_interface_vehicle_communication_frontend_iso_15118_plc_modem,resolve_component_identity,blocker,blocked,iso_15118_plc_modem,ISO 15118 PLC modem,ISO 15118 PLC modem; ISO 15118 PLC modem manufacturer part number; ISO 15118 PLC modem catalogue price GBP; ISO 15118 PLC modem datasheet,canonical component identity decision; whether repeated allocations are one shared physical item or separate installed lines; updated componentWordId or quantity basis,Component identity worklist no longer reports this component as duplicated.; Sourcing evidence is admitted only after the line identity is unambiguous.,Same componentWordId continues to represent ambiguous physical quantities.,component identity unambiguous,yes,*.component-identity.csv; *.component-allocation-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:1:component_identity_resolution,1,component_identity_resolution,Resolve Component Identity Before Pricing,waiting,component_identity_resolution:2:iso_15118_plc_modem,bom-close:control_compute_communication_protocol_stack_iso_15118_plc_modem,resolve_component_identity,blocker,blocked,iso_15118_plc_modem,ISO 15118 PLC modem,ISO 15118 PLC modem; ISO 15118 PLC modem manufacturer part number; ISO 15118 PLC modem catalogue price GBP; ISO 15118 PLC modem datasheet,canonical component identity decision; whether repeated allocations are one shared physical item or separate installed lines; updated componentWordId or quantity basis,Component identity worklist no longer reports this component as duplicated.; Sourcing evidence is admitted only after the line identity is unambiguous.,Same componentWordId continues to represent ambiguous physical quantities.,component identity unambiguous,yes,*.component-identity.csv; *.component-allocation-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:1:component_identity_resolution,1,component_identity_resolution,Resolve Component Identity Before Pricing,waiting,component_identity_resolution:3:mid_energy_meter,bom-close:power_distribution_billing_metering_branch_mid_energy_meter,resolve_component_identity,blocker,blocked,mid_energy_meter,MID energy meter,MID energy meter; MID energy meter manufacturer part number; MID energy meter catalogue price GBP; MID energy meter datasheet,canonical component identity decision; whether repeated allocations are one shared physical item or separate installed lines; updated componentWordId or quantity basis,Component identity worklist no longer reports this component as duplicated.; Sourcing evidence is admitted only after the line identity is unambiguous.,Same componentWordId continues to represent ambiguous physical quantities.,component identity unambiguous,yes,*.component-identity.csv; *.component-allocation-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:1:component_identity_resolution,1,component_identity_resolution,Resolve Component Identity Before Pricing,waiting,component_identity_resolution:4:insulation_monitoring_device,bom-close:safety_protection_dc_fault_protection_insulation_monitoring_device,resolve_component_identity,blocker,blocked,insulation_monitoring_device,Insulation monitoring device,Insulation monitoring device; Insulation monitoring device manufacturer part number; Insulation monitoring device catalogue price GBP; Insulation monitoring device datasheet,canonical component identity decision; whether repeated allocations are one shared physical item or separate installed lines; updated componentWordId or quantity basis,Component identity worklist no longer reports this component as duplicated.; Sourcing evidence is admitted only after the line identity is unambiguous.,Same componentWordId continues to represent ambiguous physical quantities.,component identity unambiguous,yes,*.component-identity.csv; *.component-allocation-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:1:component_identity_resolution,1,component_identity_resolution,Resolve Component Identity Before Pricing,waiting,component_identity_resolution:5:mid_energy_meter,bom-close:sensing_instrumentation_energy_metering_mid_energy_meter,resolve_component_identity,blocker,blocked,mid_energy_meter,MID energy meter,MID energy meter; MID energy meter manufacturer part number; MID energy meter catalogue price GBP; MID energy meter datasheet,canonical component identity decision; whether repeated allocations are one shared physical item or separate installed lines; updated componentWordId or quantity basis,Component identity worklist no longer reports this component as duplicated.; Sourcing evidence is admitted only after the line identity is unambiguous.,Same componentWordId continues to represent ambiguous physical quantities.,component identity unambiguous,yes,*.component-identity.csv; *.component-allocation-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:1:component_identity_resolution,1,component_identity_resolution,Resolve Component Identity Before Pricing,waiting,component_identity_resolution:6:insulation_monitoring_device,bom-close:sensing_instrumentation_insulation_fault_detection_insulation_monitoring_device,resolve_component_identity,blocker,blocked,insulation_monitoring_device,Insulation monitoring device,Insulation monitoring device; Insulation monitoring device manufacturer part number; Insulation monitoring device catalogue price GBP; Insulation monitoring device datasheet,canonical component identity decision; whether repeated allocations are one shared physical item or separate installed lines; updated componentWordId or quantity basis,Component identity worklist no longer reports this component as duplicated.; Sourcing evidence is admitted only after the line identity is unambiguous.,Same componentWordId continues to represent ambiguous physical quantities.,component identity unambiguous,yes,*.component-identity.csv; *.component-allocation-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:1:ccs2_liquid_cooled_cable_and_connector,bom-close:charging_connector_interface_ccs2_cable_connector_ccs2_liquid_cooled_cable_and_connector,collect_source_evidence,blocker,ready,ccs2_liquid_cooled_cable_and_connector,CCS2 liquid-cooled cable and connector,CCS2 liquid-cooled cable and connector; CCS2 liquid-cooled cable and connector manufacturer part number; CCS2 liquid-cooled cable and connector catalogue price GBP; CCS2 liquid-cooled cable and connector datasheet,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:2:ocpp_communications_gateway,bom-close:control_compute_communication_backend_gateway_ocpp_communications_gateway,collect_source_evidence,blocker,ready,ocpp_communications_gateway,OCPP communications gateway,OCPP communications gateway; OCPP communications gateway manufacturer part number; OCPP communications gateway catalogue price GBP; OCPP communications gateway datasheet,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:3:power_module_stack,bom-close:energy_conversion_transduction_rectifier_power_modules_power_module_stack,collect_source_evidence,blocker,ready,power_module_stack,Power module stack,Power module stack; Power module stack manufacturer part number; Power module stack catalogue price GBP; Power module stack datasheet,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:4:cooling_loop_assembly,bom-close:environmental_interface_liquid_cooling_loop_cooling_loop_assembly,collect_source_evidence,blocker,ready,cooling_loop_assembly,Cooling loop assembly,Cooling loop assembly; Cooling loop assembly manufacturer part number; Cooling loop assembly catalogue price GBP; Cooling loop assembly datasheet,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
