rowType,id,moduleId,moduleName,subModuleId,subModuleName,componentWordId,label,status,interfaces,componentWordIds,criticalComponentWordIds,duplicateComponentWordIds,blockers,requiredAction
submodule,structure_containment:pressure_hull_shell,structure_containment,Pressure Structure Containment,pressure_hull_shell,Pressure hull shell,,,ready,pressure_boundary; mechanical_mounts; service_access,pressure_hull; endcap_clamp_ring; double_o_ring_gland_set; hull_proof_test_port,pressure_hull,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:internal_mounting_frame,structure_containment,Pressure Structure Containment,internal_mounting_frame,Internal mounting frame,,,ready,mechanical_mounts; service_access,electronics_tray_rail; battery_cradle_frame; payload_mounting_rail; trim_weight_pocket,,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:hydrodynamic_fairing,structure_containment,Pressure Structure Containment,hydrodynamic_fairing,Hydrodynamic fairing,,,ready,hydrodynamic_shell; mechanical_mounts; service_access,nose_fairing; tail_cone_fairing; stabilising_fin_set; access_hatch_latch_set,,,,Submodule has component candidates and no allocation blocker.
submodule,energy_storage_source:subsea_battery_pack,energy_storage_source,Subsea Energy Storage,subsea_battery_pack,Subsea battery pack,,,ready,dc_power_bus; battery_monitor_bus; thermal_path,battery_pack; battery_management_board; pack_isolation_fuse; pressure_rated_battery_enclosure,battery_pack,,,Submodule has component candidates and no allocation blocker.
submodule,energy_storage_source:charging_interface,energy_storage_source,Subsea Energy Storage,charging_interface,Charging interface,,,ready,service_access; dc_power_bus; battery_monitor_bus,charge_interlock_plug; shore_charger_adapter; state_of_charge_display_puck; battery_vent_inspection_plug,,,,Submodule has component candidates and no allocation blocker.
submodule,energy_storage_source:energy_monitoring,energy_storage_source,Subsea Energy Storage,energy_monitoring,Energy monitoring,,,ready,battery_monitor_bus; alarm_bus,coulomb_counter_module; pack_temperature_sensor_strip; energy_reserve_indicator; battery_telemetry_isolator,,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:dc_distribution,power_distribution,Subsea Power Distribution,dc_distribution,DC distribution,,,ready,dc_power_bus; thruster_power_bus; payload_power_bus,fused_dc_distribution_board; wet_mate_connector_set; main_power_enable_relay; bus_voltage_monitor,wet_mate_connector_set,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:low_voltage_rails,power_distribution,Subsea Power Distribution,low_voltage_rails,Low-voltage rails,,,ready,low_voltage_rail; payload_power_bus; service_access,24_v_dc_converter; 12_v_payload_converter; 5_v_avionics_converter; emi_power_filter,,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:isolation_grounding,power_distribution,Subsea Power Distribution,isolation_grounding,Isolation and grounding,,,ready,dc_power_bus; alarm_bus; service_access,ground_fault_monitor; chassis_bonding_strap; service_isolation_key; fault_annunciator_module,,,,Submodule has component candidates and no allocation blocker.
submodule,actuation_kinematics:thruster_array,actuation_kinematics,Thruster Actuation Kinematics,thruster_array,Thruster array,,,ready,thruster_power_bus; thrust_command_bus; mechanical_mounts,thruster_set; thruster_nozzle_guard; thruster_mounting_bracket; motor_phase_harness,thruster_set,,,Submodule has component candidates and no allocation blocker.
submodule,actuation_kinematics:drive_electronics,actuation_kinematics,Thruster Actuation Kinematics,drive_electronics,Drive electronics,,,ready,thruster_power_bus; thrust_command_bus; alarm_bus,thruster_motor_controller_stack; current_sensor_channel_set; controller_heat_spreader; thrust_calibration_table,,,,Submodule has component candidates and no allocation blocker.
submodule,actuation_kinematics:trim_surfaces,actuation_kinematics,Thruster Actuation Kinematics,trim_surfaces,Trim and stability surfaces,,,ready,hydrodynamic_shell; mechanical_mounts; service_access,adjustable_trim_fin; ballast_trim_block; roll_trim_screw_set; tow_tank_trim_mark,,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:mission_computer_stack,control_compute_communication,Autonomy Compute Communication,mission_computer_stack,Mission computer stack,,,ready,navigation_sensor_bus; payload_data_bus; thrust_command_bus; alarm_bus,mission_computer; real_time_control_board; watchdog_supervisor_module; mission_data_recorder,mission_computer,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:acoustic_communications,control_compute_communication,Autonomy Compute Communication,acoustic_communications,Acoustic communications,,,ready,acoustic_link; service_access; alarm_bus,acoustic_modem; acoustic_transducer_mount; acoustic_isolation_pad; surface_command_protocol_adapter,acoustic_modem,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:software_health_management,control_compute_communication,Autonomy Compute Communication,software_health_management,Software health management,,,ready,alarm_bus; battery_monitor_bus; service_access,failsafe_state_machine; time_sync_module; configuration_backup_storage; debug_service_port,,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:navigation_sensor_suite,sensing_instrumentation,Navigation And Payload Sensing,navigation_sensor_suite,Navigation sensor suite,,,ready,navigation_sensor_bus; service_access,dvl; inertial_navigation_unit; magnetic_compass_module; gnss_surface_receiver,dvl; inertial_navigation_unit,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:depth_environment_sensors,sensing_instrumentation,Navigation And Payload Sensing,depth_environment_sensors,Depth and environment sensors,,,ready,navigation_sensor_bus; pressure_boundary; alarm_bus,depth_and_pressure_sensor; water_temperature_probe; conductivity_sensor; internal_humidity_sensor,depth_and_pressure_sensor,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:payload_sensor_bay,sensing_instrumentation,Navigation And Payload Sensing,payload_sensor_bay,Payload sensor bay,,,ready,payload_data_bus; navigation_sensor_bus; pressure_boundary,forward_sonar_payload; camera_viewport_window; payload_sync_trigger; payload_data_link_module,forward_sonar_payload,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:pressure_boundary_management,environmental_interface,Pressure Thermal Buoyancy Interface,pressure_boundary_management,Pressure boundary management,,,ready,pressure_boundary; service_access,cable_penetrator_seal; pressure_compensation_bladder; oil_fill_service_port; pressure_equalisation_valve,,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:thermal_path,environmental_interface,Pressure Thermal Buoyancy Interface,thermal_path,Thermal path,,,ready,thermal_path; pressure_boundary; mechanical_mounts,electronics_thermal_bridge; hull_heat_spreader_plate; battery_thermal_pad; thruster_heat_sink_collar,,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:buoyancy_trim,environmental_interface,Pressure Thermal Buoyancy Interface,buoyancy_trim,Buoyancy and trim,,,ready,buoyancy_trim; hydrodynamic_shell; service_access,syntactic_foam_block_set; ballast_rail; buoyancy_calibration_tag; field_trim_worksheet,,,,Submodule has component candidates and no allocation blocker.
