lineId,componentWordId,description,critical,field,value,status,sourceRef,sourceQuote,retrievedAt,nextAction
structure_containment_pressure_hull_shell_pressure_hull,pressure_hull,Pressure hull,true,supplier,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_pressure_hull_shell_pressure_hull,pressure_hull,Pressure hull,true,manufacturer,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_pressure_hull_shell_pressure_hull,pressure_hull,Pressure hull,true,mpn,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_pressure_hull_shell_pressure_hull,pressure_hull,Pressure hull,true,unit_cost_gbp,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_pressure_hull_shell_pressure_hull,pressure_hull,Pressure hull,true,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_pressure_hull_shell_endcap_clamp_ring,endcap_clamp_ring,endcap clamp ring,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_pressure_hull_shell_endcap_clamp_ring,endcap_clamp_ring,endcap clamp ring,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_pressure_hull_shell_endcap_clamp_ring,endcap_clamp_ring,endcap clamp ring,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_pressure_hull_shell_endcap_clamp_ring,endcap_clamp_ring,endcap clamp ring,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_pressure_hull_shell_endcap_clamp_ring,endcap_clamp_ring,endcap clamp ring,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_pressure_hull_shell_double_o_ring_gland_set,double_o_ring_gland_set,double O-ring gland set,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_pressure_hull_shell_double_o_ring_gland_set,double_o_ring_gland_set,double O-ring gland set,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_pressure_hull_shell_double_o_ring_gland_set,double_o_ring_gland_set,double O-ring gland set,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_pressure_hull_shell_double_o_ring_gland_set,double_o_ring_gland_set,double O-ring gland set,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_pressure_hull_shell_double_o_ring_gland_set,double_o_ring_gland_set,double O-ring gland set,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_pressure_hull_shell_hull_proof_test_port,hull_proof_test_port,hull proof-test port,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_pressure_hull_shell_hull_proof_test_port,hull_proof_test_port,hull proof-test port,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_pressure_hull_shell_hull_proof_test_port,hull_proof_test_port,hull proof-test port,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_pressure_hull_shell_hull_proof_test_port,hull_proof_test_port,hull proof-test port,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_pressure_hull_shell_hull_proof_test_port,hull_proof_test_port,hull proof-test port,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_electronics_tray_rail,electronics_tray_rail,electronics tray rail,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_electronics_tray_rail,electronics_tray_rail,electronics tray rail,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_electronics_tray_rail,electronics_tray_rail,electronics tray rail,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_electronics_tray_rail,electronics_tray_rail,electronics tray rail,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_electronics_tray_rail,electronics_tray_rail,electronics tray rail,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_battery_cradle_frame,battery_cradle_frame,battery cradle frame,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_battery_cradle_frame,battery_cradle_frame,battery cradle frame,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_battery_cradle_frame,battery_cradle_frame,battery cradle frame,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_battery_cradle_frame,battery_cradle_frame,battery cradle frame,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_battery_cradle_frame,battery_cradle_frame,battery cradle frame,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_payload_mounting_rail,payload_mounting_rail,payload mounting rail,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_payload_mounting_rail,payload_mounting_rail,payload mounting rail,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_payload_mounting_rail,payload_mounting_rail,payload mounting rail,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_payload_mounting_rail,payload_mounting_rail,payload mounting rail,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_payload_mounting_rail,payload_mounting_rail,payload mounting rail,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_trim_weight_pocket,trim_weight_pocket,trim weight pocket,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_trim_weight_pocket,trim_weight_pocket,trim weight pocket,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_trim_weight_pocket,trim_weight_pocket,trim weight pocket,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_trim_weight_pocket,trim_weight_pocket,trim weight pocket,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_internal_mounting_frame_trim_weight_pocket,trim_weight_pocket,trim weight pocket,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_hydrodynamic_fairing_nose_fairing,nose_fairing,nose fairing,false,supplier,,not_claimed,,,,No claim is made for this field yet.
