id,kind,priority,status,scope,reviewerQuestion,evidenceRequired,acceptanceCriteria,linkedModuleIds,linkedSubModuleIds,linkedComponentWordIds,linkedRequirementIds,linkedInterfaceIds,linkedCalculationIds,blockers
assumption_resolution:compliance:G99,assumption_resolution,major,needs_review,G99,"Can the G99 assumption be accepted for architecture review, or must it be replaced with evidence?","Protection settings, relay test certificates and commissioning records.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:IEC-62619,assumption_resolution,major,needs_review,IEC-62619,"Can the IEC-62619 assumption be accepted for architecture review, or must it be replaced with evidence?",Cell certificates and pack-level safety validation.,"Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:UL-9540A,assumption_resolution,major,needs_review,UL-9540A,"Can the UL-9540A assumption be accepted for architecture review, or must it be replaced with evidence?","Cell, module and unit-level propagation evidence.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:component:control_compute_communication_bms_master_bms_master_controller,assumption_resolution,major,needs_review,BMS master controller,"Can the BMS master controller assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,bms_master_controller,,,,
assumption_resolution:component:energy_conversion_transduction_pcs_inverter_pcs_inverter,assumption_resolution,major,needs_review,PCS inverter,"Can the PCS inverter assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,pcs_inverter,,,,
assumption_resolution:component:energy_storage_source_cell_string_lfp_prismatic_cells,assumption_resolution,major,needs_review,LFP prismatic cells,"Can the LFP prismatic cells assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,lfp_prismatic_cells,,,,
assumption_resolution:component:energy_storage_source_dc_string_output_dc_contactor_or_breaker,assumption_resolution,major,needs_review,DC contactor or breaker,"Can the DC contactor or breaker assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,dc_contactor_or_breaker,,,,
assumption_resolution:component:mass_fluid_transport_process_pump_station_thermal_management_loop,assumption_resolution,major,needs_review,Thermal management loop,"Can the Thermal management loop assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,thermal_management_loop,,,,
assumption_resolution:component:safety_protection_fire_suppression_fire_detection_suppression,assumption_resolution,major,needs_review,Fire detection/suppression,"Can the Fire detection/suppression assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,fire_detection_suppression,,,,
assumption_resolution:interface:energy_storage_source:control_compute_communication:bms_network,assumption_resolution,major,needs_review,energy_storage_source -> control_compute_communication,"Can the energy_storage_source -> control_compute_communication assumption be accepted for architecture review, or must it be replaced with evidence?","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,bms_network,,
