id,moduleId,moduleName,subModuleId,subModuleName,verdict,purposePresent,componentWordCount,interfaceCount,linkedRequirementCount,criticalComponentCount,duplicateComponentCount,carrierContractCount,missingCarrierContractCount,localOnlyInterfaceCount,reviewQuestions,acceptedReviewQuestions,blockedReviewQuestions,verificationActivities,acceptedVerificationActivities,blockedVerificationActivities,criticalUnpricedLines,passRatio,blockers,requiredAction
structure_containment:pressure_hull_shell,structure_containment,Pressure Structure Containment,pressure_hull_shell,Pressure hull shell,review,yes,4,3,1,1,0,2,0,2,4,0,0,5,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): mechanical_mounts, service_access. 4 engineering review question(s) await acceptance. 4 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
structure_containment:internal_mounting_frame,structure_containment,Pressure Structure Containment,internal_mounting_frame,Internal mounting frame,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): mechanical_mounts, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
structure_containment:hydrodynamic_fairing,structure_containment,Pressure Structure Containment,hydrodynamic_fairing,Hydrodynamic fairing,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): hydrodynamic_shell, mechanical_mounts, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
energy_storage_source:subsea_battery_pack,energy_storage_source,Subsea Energy Storage,subsea_battery_pack,Subsea battery pack,review,yes,4,3,1,1,0,1,0,2,3,0,0,4,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): battery_monitor_bus, thermal_path. 3 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
energy_storage_source:charging_interface,energy_storage_source,Subsea Energy Storage,charging_interface,Charging interface,review,yes,4,3,0,0,0,1,0,2,3,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): service_access, battery_monitor_bus. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
energy_storage_source:energy_monitoring,energy_storage_source,Subsea Energy Storage,energy_monitoring,Energy monitoring,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): battery_monitor_bus, alarm_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
power_distribution:dc_distribution,power_distribution,Subsea Power Distribution,dc_distribution,DC distribution,review,yes,4,3,1,1,0,2,0,1,4,0,0,5,0,0,1,0.6667,,Review 1 local-only interface declaration(s): payload_power_bus. 4 engineering review question(s) await acceptance. 4 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
power_distribution:low_voltage_rails,power_distribution,Subsea Power Distribution,low_voltage_rails,Low-voltage rails,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): low_voltage_rail, payload_power_bus, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
power_distribution:isolation_grounding,power_distribution,Subsea Power Distribution,isolation_grounding,Isolation and grounding,review,yes,4,3,0,0,0,1,0,2,3,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): alarm_bus, service_access. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
actuation_kinematics:thruster_array,actuation_kinematics,Thruster Actuation Kinematics,thruster_array,Thruster array,review,yes,4,3,1,1,0,2,0,1,4,0,0,5,0,0,1,0.6667,,Review 1 local-only interface declaration(s): mechanical_mounts. 4 engineering review question(s) await acceptance. 4 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
