id,moduleId,moduleName,subModuleId,subModuleName,verdict,purposePresent,componentWordCount,interfaceCount,linkedRequirementCount,criticalComponentCount,duplicateComponentCount,carrierContractCount,missingCarrierContractCount,localOnlyInterfaceCount,reviewQuestions,acceptedReviewQuestions,blockedReviewQuestions,verificationActivities,acceptedVerificationActivities,blockedVerificationActivities,criticalUnpricedLines,passRatio,blockers,requiredAction
energy_conversion_transduction:compressor_inverter_stage,energy_conversion_transduction,Refrigerant Energy Conversion,compressor_inverter_stage,Compressor inverter stage,review,yes,4,3,2,1,0,2,0,1,4,0,0,5,0,0,1,0.6667,,Review 1 local-only interface declaration(s): protective_earth. 4 engineering review question(s) await acceptance. 4 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
energy_conversion_transduction:expansion_metering_stage,energy_conversion_transduction,Refrigerant Energy Conversion,expansion_metering_stage,Expansion metering stage,review,yes,4,3,0,1,0,2,0,1,4,0,0,4,0,0,1,0.6667,,Review 1 local-only interface declaration(s): service_access. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
energy_conversion_transduction:refrigerant_manifold,energy_conversion_transduction,Refrigerant Energy Conversion,refrigerant_manifold,Refrigerant manifold,review,yes,4,2,0,0,0,1,0,1,3,0,0,2,0,0,0,0.6667,,Review 1 local-only interface declaration(s): service_access. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence.
energy_conversion_transduction:condenser_coupling_boundary,energy_conversion_transduction,Refrigerant Energy Conversion,condenser_coupling_boundary,Condenser coupling boundary,review,yes,4,4,0,0,0,2,0,2,4,0,0,3,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): sensor_bus, service_access. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence."
environmental_interface:outdoor_evaporator,environmental_interface,Outdoor Air Interface,outdoor_evaporator,Outdoor evaporator,review,yes,4,3,1,1,0,1,0,2,3,0,0,4,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): airflow_path, sensor_bus. 3 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
environmental_interface:fan_air_path,environmental_interface,Outdoor Air Interface,fan_air_path,Fan air path,review,yes,4,3,0,1,0,0,0,3,2,0,0,2,0,0,1,0.6667,,"Review 3 local-only interface declaration(s): airflow_path, control_bus, protective_earth. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
environmental_interface:defrost_condensate,environmental_interface,Outdoor Air Interface,defrost_condensate,Defrost and condensate path,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): condensate_drain, sensor_bus, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
mass_fluid_transport_process:condenser_heat_exchanger,mass_fluid_transport_process,Hydronic Heat Delivery,condenser_heat_exchanger,Condenser heat exchanger,review,yes,4,3,1,1,0,1,0,2,3,0,0,4,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): refrigerant_loop, sensor_bus. 3 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
mass_fluid_transport_process:circulation_pump_group,mass_fluid_transport_process,Hydronic Heat Delivery,circulation_pump_group,Circulation pump group,review,yes,4,3,0,1,0,1,0,2,3,0,0,3,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): control_bus, protective_earth. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
mass_fluid_transport_process:hydronic_safety_group,mass_fluid_transport_process,Hydronic Heat Delivery,hydronic_safety_group,Hydronic safety group,review,yes,4,3,0,1,0,1,0,2,3,0,0,3,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): pressure_relief, service_access. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
control_compute_communication:main_controller,control_compute_communication,Control Compute Communication,main_controller,Main controller,review,yes,4,3,1,1,0,2,0,1,4,0,0,5,0,0,1,0.6667,,Review 1 local-only interface declaration(s): service_port. 4 engineering review question(s) await acceptance. 4 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
control_compute_communication:power_driver_io,control_compute_communication,Control Compute Communication,power_driver_io,Power driver IO,review,yes,4,3,0,0,0,1,0,2,3,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): protective_earth, alarm_bus. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
control_compute_communication:service_communications,control_compute_communication,Control Compute Communication,service_communications,Service communications,review,yes,4,2,0,0,0,1,0,1,3,0,0,2,0,0,0,0.6667,,Review 1 local-only interface declaration(s): service_port. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence.
sensing_instrumentation:refrigerant_sensing,sensing_instrumentation,Sensing Instrumentation,refrigerant_sensing,Refrigerant sensing,review,yes,4,2,1,1,0,1,0,1,3,0,0,4,0,0,1,0.6667,,Review 1 local-only interface declaration(s): refrigerant_loop. 3 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
sensing_instrumentation:water_sensing,sensing_instrumentation,Sensing Instrumentation,water_sensing,Water sensing,review,yes,4,2,0,0,0,1,0,1,3,0,0,2,0,0,0,0.6667,,Review 1 local-only interface declaration(s): hydronic_loop. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence.
sensing_instrumentation:ambient_sensing,sensing_instrumentation,Sensing Instrumentation,ambient_sensing,Ambient sensing,review,yes,4,2,0,0,0,1,0,1,3,0,0,2,0,0,0,0.6667,,Review 1 local-only interface declaration(s): airflow_path. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence.
power_distribution:mains_input_protection,power_distribution,Electrical Power Distribution,mains_input_protection,Mains input protection,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): mains_supply, protective_earth, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
power_distribution:internal_power_rails,power_distribution,Electrical Power Distribution,internal_power_rails,Internal power rails,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): mains_supply, control_bus, protective_earth. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
power_distribution:cable_management,power_distribution,Electrical Power Distribution,cable_management,Cable management,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): service_access, sensor_bus, control_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
structure_containment:weatherproof_cabinet,structure_containment,Monobloc Structure And Containment,weatherproof_cabinet,Weatherproof cabinet,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): airflow_path, service_access, protective_earth. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
structure_containment:mounting_base,structure_containment,Monobloc Structure And Containment,mounting_base,Mounting base,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): mechanical_mounts, condensate_drain. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
structure_containment:service_access_panels,structure_containment,Monobloc Structure And Containment,service_access_panels,Service access panels,review,yes,4,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0.6667,,Review 1 local-only interface declaration(s): service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence.
safety_protection:refrigerant_safety,safety_protection,Safety Protection,refrigerant_safety,Refrigerant safety,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): refrigerant_loop, sensor_bus, alarm_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
safety_protection:hydronic_freeze_protection,safety_protection,Safety Protection,hydronic_freeze_protection,Hydronic freeze protection,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): hydronic_loop, sensor_bus, control_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
safety_protection:electrical_safety,safety_protection,Safety Protection,electrical_safety,Electrical safety,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): protective_earth, mains_supply, alarm_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
maintenance_serviceability:commissioning_ports,maintenance_serviceability,Maintenance And Commissioning,commissioning_ports,Commissioning ports,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): service_access, refrigerant_loop, hydronic_loop. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
maintenance_serviceability:filter_service,maintenance_serviceability,Maintenance And Commissioning,filter_service,Filter service,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): service_access, hydronic_loop, airflow_path. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
