activityId,activity,evidenceKind,plannedStatus,ledgerStatus,moduleId,moduleName,reviewerName,evidenceRef,evidenceNote,reviewedAt,residualAction
design_review:structure_containment,Review Pressure Structure Containment architecture allocation,design_review,ready_for_review,pending,structure_containment,Pressure Structure Containment,,,,,Collect reviewer evidence through the verification intake template.
calculation:structure_containment,Verify Pressure Structure Containment requirement calculations,calculation,ready_for_review,pending,structure_containment,Pressure Structure Containment,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:structure_containment,Collect source-backed evidence for Pressure Structure Containment critical components,source_evidence,blocked,source_evidence_required,structure_containment,Pressure Structure Containment,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:energy_storage_source,Review Subsea Energy Storage architecture allocation,design_review,ready_for_review,pending,energy_storage_source,Subsea Energy Storage,,,,,Collect reviewer evidence through the verification intake template.
calculation:energy_storage_source,Verify Subsea Energy Storage requirement calculations,calculation,ready_for_review,pending,energy_storage_source,Subsea Energy Storage,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:energy_storage_source,Collect source-backed evidence for Subsea Energy Storage critical components,source_evidence,blocked,source_evidence_required,energy_storage_source,Subsea Energy Storage,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:power_distribution,Review Subsea Power Distribution architecture allocation,design_review,ready_for_review,pending,power_distribution,Subsea Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
calculation:power_distribution,Verify Subsea Power Distribution requirement calculations,calculation,ready_for_review,pending,power_distribution,Subsea Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:power_distribution,Collect source-backed evidence for Subsea Power Distribution critical components,source_evidence,blocked,source_evidence_required,power_distribution,Subsea Power Distribution,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:actuation_kinematics,Review Thruster Actuation Kinematics architecture allocation,design_review,ready_for_review,pending,actuation_kinematics,Thruster Actuation Kinematics,,,,,Collect reviewer evidence through the verification intake template.
calculation:actuation_kinematics,Verify Thruster Actuation Kinematics requirement calculations,calculation,ready_for_review,pending,actuation_kinematics,Thruster Actuation Kinematics,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:actuation_kinematics,Collect source-backed evidence for Thruster Actuation Kinematics critical components,source_evidence,blocked,source_evidence_required,actuation_kinematics,Thruster Actuation Kinematics,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:control_compute_communication,Review Autonomy Compute Communication architecture allocation,design_review,ready_for_review,pending,control_compute_communication,Autonomy Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
calculation:control_compute_communication,Verify Autonomy Compute Communication requirement calculations,calculation,ready_for_review,pending,control_compute_communication,Autonomy Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:control_compute_communication,Collect source-backed evidence for Autonomy Compute Communication critical components,source_evidence,blocked,source_evidence_required,control_compute_communication,Autonomy Compute Communication,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:sensing_instrumentation,Review Navigation And Payload Sensing architecture allocation,design_review,ready_for_review,pending,sensing_instrumentation,Navigation And Payload Sensing,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:sensing_instrumentation,Collect source-backed evidence for Navigation And Payload Sensing critical components,source_evidence,blocked,source_evidence_required,sensing_instrumentation,Navigation And Payload Sensing,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:environmental_interface,Review Pressure Thermal Buoyancy Interface architecture allocation,design_review,ready_for_review,pending,environmental_interface,Pressure Thermal Buoyancy Interface,,,,,Collect reviewer evidence through the verification intake template.
calculation:environmental_interface,Verify Pressure Thermal Buoyancy Interface requirement calculations,calculation,ready_for_review,pending,environmental_interface,Pressure Thermal Buoyancy Interface,,,,,Collect reviewer evidence through the verification intake template.
design_review:safety_protection,Review Leak Abort And Recovery Safety architecture allocation,design_review,ready_for_review,pending,safety_protection,Leak Abort And Recovery Safety,,,,,Collect reviewer evidence through the verification intake template.
calculation:safety_protection,Verify Leak Abort And Recovery Safety requirement calculations,calculation,ready_for_review,pending,safety_protection,Leak Abort And Recovery Safety,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:safety_protection,Collect source-backed evidence for Leak Abort And Recovery Safety critical components,source_evidence,blocked,source_evidence_required,safety_protection,Leak Abort And Recovery Safety,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:maintenance_serviceability,Review Deck Recovery And Service architecture allocation,design_review,ready_for_review,pending,maintenance_serviceability,Deck Recovery And Service,,,,,Collect reviewer evidence through the verification intake template.
interface_review:energy_storage_source:power_distribution:dc_power_bus,Verify dc_power_bus interface contract,interface_review,ready_for_review,pending,energy_storage_source:power_distribution,Subsea Energy Storage -> Subsea Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
interface_review:power_distribution:actuation_kinematics:thruster_power_bus,Verify thruster_power_bus interface contract,interface_review,ready_for_review,pending,power_distribution:actuation_kinematics,Subsea Power Distribution -> Thruster Actuation Kinematics,,,,,Collect reviewer evidence through the verification intake template.
interface_review:control_compute_communication:actuation_kinematics:thrust_command_bus,Verify thrust_command_bus interface contract,interface_review,ready_for_review,pending,control_compute_communication:actuation_kinematics,Autonomy Compute Communication -> Thruster Actuation Kinematics,,,,,Collect reviewer evidence through the verification intake template.
