id,kind,priority,status,scope,issue,requiredEvidence,closurePath,blocks,linkedIds,source
readiness:1,readiness_blocker,blocker,open,Report readiness gate,bom score 1 is below 8.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",score_repair,publishable,,report_readiness_gate
readiness:2,readiness_blocker,blocker,open,Report readiness gate,12 critical BoM line(s) lack source-backed cost evidence.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",sourcing_intake,bom; publishable,,report_readiness_gate
readiness:3,readiness_blocker,blocker,open,Report readiness gate,8 verification activity/activities remain blocked.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",verification_intake,publishable,,report_readiness_gate
readiness:4,readiness_blocker,blocker,open,Report readiness gate,0/35 non-sourcing verification activity/activities have accepted reviewer evidence.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",verification_intake,publishable,,report_readiness_gate
calculation:cgm_total_wear_readings,calculation_review,major,needs_review,CGM total wear readings,4032 readings over the stated wear period.,"Confirm memory, telemetry retries, battery capacity, sensor drift and calibration strategy.",engineering_review,publishable,wear_days; reading_interval_minutes,engineering_calculation_ledger
assumption:metric:headline_output,assumption_review,major,needs_review,Sensor wear duration,Sensor wear duration uses wear_days with medium confidence.,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",engineering_review,publishable,,engineering_assumption_ledger
assumption:metric:capex_gbp,assumption_review,blocker,ready_for_intake,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,Admit source-backed BoM pricing before treating this cost metric as a claim.,sourcing_intake,bom; publishable,,engineering_assumption_ledger
assumption:metric:opex_annual_gbp,assumption_review,blocker,ready_for_intake,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,Admit source-backed BoM pricing before treating this cost metric as a claim.,sourcing_intake,bom; publishable,,engineering_assumption_ledger
assumption:sanity:cgm_wear_duration,assumption_review,major,needs_review,Wear Duration,"Wear Duration currently evaluates as pass against 7 to 15 days for common disposable CGM patch wear; longer wear needs adhesive, biocompatibility and sensor-drift evidence.","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,wear_days,engineering_assumption_ledger
assumption:sanity:cgm_reading_interval,assumption_review,major,needs_review,Reading Interval,Reading Interval currently evaluates as pass against 1 to 15 minute reading intervals for wearable trend monitoring before battery and radio duty-cycle evidence.,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,reading_interval_minutes,engineering_assumption_ledger
assumption:sanity:cgm_accuracy_target,assumption_review,major,needs_review,MARD Accuracy Target,"MARD Accuracy Target currently evaluates as pass against <=10% MARD target before clinical validation; 10-15% needs strong use-case constraints, >15% is weak for dosing-adjacent use.","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,mard_percent,engineering_assumption_ledger
