id,kind,status,basis,scope,claim,provenanceRefs,sourceRefs,reviewerEvidenceRefs,linkedRequirementIds,linkedModuleIds,linkedComponentWordIds,blocksBom,blocksPublish,nextAction
bom_source_field:actuation_kinematics_esc_stack_esc:manufacturer,bom_source_field,source_required,assumption,ESC / manufacturer,manufacturer is required but not source-backed.,,,,,actuation_kinematics,esc,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_esc_stack_esc:mpn,bom_source_field,source_required,assumption,ESC / mpn,mpn is required but not source-backed.,,,,,actuation_kinematics,esc,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_esc_stack_esc:supplier,bom_source_field,source_required,assumption,ESC / supplier,supplier is required but not source-backed.,,,,,actuation_kinematics,esc,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_esc_stack_esc:unit_cost_gbp,bom_source_field,source_required,assumption,ESC / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,actuation_kinematics,esc,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_motor_sets_brushless_motors:manufacturer,bom_source_field,source_required,assumption,Brushless motors / manufacturer,manufacturer is required but not source-backed.,,,,duration_minutes,actuation_kinematics,brushless_motors,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_motor_sets_brushless_motors:mpn,bom_source_field,source_required,assumption,Brushless motors / mpn,mpn is required but not source-backed.,,,,duration_minutes,actuation_kinematics,brushless_motors,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_motor_sets_brushless_motors:supplier,bom_source_field,source_required,assumption,Brushless motors / supplier,supplier is required but not source-backed.,,,,duration_minutes,actuation_kinematics,brushless_motors,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_motor_sets_brushless_motors:unit_cost_gbp,bom_source_field,source_required,assumption,Brushless motors / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,duration_minutes,actuation_kinematics,brushless_motors,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_propeller_sets_propeller_set:manufacturer,bom_source_field,source_required,assumption,Propeller set / manufacturer,manufacturer is required but not source-backed.,,,,,actuation_kinematics,propeller_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_propeller_sets_propeller_set:mpn,bom_source_field,source_required,assumption,Propeller set / mpn,mpn is required but not source-backed.,,,,,actuation_kinematics,propeller_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_propeller_sets_propeller_set:supplier,bom_source_field,source_required,assumption,Propeller set / supplier,supplier is required but not source-backed.,,,,,actuation_kinematics,propeller_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_propeller_sets_propeller_set:unit_cost_gbp,bom_source_field,source_required,assumption,Propeller set / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,actuation_kinematics,propeller_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_flight_controller_stack_flight_controller:manufacturer,bom_source_field,source_required,assumption,Flight controller / manufacturer,manufacturer is required but not source-backed.,,,,duration_minutes,control_compute_communication,flight_controller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
