lineId,componentWordId,description,critical,field,value,status,sourceRef,sourceQuote,retrievedAt,nextAction
structure_containment_wing_primary_structure_high_aspect_ratio_wing_structure,high_aspect_ratio_wing_structure,High-aspect-ratio wing structure,true,supplier,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_wing_primary_structure_high_aspect_ratio_wing_structure,high_aspect_ratio_wing_structure,High-aspect-ratio wing structure,true,manufacturer,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_wing_primary_structure_high_aspect_ratio_wing_structure,high_aspect_ratio_wing_structure,High-aspect-ratio wing structure,true,mpn,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_wing_primary_structure_high_aspect_ratio_wing_structure,high_aspect_ratio_wing_structure,High-aspect-ratio wing structure,true,unit_cost_gbp,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_wing_primary_structure_high_aspect_ratio_wing_structure,high_aspect_ratio_wing_structure,High-aspect-ratio wing structure,true,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_wing_primary_structure_carbon_spar_cap_set,carbon_spar_cap_set,carbon spar cap set,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_wing_primary_structure_carbon_spar_cap_set,carbon_spar_cap_set,carbon spar cap set,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_wing_primary_structure_carbon_spar_cap_set,carbon_spar_cap_set,carbon spar cap set,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_wing_primary_structure_carbon_spar_cap_set,carbon_spar_cap_set,carbon spar cap set,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_wing_primary_structure_carbon_spar_cap_set,carbon_spar_cap_set,carbon spar cap set,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_wing_primary_structure_foam_rib_set,foam_rib_set,foam rib set,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_wing_primary_structure_foam_rib_set,foam_rib_set,foam rib set,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_wing_primary_structure_foam_rib_set,foam_rib_set,foam rib set,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_wing_primary_structure_foam_rib_set,foam_rib_set,foam rib set,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_wing_primary_structure_foam_rib_set,foam_rib_set,foam rib set,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_wing_primary_structure_wing_joiner_sleeve,wing_joiner_sleeve,wing joiner sleeve,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_wing_primary_structure_wing_joiner_sleeve,wing_joiner_sleeve,wing joiner sleeve,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_wing_primary_structure_wing_joiner_sleeve,wing_joiner_sleeve,wing joiner sleeve,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_wing_primary_structure_wing_joiner_sleeve,wing_joiner_sleeve,wing joiner sleeve,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_wing_primary_structure_wing_joiner_sleeve,wing_joiner_sleeve,wing joiner sleeve,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
