priority,componentWordId,description,quantity,unit,searchTerms,requiredEvidenceFields,acceptanceCriteria,rejectionCriteria
critical,adhesive_skin_patch,Adhesive skin patch,1,candidate,Adhesive skin patch | Adhesive skin patch manufacturer part number | Adhesive skin patch catalogue price GBP | Adhesive skin patch datasheet | Adhesive skin patch continuous glucose monitor | Adhesive skin patch wearable medical device,componentWordId | supplierName | manufacturer | mpn | unitCostGbp | leadTimeWeeks | sourceGrade | evidence.ref | evidence.quote | retrievedAt,"componentWordId exactly matches a candidate BoM line. | unitCostGbp is a positive GBP number with quantity basis clear enough to reproduce total cost. | evidence.kind is source, with a retrievable URL, quote reference, catalogue page, distributor listing, or quote file reference. | manufacturer and MPN are present unless the item is an engineered assembly; assemblies require a supplier quote or datasheet reference. | lead time is recorded when available; if unavailable, evidence quote must say it was unavailable.","No source reference, missing supplier name, missing quote/evidence note, or non-positive unit cost. | LLM-estimated prices, generic web snippets, benchmark averages, or class-pack defaults. | Manufacturer/MPN copied from an unsourced model output rather than the source evidence."
critical,glucose_sensing_filament,Glucose sensing filament,1,candidate,Glucose sensing filament | Glucose sensing filament manufacturer part number | Glucose sensing filament catalogue price GBP | Glucose sensing filament datasheet | Glucose sensing filament continuous glucose monitor | Glucose sensing filament wearable medical device,componentWordId | supplierName | manufacturer | mpn | unitCostGbp | leadTimeWeeks | sourceGrade | evidence.ref | evidence.quote | retrievedAt,"componentWordId exactly matches a candidate BoM line. | unitCostGbp is a positive GBP number with quantity basis clear enough to reproduce total cost. | evidence.kind is source, with a retrievable URL, quote reference, catalogue page, distributor listing, or quote file reference. | manufacturer and MPN are present unless the item is an engineered assembly; assemblies require a supplier quote or datasheet reference. | lead time is recorded when available; if unavailable, evidence quote must say it was unavailable.","No source reference, missing supplier name, missing quote/evidence note, or non-positive unit cost. | LLM-estimated prices, generic web snippets, benchmark averages, or class-pack defaults. | Manufacturer/MPN copied from an unsourced model output rather than the source evidence."
critical,enzyme_reagent_membrane,Enzyme reagent membrane,1,candidate,Enzyme reagent membrane | Enzyme reagent membrane manufacturer part number | Enzyme reagent membrane catalogue price GBP | Enzyme reagent membrane datasheet | Enzyme reagent membrane continuous glucose monitor | Enzyme reagent membrane wearable medical device,componentWordId | supplierName | manufacturer | mpn | unitCostGbp | leadTimeWeeks | sourceGrade | evidence.ref | evidence.quote | retrievedAt,"componentWordId exactly matches a candidate BoM line. | unitCostGbp is a positive GBP number with quantity basis clear enough to reproduce total cost. | evidence.kind is source, with a retrievable URL, quote reference, catalogue page, distributor listing, or quote file reference. | manufacturer and MPN are present unless the item is an engineered assembly; assemblies require a supplier quote or datasheet reference. | lead time is recorded when available; if unavailable, evidence quote must say it was unavailable.","No source reference, missing supplier name, missing quote/evidence note, or non-positive unit cost. | LLM-estimated prices, generic web snippets, benchmark averages, or class-pack defaults. | Manufacturer/MPN copied from an unsourced model output rather than the source evidence."
critical,reference_electrode,Reference electrode,1,candidate,Reference electrode | Reference electrode manufacturer part number | Reference electrode catalogue price GBP | Reference electrode datasheet | Reference electrode continuous glucose monitor | Reference electrode wearable medical device,componentWordId | supplierName | manufacturer | mpn | unitCostGbp | leadTimeWeeks | sourceGrade | evidence.ref | evidence.quote | retrievedAt,"componentWordId exactly matches a candidate BoM line. | unitCostGbp is a positive GBP number with quantity basis clear enough to reproduce total cost. | evidence.kind is source, with a retrievable URL, quote reference, catalogue page, distributor listing, or quote file reference. | manufacturer and MPN are present unless the item is an engineered assembly; assemblies require a supplier quote or datasheet reference. | lead time is recorded when available; if unavailable, evidence quote must say it was unavailable.","No source reference, missing supplier name, missing quote/evidence note, or non-positive unit cost. | LLM-estimated prices, generic web snippets, benchmark averages, or class-pack defaults. | Manufacturer/MPN copied from an unsourced model output rather than the source evidence."
critical,disposable_applicator,Disposable applicator,1,candidate,Disposable applicator | Disposable applicator manufacturer part number | Disposable applicator catalogue price GBP | Disposable applicator datasheet | Disposable applicator continuous glucose monitor | Disposable applicator wearable medical device,componentWordId | supplierName | manufacturer | mpn | unitCostGbp | leadTimeWeeks | sourceGrade | evidence.ref | evidence.quote | retrievedAt,"componentWordId exactly matches a candidate BoM line. | unitCostGbp is a positive GBP number with quantity basis clear enough to reproduce total cost. | evidence.kind is source, with a retrievable URL, quote reference, catalogue page, distributor listing, or quote file reference. | manufacturer and MPN are present unless the item is an engineered assembly; assemblies require a supplier quote or datasheet reference. | lead time is recorded when available; if unavailable, evidence quote must say it was unavailable.","No source reference, missing supplier name, missing quote/evidence note, or non-positive unit cost. | LLM-estimated prices, generic web snippets, benchmark averages, or class-pack defaults. | Manufacturer/MPN copied from an unsourced model output rather than the source evidence."
critical,protective_transmitter_housing,Protective transmitter housing,1,candidate,Protective transmitter housing | Protective transmitter housing manufacturer part number | Protective transmitter housing catalogue price GBP | Protective transmitter housing datasheet | Protective transmitter housing continuous glucose monitor | Protective transmitter housing wearable medical device,componentWordId | supplierName | manufacturer | mpn | unitCostGbp | leadTimeWeeks | sourceGrade | evidence.ref | evidence.quote | retrievedAt,"componentWordId exactly matches a candidate BoM line. | unitCostGbp is a positive GBP number with quantity basis clear enough to reproduce total cost. | evidence.kind is source, with a retrievable URL, quote reference, catalogue page, distributor listing, or quote file reference. | manufacturer and MPN are present unless the item is an engineered assembly; assemblies require a supplier quote or datasheet reference. | lead time is recorded when available; if unavailable, evidence quote must say it was unavailable.","No source reference, missing supplier name, missing quote/evidence note, or non-positive unit cost. | LLM-estimated prices, generic web snippets, benchmark averages, or class-pack defaults. | Manufacturer/MPN copied from an unsourced model output rather than the source evidence."
critical,thin_film_battery,Thin-film battery,1,candidate,Thin-film battery | Thin-film battery manufacturer part number | Thin-film battery catalogue price GBP | Thin-film battery datasheet | Thin-film battery continuous glucose monitor | Thin-film battery wearable medical device,componentWordId | supplierName | manufacturer | mpn | unitCostGbp | leadTimeWeeks | sourceGrade | evidence.ref | evidence.quote | retrievedAt,"componentWordId exactly matches a candidate BoM line. | unitCostGbp is a positive GBP number with quantity basis clear enough to reproduce total cost. | evidence.kind is source, with a retrievable URL, quote reference, catalogue page, distributor listing, or quote file reference. | manufacturer and MPN are present unless the item is an engineered assembly; assemblies require a supplier quote or datasheet reference. | lead time is recorded when available; if unavailable, evidence quote must say it was unavailable.","No source reference, missing supplier name, missing quote/evidence note, or non-positive unit cost. | LLM-estimated prices, generic web snippets, benchmark averages, or class-pack defaults. | Manufacturer/MPN copied from an unsourced model output rather than the source evidence."
critical,low_power_microcontroller,Low-power microcontroller,1,candidate,Low-power microcontroller | Low-power microcontroller manufacturer part number | Low-power microcontroller catalogue price GBP | Low-power microcontroller datasheet | Low-power microcontroller continuous glucose monitor | Low-power microcontroller wearable medical device,componentWordId | supplierName | manufacturer | mpn | unitCostGbp | leadTimeWeeks | sourceGrade | evidence.ref | evidence.quote | retrievedAt,"componentWordId exactly matches a candidate BoM line. | unitCostGbp is a positive GBP number with quantity basis clear enough to reproduce total cost. | evidence.kind is source, with a retrievable URL, quote reference, catalogue page, distributor listing, or quote file reference. | manufacturer and MPN are present unless the item is an engineered assembly; assemblies require a supplier quote or datasheet reference. | lead time is recorded when available; if unavailable, evidence quote must say it was unavailable.","No source reference, missing supplier name, missing quote/evidence note, or non-positive unit cost. | LLM-estimated prices, generic web snippets, benchmark averages, or class-pack defaults. | Manufacturer/MPN copied from an unsourced model output rather than the source evidence."
critical,ble_radio_module,BLE radio module,1,candidate,BLE radio module | BLE radio module manufacturer part number | BLE radio module catalogue price GBP | BLE radio module datasheet | BLE radio module continuous glucose monitor | BLE radio module wearable medical device,componentWordId | supplierName | manufacturer | mpn | unitCostGbp | leadTimeWeeks | sourceGrade | evidence.ref | evidence.quote | retrievedAt,"componentWordId exactly matches a candidate BoM line. | unitCostGbp is a positive GBP number with quantity basis clear enough to reproduce total cost. | evidence.kind is source, with a retrievable URL, quote reference, catalogue page, distributor listing, or quote file reference. | manufacturer and MPN are present unless the item is an engineered assembly; assemblies require a supplier quote or datasheet reference. | lead time is recorded when available; if unavailable, evidence quote must say it was unavailable.","No source reference, missing supplier name, missing quote/evidence note, or non-positive unit cost. | LLM-estimated prices, generic web snippets, benchmark averages, or class-pack defaults. | Manufacturer/MPN copied from an unsourced model output rather than the source evidence."
critical,temperature_sensor,Temperature sensor,1,candidate,Temperature sensor | Temperature sensor manufacturer part number | Temperature sensor catalogue price GBP | Temperature sensor datasheet | Temperature sensor continuous glucose monitor | Temperature sensor wearable medical device,componentWordId | supplierName | manufacturer | mpn | unitCostGbp | leadTimeWeeks | sourceGrade | evidence.ref | evidence.quote | retrievedAt,"componentWordId exactly matches a candidate BoM line. | unitCostGbp is a positive GBP number with quantity basis clear enough to reproduce total cost. | evidence.kind is source, with a retrievable URL, quote reference, catalogue page, distributor listing, or quote file reference. | manufacturer and MPN are present unless the item is an engineered assembly; assemblies require a supplier quote or datasheet reference. | lead time is recorded when available; if unavailable, evidence quote must say it was unavailable.","No source reference, missing supplier name, missing quote/evidence note, or non-positive unit cost. | LLM-estimated prices, generic web snippets, benchmark averages, or class-pack defaults. | Manufacturer/MPN copied from an unsourced model output rather than the source evidence."
