rowType,id,moduleId,moduleName,subModuleId,subModuleName,componentWordId,label,status,interfaces,componentWordIds,criticalComponentWordIds,duplicateComponentWordIds,blockers,requiredAction
submodule,structure_containment:rack_chassis,structure_containment,Rack Structure Containment,rack_chassis,Rack chassis,,,ready,rack_mount; airflow_path; service_access; protective_earth,1u_rack_chassis; slide_rail_kit; internal_divider_panel; front_bezel_assembly,1u_rack_chassis,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:accelerator_mounting,structure_containment,Rack Structure Containment,accelerator_mounting,Accelerator mounting,,,ready,rack_mount; airflow_path; service_access,accelerator_retention_bracket; pcie_riser_support; card_stiffener_rail; gpu_airflow_baffle,,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:service_labelling,structure_containment,Rack Structure Containment,service_labelling,Service labelling,,,ready,service_access; rack_mount,asset_label_plate; airflow_direction_label; rack_ear_set; cable_management_arm,,,,Submodule has component candidates and no allocation blocker.
submodule,compute_acceleration:accelerator_module,compute_acceleration,Compute Acceleration,accelerator_module,Accelerator module,,,ready,pcie_fabric; gpu_power_bus; thermal_path; sensor_bus,ai_accelerator_module; accelerator_carrier_board; pcie_edge_connector; accelerator_retention_latch,ai_accelerator_module,,,Submodule has component candidates and no allocation blocker.
submodule,compute_acceleration:cpu_memory_complex,compute_acceleration,Compute Acceleration,cpu_memory_complex,CPU and memory complex,,,ready,memory_bus; pcie_fabric; low_voltage_rail; sensor_bus,cpu_module; ecc_memory; system_motherboard; boot_flash_device,cpu_module; ecc_memory; system_motherboard,,,Submodule has component candidates and no allocation blocker.
submodule,compute_acceleration:signal_power_integrity,compute_acceleration,Compute Acceleration,signal_power_integrity,Signal and power integrity,,,ready,pcie_fabric; gpu_power_bus; thermal_path,high_current_vrm_module; pcie_retimer_set; clock_distribution_device; power_integrity_capacitor_bank,,,,Submodule has component candidates and no allocation blocker.
submodule,network_io:high_speed_network,network_io,Network IO,high_speed_network,High-speed network,,,ready,inference_network; pcie_fabric; service_access,high_speed_nic; optical_transceiver_cage; nic_heatsink; network_link_led_board,high_speed_nic,,,Submodule has component candidates and no allocation blocker.
submodule,network_io:timing_ingest,network_io,Network IO,timing_ingest,Timing and ingest,,,ready,inference_network; management_network; service_access,ptp_timing_module; gpio_trigger_input; data_ingest_connector; network_bypass_relay,,,,Submodule has component candidates and no allocation blocker.
submodule,network_io:io_isolation_routing,network_io,Network IO,io_isolation_routing,IO isolation and routing,,,ready,inference_network; service_access; protective_earth,emi_gasket_strip; shielded_io_bracket; cable_strain_relief_comb; service_loop_tie_set,,,,Submodule has component candidates and no allocation blocker.
submodule,data_storage:nvme_storage,data_storage,Data Storage,nvme_storage,NVMe storage,,,ready,storage_bus; pcie_fabric; service_access,nvme_ssd; m_2_carrier_tray; drive_thermal_pad; drive_retention_screw_set,nvme_ssd,,,Submodule has component candidates and no allocation blocker.
submodule,data_storage:model_cache,data_storage,Data Storage,model_cache,Model cache and recovery,,,ready,storage_bus; secure_boot_chain; management_network,model_cache_partition; storage_health_monitor; secure_erase_controller; firmware_recovery_image,,,,Submodule has component candidates and no allocation blocker.
submodule,data_storage:log_buffer,data_storage,Data Storage,log_buffer,Log and evidence buffer,,,ready,storage_bus; management_network; service_access,event_log_partition; write_endurance_counter; crash_dump_region; log_export_port,,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:host_control,control_compute_communication,Control Compute Communication,host_control,Host control,,,ready,pcie_fabric; storage_bus; management_network; sensor_bus,bmc_management_controller; management_ethernet_phy; bios_firmware_image; platform_configuration_eeprom,bmc_management_controller,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:runtime_orchestration,control_compute_communication,Control Compute Communication,runtime_orchestration,Runtime orchestration,,,ready,pcie_fabric; storage_bus; inference_network; secure_boot_chain,inference_runtime_image; accelerator_driver_bundle; watchdog_service; configuration_manifest,,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:remote_management,control_compute_communication,Control Compute Communication,remote_management,Remote management,,,ready,management_network; service_access; secure_boot_chain,out_of_band_management_port; serial_console_header; debug_access_lockout; firmware_signing_key_slot,,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:ac_input_conversion,power_distribution,Power Distribution,ac_input_conversion,AC input conversion,,,ready,ac_input_bus; protective_earth; sensor_bus,redundant_power_supply; ac_inlet_filter; input_fuse_holder; power_good_signal_harness,redundant_power_supply,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:dc_rail_distribution,power_distribution,Power Distribution,dc_rail_distribution,DC rail distribution,,,ready,low_voltage_rail; gpu_power_bus; service_access,12_v_busbar; accelerator_power_harness; hot_swap_controller; fan_power_distribution_loom,,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:hold_up_protection,power_distribution,Power Distribution,hold_up_protection,Hold-up and protection,,,ready,low_voltage_rail; hardwired_trip; sensor_bus,hold_up_capacitor_module; brownout_detector; current_shunt_module; efuse_channel_set,,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:forced_air_cooling,environmental_interface,Thermal Airflow Interface,forced_air_cooling,Forced-air cooling,,,ready,airflow_path; fan_control_bus; sensor_bus,fan_wall_assembly; pwm_fan_controller; airflow_straightener; replaceable_dust_filter,fan_wall_assembly,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:heat_transfer,environmental_interface,Thermal Airflow Interface,heat_transfer,Heat transfer path,,,ready,thermal_path; airflow_path; service_access,heatsink_cold_plate; thermal_interface_material_set; heatpipe_assembly; rear_exhaust_duct,heatsink_cold_plate,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:inlet_outlet_management,environmental_interface,Thermal Airflow Interface,inlet_outlet_management,Inlet and outlet management,,,ready,airflow_path; service_access,front_inlet_grille; rear_exhaust_grille; air_seal_foam_kit; rack_pressure_map_label,,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:thermal_sensors,sensing_instrumentation,Telemetry Instrumentation,thermal_sensors,Thermal sensors,,,ready,sensor_bus; thermal_alarm_bus,inlet_temperature_sensor; accelerator_hotspot_sensor; exhaust_temperature_sensor; board_humidity_sensor,,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:power_fan_telemetry,sensing_instrumentation,Telemetry Instrumentation,power_fan_telemetry,Power and fan telemetry,,,ready,sensor_bus; fan_control_bus; management_network,psu_pmbus_monitor; rail_current_monitor; fan_tachometer_hub; chassis_intrusion_switch,,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:front_panel_status,sensing_instrumentation,Telemetry Instrumentation,front_panel_status,Front panel status,,,ready,sensor_bus; management_network; service_access,front_status_led_board; uid_button; alarm_buzzer; lcd_status_panel,,,,Submodule has component candidates and no allocation blocker.
submodule,safety_protection:secure_boot,safety_protection,Security And Safety Protection,secure_boot,Secure boot,,,ready,secure_boot_chain; management_network; service_access,tpm_security_module; secure_boot_policy; chassis_tamper_switch; recovery_jumper_cover,tpm_security_module,,,Submodule has component candidates and no allocation blocker.
submodule,safety_protection:thermal_shutdown,safety_protection,Security And Safety Protection,thermal_shutdown,Thermal shutdown,,,ready,thermal_alarm_bus; hardwired_trip; fan_control_bus,thermal_trip_relay; overtemperature_latch; fan_failure_interlock; hardwired_shutdown_line,,,,Submodule has component candidates and no allocation blocker.
submodule,safety_protection:electrical_safety,safety_protection,Security And Safety Protection,electrical_safety,Electrical safety,,,ready,protective_earth; service_access; hardwired_trip,protective_earth_stud; insulation_barrier_sheet; finger_safe_psu_cover; warning_label_set,,,,Submodule has component candidates and no allocation blocker.
submodule,maintenance_serviceability:field_replaceable_units,maintenance_serviceability,Field Maintenance Serviceability,field_replaceable_units,Field-replaceable units,,,ready,service_access; airflow_path,hot_swap_fan_carrier; drive_service_handle; psu_latch_mechanism; accelerator_extraction_handle,,,,Submodule has component candidates and no allocation blocker.
