id,lineId,componentWordId,description,priority,quantity,unit,traceStatus,ledgerStatus,duplicateResolution,supplier,manufacturer,mpn,unitCostGbp,totalCostGbp,sourceRef,sourceReferenceClass,sourceReferenceStatus,sourceQualityIssues,supplierClaim,manufacturerClaim,mpnClaim,unitCostClaim,sourceBackedRequiredClaims,missingRequiredClaims,provenanceViolations,canDisplayCandidate,canDisplayPricedReview,canUseForProcurement,requiredAction
bom-trace:structure_containment_single_use_bag_chamber_single_use_bioreactor_bag,structure_containment_single_use_bag_chamber_single_use_bioreactor_bag,single_use_bioreactor_bag,Single-use bioreactor bag,critical,1,candidate,critical_unsourced,critical_unpriced,unique_allocation,,,,,,,,,,missing_source,missing_source,missing_source,missing_source,0,4,0,yes,no,no,Collect admissible source evidence for this critical line before BoM can pass.
bom-trace:structure_containment_single_use_bag_chamber_bag_support_tray,structure_containment_single_use_bag_chamber_bag_support_tray,bag_support_tray,bag support tray,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_single_use_bag_chamber_port_clamp_set,structure_containment_single_use_bag_chamber_port_clamp_set,port_clamp_set,port clamp set,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_single_use_bag_chamber_bag_integrity_test_label,structure_containment_single_use_bag_chamber_bag_integrity_test_label,bag_integrity_test_label,bag integrity test label,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_support_frame_load_path_stainless_support_frame,structure_containment_support_frame_load_path_stainless_support_frame,stainless_support_frame,stainless support frame,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_support_frame_load_path_load_cell_mounting_bracket_set,structure_containment_support_frame_load_path_load_cell_mounting_bracket_set,load_cell_mounting_bracket_set,load cell mounting bracket set,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_support_frame_load_path_levelling_foot_set,structure_containment_support_frame_load_path_levelling_foot_set,levelling_foot_set,levelling foot set,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_support_frame_load_path_lifting_eye_kit,structure_containment_support_frame_load_path_lifting_eye_kit,lifting_eye_kit,lifting eye kit,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_sterile_connector_panel_sterile_tubing_and_connector_set,structure_containment_sterile_connector_panel_sterile_tubing_and_connector_set,sterile_tubing_and_connector_set,Sterile tubing and connector set,critical,1,candidate,critical_unsourced,critical_unpriced,unique_allocation,,,,,,,,,,missing_source,missing_source,missing_source,missing_source,0,4,0,yes,no,no,Collect admissible source evidence for this critical line before BoM can pass.
bom-trace:structure_containment_sterile_connector_panel_aseptic_sampling_port,structure_containment_sterile_connector_panel_aseptic_sampling_port,aseptic_sampling_port,aseptic sampling port,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
