lineId,componentWordId,description,duplicateGroupSize,duplicatePeerLineIds,duplicateResolution,priority,ledgerStatus,quantity,unit,unitCostGbp,totalCostGbp,supplier,manufacturer,mpn,leadTimeWeeks,sourceGrade,evidenceRef,evidenceQuote,retrievedAt,rejectionReasons,nextAction
energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor,inverter_scroll_compressor,Inverter scroll compressor,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
energy_conversion_transduction_compressor_inverter_stage_compressor_inverter_drive,compressor_inverter_drive,compressor inverter drive,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_compressor_inverter_stage_compressor_mounting_grommet_set,compressor_mounting_grommet_set,compressor mounting grommet set,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_compressor_inverter_stage_crankcase_heater_band,crankcase_heater_band,crankcase heater band,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve,electronic_expansion_valve,Electronic expansion valve,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
energy_conversion_transduction_expansion_metering_stage_eev_stepper_harness,eev_stepper_harness,EEV stepper harness,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_expansion_metering_stage_liquid_line_filter_drier,liquid_line_filter_drier,liquid-line filter drier,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_expansion_metering_stage_sight_glass_indicator,sight_glass_indicator,sight glass indicator,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_refrigerant_manifold_copper_refrigerant_tube_set,copper_refrigerant_tube_set,copper refrigerant tube set,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_refrigerant_manifold_service_valve_pair,service_valve_pair,service valve pair,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_refrigerant_manifold_brazed_joint_sleeve_set,brazed_joint_sleeve_set,brazed joint sleeve set,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_refrigerant_manifold_refrigerant_charge_label,refrigerant_charge_label,refrigerant charge label,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_condenser_coupling_boundary_refrigerant_stub_out_pair,refrigerant_stub_out_pair,refrigerant stub-out pair,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_condenser_coupling_boundary_hydronic_stub_out_pair,hydronic_stub_out_pair,hydronic stub-out pair,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_condenser_coupling_boundary_plate_heat_exchanger_mounting_bracket,plate_heat_exchanger_mounting_bracket,plate heat exchanger mounting bracket,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_condenser_coupling_boundary_condenser_insulation_sleeve,condenser_insulation_sleeve,condenser insulation sleeve,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
environmental_interface_outdoor_evaporator_outdoor_finned_evaporator_coil,outdoor_finned_evaporator_coil,Outdoor finned evaporator coil,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
environmental_interface_outdoor_evaporator_coil_temperature_sensor,coil_temperature_sensor,coil temperature sensor,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
environmental_interface_outdoor_evaporator_coil_guard_grille,coil_guard_grille,coil guard grille,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
environmental_interface_outdoor_evaporator_hydrophilic_fin_coating,hydrophilic_fin_coating,hydrophilic fin coating,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
environmental_interface_fan_air_path_variable_speed_fan_assembly,variable_speed_fan_assembly,Variable-speed fan assembly,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
environmental_interface_fan_air_path_ec_fan_motor_controller,ec_fan_motor_controller,EC fan motor controller,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
environmental_interface_fan_air_path_fan_shroud,fan_shroud,fan shroud,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
environmental_interface_fan_air_path_inlet_debris_screen,inlet_debris_screen,inlet debris screen,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
environmental_interface_defrost_condensate_condensate_drain_tray,condensate_drain_tray,condensate drain tray,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
environmental_interface_defrost_condensate_trace_heater_cable,trace_heater_cable,trace heater cable,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
environmental_interface_defrost_condensate_defrost_temperature_probe,defrost_temperature_probe,defrost temperature probe,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
environmental_interface_defrost_condensate_drain_hose_barb,drain_hose_barb,drain hose barb,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
mass_fluid_transport_process_condenser_heat_exchanger_brazed_plate_heat_exchanger,brazed_plate_heat_exchanger,Brazed plate heat exchanger,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
mass_fluid_transport_process_condenser_heat_exchanger_plate_exchanger_insulation_jacket,plate_exchanger_insulation_jacket,plate exchanger insulation jacket,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
