id,lineId,componentWordId,description,priority,quantity,unit,traceStatus,ledgerStatus,duplicateResolution,supplier,manufacturer,mpn,unitCostGbp,totalCostGbp,sourceRef,sourceReferenceClass,sourceReferenceStatus,sourceQualityIssues,supplierClaim,manufacturerClaim,mpnClaim,unitCostClaim,sourceBackedRequiredClaims,missingRequiredClaims,provenanceViolations,canDisplayCandidate,canDisplayPricedReview,canUseForProcurement,requiredAction
bom-trace:skin_patient_interface_adhesive_patch_stack_adhesive_skin_patch,skin_patient_interface_adhesive_patch_stack_adhesive_skin_patch,adhesive_skin_patch,Adhesive skin patch,critical,1,candidate,critical_unsourced,critical_unpriced,unique_allocation,,,,,,,,,,missing_source,missing_source,missing_source,missing_source,0,4,0,yes,no,no,Collect admissible source evidence for this critical line before BoM can pass.
bom-trace:skin_patient_interface_adhesive_patch_stack_hydrocolloid_edge_seal,skin_patient_interface_adhesive_patch_stack_hydrocolloid_edge_seal,hydrocolloid_edge_seal,hydrocolloid edge seal,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:skin_patient_interface_adhesive_patch_stack_breathable_backing_film,skin_patient_interface_adhesive_patch_stack_breathable_backing_film,breathable_backing_film,breathable backing film,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:skin_patient_interface_adhesive_patch_stack_pull_tab_liner,skin_patient_interface_adhesive_patch_stack_pull_tab_liner,pull_tab_liner,pull tab liner,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:skin_patient_interface_cannula_skin_contact_skin_contact_gasket,skin_patient_interface_cannula_skin_contact_skin_contact_gasket,skin_contact_gasket,skin contact gasket,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:skin_patient_interface_cannula_skin_contact_filament_entry_seal,skin_patient_interface_cannula_skin_contact_filament_entry_seal,filament_entry_seal,filament entry seal,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:skin_patient_interface_cannula_skin_contact_antimicrobial_contact_pad,skin_patient_interface_cannula_skin_contact_antimicrobial_contact_pad,antimicrobial_contact_pad,antimicrobial contact pad,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:skin_patient_interface_cannula_skin_contact_insertion_site_spacing_ring,skin_patient_interface_cannula_skin_contact_insertion_site_spacing_ring,insertion_site_spacing_ring,insertion site spacing ring,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:skin_patient_interface_wear_comfort_retention_flex_relief_bridge,skin_patient_interface_wear_comfort_retention_flex_relief_bridge,flex_relief_bridge,flex relief bridge,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:skin_patient_interface_wear_comfort_retention_sweat_channel_texture,skin_patient_interface_wear_comfort_retention_sweat_channel_texture,sweat_channel_texture,sweat channel texture,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
