id,kind,status,basis,scope,claim,provenanceRefs,sourceRefs,reviewerEvidenceRefs,linkedRequirementIds,linkedModuleIds,linkedComponentWordIds,blocksBom,blocksPublish,nextAction
bom_source_field:actuation_kinematics_electric_propulsion_pods_electric_propulsion_pod:manufacturer,bom_source_field,source_required,assumption,Electric propulsion pod / manufacturer,manufacturer is required but not source-backed.,,,,wingspan_m; endurance_days,actuation_kinematics,electric_propulsion_pod,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_electric_propulsion_pods_electric_propulsion_pod:mpn,bom_source_field,source_required,assumption,Electric propulsion pod / mpn,mpn is required but not source-backed.,,,,wingspan_m; endurance_days,actuation_kinematics,electric_propulsion_pod,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_electric_propulsion_pods_electric_propulsion_pod:supplier,bom_source_field,source_required,assumption,Electric propulsion pod / supplier,supplier is required but not source-backed.,,,,wingspan_m; endurance_days,actuation_kinematics,electric_propulsion_pod,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_electric_propulsion_pods_electric_propulsion_pod:unit_cost_gbp,bom_source_field,source_required,assumption,Electric propulsion pod / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,wingspan_m; endurance_days,actuation_kinematics,electric_propulsion_pod,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_flight_control_computer_flight_control_computer:manufacturer,bom_source_field,source_required,assumption,Flight control computer / manufacturer,manufacturer is required but not source-backed.,,,,endurance_days; altitude_km,control_compute_communication,flight_control_computer,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_flight_control_computer_flight_control_computer:mpn,bom_source_field,source_required,assumption,Flight control computer / mpn,mpn is required but not source-backed.,,,,endurance_days; altitude_km,control_compute_communication,flight_control_computer,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_flight_control_computer_flight_control_computer:supplier,bom_source_field,source_required,assumption,Flight control computer / supplier,supplier is required but not source-backed.,,,,endurance_days; altitude_km,control_compute_communication,flight_control_computer,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_flight_control_computer_flight_control_computer:unit_cost_gbp,bom_source_field,source_required,assumption,Flight control computer / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,endurance_days; altitude_km,control_compute_communication,flight_control_computer,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_ground_command_link_ground_control_link:manufacturer,bom_source_field,source_required,assumption,Ground control link / manufacturer,manufacturer is required but not source-backed.,,,,,control_compute_communication,ground_control_link,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_ground_command_link_ground_control_link:mpn,bom_source_field,source_required,assumption,Ground control link / mpn,mpn is required but not source-backed.,,,,,control_compute_communication,ground_control_link,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
