activityId,activity,status,evidenceKind,moduleId,moduleName,requirementIds,sanityCheckIds,interfaceIds,componentWordIds,acceptanceCriteria,blockers
design_review:structure_containment,Review Pressure Structure Containment architecture allocation,ready_for_review,design_review,structure_containment,Pressure Structure Containment,depth_rating_m,auv_depth_rating; auv_pressure_power_recovery_safety,pressure_boundary; mechanical_mounts; service_access; hydrodynamic_shell,pressure_hull; endcap_clamp_ring; double_o_ring_gland_set; hull_proof_test_port; electronics_tray_rail; battery_cradle_frame; payload_mounting_rail; trim_weight_pocket; nose_fairing; tail_cone_fairing; stabilising_fin_set; access_hatch_latch_set,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:structure_containment,Verify Pressure Structure Containment requirement calculations,ready_for_review,calculation,structure_containment,Pressure Structure Containment,depth_rating_m,auv_depth_rating; auv_pressure_power_recovery_safety,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:structure_containment,Collect source-backed evidence for Pressure Structure Containment critical components,blocked,source_evidence,structure_containment,Pressure Structure Containment,depth_rating_m,,,pressure_hull,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",pressure_hull
design_review:energy_storage_source,Review Subsea Energy Storage architecture allocation,ready_for_review,design_review,energy_storage_source,Subsea Energy Storage,endurance_hours,auv_endurance_target; auv_navigation_control_closure; auv_pressure_power_recovery_safety,dc_power_bus; battery_monitor_bus; service_access; thermal_path; alarm_bus,battery_pack; battery_management_board; pack_isolation_fuse; pressure_rated_battery_enclosure; charge_interlock_plug; shore_charger_adapter; state_of_charge_display_puck; battery_vent_inspection_plug; coulomb_counter_module; pack_temperature_sensor_strip; energy_reserve_indicator; battery_telemetry_isolator,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:energy_storage_source,Verify Subsea Energy Storage requirement calculations,ready_for_review,calculation,energy_storage_source,Subsea Energy Storage,endurance_hours,auv_endurance_target; auv_navigation_control_closure; auv_pressure_power_recovery_safety,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:energy_storage_source,Collect source-backed evidence for Subsea Energy Storage critical components,blocked,source_evidence,energy_storage_source,Subsea Energy Storage,endurance_hours,,,battery_pack,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",battery_pack
design_review:power_distribution,Review Subsea Power Distribution architecture allocation,ready_for_review,design_review,power_distribution,Subsea Power Distribution,endurance_hours,auv_endurance_target; auv_navigation_control_closure; auv_pressure_power_recovery_safety,dc_power_bus; thruster_power_bus; payload_power_bus; low_voltage_rail; service_access; alarm_bus,fused_dc_distribution_board; wet_mate_connector_set; main_power_enable_relay; bus_voltage_monitor; 24_v_dc_converter; 12_v_payload_converter; 5_v_avionics_converter; emi_power_filter; ground_fault_monitor; chassis_bonding_strap; service_isolation_key; fault_annunciator_module,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:power_distribution,Verify Subsea Power Distribution requirement calculations,ready_for_review,calculation,power_distribution,Subsea Power Distribution,endurance_hours,auv_endurance_target; auv_navigation_control_closure; auv_pressure_power_recovery_safety,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:power_distribution,Collect source-backed evidence for Subsea Power Distribution critical components,blocked,source_evidence,power_distribution,Subsea Power Distribution,endurance_hours,,,wet_mate_connector_set,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",wet_mate_connector_set
design_review:actuation_kinematics,Review Thruster Actuation Kinematics architecture allocation,ready_for_review,design_review,actuation_kinematics,Thruster Actuation Kinematics,endurance_hours,auv_endurance_target; auv_navigation_control_closure; auv_pressure_power_recovery_safety,thruster_power_bus; thrust_command_bus; mechanical_mounts; hydrodynamic_shell; alarm_bus; service_access,thruster_set; thruster_nozzle_guard; thruster_mounting_bracket; motor_phase_harness; thruster_motor_controller_stack; current_sensor_channel_set; controller_heat_spreader; thrust_calibration_table; adjustable_trim_fin; ballast_trim_block; roll_trim_screw_set; tow_tank_trim_mark,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
