id,sequence,action,status,priority,lineId,componentWordId,description,traceStatus,requiredEvidence,intakeArtifacts,acceptanceCriteria,rejectionCriteria,blocksCandidateDisplay,blocksPricedReview,blocksProcurement,requiredAction
bom-close:control_compute_communication_main_controller_heat_pump_controller_pcb,1,collect_source_evidence,ready,blocker,control_compute_communication_main_controller_heat_pump_controller_pcb,heat_pump_controller_pcb,Heat pump controller PCB,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor,2,collect_source_evidence,ready,blocker,energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor,inverter_scroll_compressor,Inverter scroll compressor,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve,3,collect_source_evidence,ready,blocker,energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve,electronic_expansion_valve,Electronic expansion valve,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:environmental_interface_fan_air_path_variable_speed_fan_assembly,4,collect_source_evidence,ready,blocker,environmental_interface_fan_air_path_variable_speed_fan_assembly,variable_speed_fan_assembly,Variable-speed fan assembly,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:environmental_interface_outdoor_evaporator_outdoor_finned_evaporator_coil,5,collect_source_evidence,ready,blocker,environmental_interface_outdoor_evaporator_outdoor_finned_evaporator_coil,outdoor_finned_evaporator_coil,Outdoor finned evaporator coil,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:mass_fluid_transport_process_circulation_pump_group_hydronic_circulation_pump,6,collect_source_evidence,ready,blocker,mass_fluid_transport_process_circulation_pump_group_hydronic_circulation_pump,hydronic_circulation_pump,Hydronic circulation pump,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:mass_fluid_transport_process_condenser_heat_exchanger_brazed_plate_heat_exchanger,7,collect_source_evidence,ready,blocker,mass_fluid_transport_process_condenser_heat_exchanger_brazed_plate_heat_exchanger,brazed_plate_heat_exchanger,Brazed plate heat exchanger,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:mass_fluid_transport_process_hydronic_safety_group_hydronic_safety_valve_kit,8,collect_source_evidence,ready,blocker,mass_fluid_transport_process_hydronic_safety_group_hydronic_safety_valve_kit,hydronic_safety_valve_kit,Hydronic safety valve kit,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:sensing_instrumentation_refrigerant_sensing_refrigerant_sensor_and_pressure_transducers,9,collect_source_evidence,ready,blocker,sensing_instrumentation_refrigerant_sensing_refrigerant_sensor_and_pressure_transducers,refrigerant_sensor_and_pressure_transducers,Refrigerant sensor and pressure transducers,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:control_compute_communication_main_controller_controller_enclosure,10,defer_candidate_sourcing,deferred,minor,control_compute_communication_main_controller_controller_enclosure,controller_enclosure,controller enclosure,candidate_only,no immediate evidence required unless this candidate is promoted to procurement scope,*.sourcing-pack.csv; *.bom-evidence-trace.csv,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,no,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
