activityId,activity,status,evidenceKind,moduleId,moduleName,requirementIds,sanityCheckIds,interfaceIds,componentWordIds,acceptanceCriteria,blockers
design_review:power_distribution,Review AC Input And DC Output Distribution architecture allocation,ready_for_review,design_review,power_distribution,AC Input And DC Output Distribution,dc_power_kw,evcharger_power_level; evcharger_power_safety_chain; evcharger_protocol_closure,ac_input_bus; dc_output_bus; protective_earth; metering_bus; service_access; control_bus,ac_input_breaker_and_spd; lockable_ac_isolator; surge_arrestor_cartridge; input_terminal_shroud; dc_output_contactor_set; precharge_resistor_module; dc_output_fuse_carrier; output_polarity_label; mid_energy_meter; meter_ct_shunt_set; meter_seal_kit; meter_calibration_label,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:power_distribution,Verify AC Input And DC Output Distribution requirement calculations,ready_for_review,calculation,power_distribution,AC Input And DC Output Distribution,dc_power_kw,evcharger_power_level; evcharger_power_safety_chain; evcharger_protocol_closure,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:power_distribution,Collect source-backed evidence for AC Input And DC Output Distribution critical components,blocked,source_evidence,power_distribution,AC Input And DC Output Distribution,dc_power_kw,,,ac_input_breaker_and_spd; dc_output_contactor_set; mid_energy_meter,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",ac_input_breaker_and_spd dc_output_contactor_set mid_energy_meter
design_review:energy_conversion_transduction,Review Power Conversion Stack architecture allocation,ready_for_review,design_review,energy_conversion_transduction,Power Conversion Stack,dc_power_kw,evcharger_power_level; evcharger_power_safety_chain; evcharger_protocol_closure,ac_input_bus; dc_output_bus; coolant_loop; control_bus; protective_earth; sensor_bus,power_module_stack; power_module_backplane; module_locking_rail; dc_link_capacitor_bank; dc_output_choke; emi_filter_assembly; snubber_network_board; thermal_interface_pad_set; module_health_monitor_board; heatsink_temperature_probe; fan_coolant_derating_table; firmware_recovery_jumper,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:energy_conversion_transduction,Verify Power Conversion Stack requirement calculations,ready_for_review,calculation,energy_conversion_transduction,Power Conversion Stack,dc_power_kw,evcharger_power_level; evcharger_power_safety_chain; evcharger_protocol_closure,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:energy_conversion_transduction,Collect source-backed evidence for Power Conversion Stack critical components,blocked,source_evidence,energy_conversion_transduction,Power Conversion Stack,dc_power_kw,,,power_module_stack,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",power_module_stack
design_review:charging_connector_interface,Review Vehicle Charging Interface architecture allocation,ready_for_review,design_review,charging_connector_interface,Vehicle Charging Interface,dc_power_kw,evcharger_power_level; evcharger_power_safety_chain; evcharger_protocol_closure,dc_output_bus; ccs2_vehicle_interface; iso15118_plc; control_pilot; protective_earth; coolant_loop; service_access; control_bus,ccs2_liquid_cooled_cable_and_connector; connector_temperature_sensor_pair; proximity_pilot_resistor_set; cable_strain_relief_boot; liquid_cooled_cable_manifold; quick_connect_coolant_coupler; coolant_leak_catch_tray; cable_coolant_temperature_probe; iso_15118_plc_modem; control_pilot_interface_board; proximity_detection_input; vehicle_comms_isolation_transformer,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:charging_connector_interface,Verify Vehicle Charging Interface requirement calculations,ready_for_review,calculation,charging_connector_interface,Vehicle Charging Interface,dc_power_kw,evcharger_power_level; evcharger_power_safety_chain; evcharger_protocol_closure,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:charging_connector_interface,Collect source-backed evidence for Vehicle Charging Interface critical components,blocked,source_evidence,charging_connector_interface,Vehicle Charging Interface,dc_power_kw,,,ccs2_liquid_cooled_cable_and_connector; iso_15118_plc_modem,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",ccs2_liquid_cooled_cable_and_connector iso_15118_plc_modem
design_review:control_compute_communication,Review Control Compute Communication architecture allocation,ready_for_review,design_review,control_compute_communication,Control Compute Communication,,,control_bus; iso15118_plc; ocpp_network; metering_bus; alarm_bus; service_port,charge_controller_pcb; safety_io_terminal_block; real_time_clock_module; nonvolatile_event_log_memory; ocpp_communications_gateway; lte_router_module; ethernet_surge_protector; secure_element_module; iso_15118_plc_modem; plug_and_charge_certificate_store; charging_session_firmware_image; protocol_debug_header,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
