name,website,firm_type,hq_city,hq_country,sectors,stage_focus,description,bvca_member,profile_url,source
Balderton Capital,https://www.balderton.com,VC,London,UK,"SaaS, Fintech, Deep Tech","Series A, Series B","Focused on early stage, European technology businesses.",Yes,,seed
Atomico,https://www.atomico.com,VC,London,UK,"Deep Tech, SaaS, Climate","Series A, Series B, Growth",,Yes,,seed
Index Ventures,https://www.indexventures.com,VC,London,UK,"Fintech, Gaming, Developer Tools","Seed, Series A, Growth",,Yes,,seed
Octopus Ventures,https://www.octopusventures.com,VC,London,UK,"Health Tech, B2B SaaS, Deep Tech","Seed, Series A, Series B",,Yes,,seed
Accel,https://www.accel.com,VC,London,UK,"B2B SaaS, Security, Fintech","Series A, Series B, Growth",,No,,seed
Notion Capital,https://www.notioncapital.com,VC,London,UK,"B2B SaaS, Cloud, RegTech","Series A, Series B","Venture fund focused on the technology sector.
Notion is a VC firm investing across Europe in enterprise technology founders who share our desire to build category-leading companies.",Yes,,seed
LocalGlobe,https://www.localglobe.vc,VC,London,UK,"Consumer Tech, Fintech, SaaS","Pre-Seed, Seed",,Yes,,seed
Hoxton Ventures,https://www.hoxtonventures.com,VC,London,UK,"B2B SaaS, Consumer Tech","Seed, Series A",,Yes,,seed
Passion Capital,https://www.passioncapital.com,VC,London,UK,"Fintech, SaaS, Consumer",Seed,,Yes,,seed
Episode 1 Ventures,https://www.episode1.com,VC,London,UK,"SaaS, Marketplaces, B2B",Seed,,Yes,,seed
Seedcamp,https://www.seedcamp.com,VC,London,UK,"SaaS, Fintech, Consumer Tech","Pre-Seed, Seed",,Yes,,seed
Forward Partners,https://www.forwardpartners.com,VC,London,UK,"Marketplace, SaaS, Consumer","Pre-Seed, Seed",,Yes,,seed
Augmentum Fintech,https://www.augmentum.vc,VC,London,UK,"Fintech, InsurTech, WealthTech","Series A, Series B",,Yes,,seed
Molten Ventures,https://www.moltenventures.com,Growth,London,UK,"Deep Tech, Fintech, SaaS","Series B, Series C, Growth",,Yes,,seed
Kennet Partners,https://www.kennet.com,Growth,London,UK,"SaaS, Tech-Enabled Services",Growth,,Yes,,seed
MMC Ventures,https://www.mmcventures.com,VC,London,UK,"Fintech, InsurTech, AI","Series A, Series B",,Yes,,seed
Blossom Capital,https://www.blossomcapital.com,VC,London,UK,"Fintech, SaaS, Consumer","Series A, Series B",,Yes,,seed
Dawn Capital,https://www.dawncapital.com,VC,London,UK,"Enterprise SaaS, Fintech","Series A, Series B",,Yes,,seed
Frog Capital,https://www.frogcapital.com,Growth,London,UK,"B2B SaaS, Tech-Enabled Services","Series A, Series B, Growth",,Yes,,seed
GP Bullhound,https://www.gpbullhound.com,Growth,London,UK,"SaaS, Media Tech, Gaming","Series B, Growth",,Yes,,seed
Highland Europe,https://www.highlandeurope.com,Growth,London,UK,"Enterprise SaaS, Security, Analytics","Series B, Series C",,No,,seed
IQ Capital,https://www.iqcapital.vc,VC,Cambridge,UK,"Deep Tech, AI, Quantum","Seed, Series A, Series B",,Yes,,seed
Parkwalk Advisors,https://www.parkwalkadvisors.com,VC,London,UK,"Deep Tech, AI, Life Sciences","Seed, Series A",,Yes,,seed
Playfair Capital,https://www.playfaircapital.com,VC,London,UK,"SaaS, Impact, Fintech","Pre-Seed, Seed",,Yes,,seed
BGF,https://www.bgf.co.uk,PE,London,UK,All Sectors,"Growth, Lower Mid-Market",BGF is the UK and Ireland’s most active investor in growing businesses,Yes,,seed
Inflexion Private Equity,https://www.inflexion.com,PE,London,UK,"Technology, Business Services, Healthcare","Buyout, Growth",Independent private equity house investing in the UK mid-market.,Yes,,seed
Permira,https://www.permira.com,PE,London,UK,"Technology, Consumer, Healthcare","Large Buyout, Growth",,Yes,,seed
Bridgepoint,https://www.bridgepoint.eu,PE,London,UK,"Consumer, Healthcare, Business Services","Large Buyout, Mid-Market","International private equity group focused on established, market-leading businesses.",Yes,,seed
ECI Partners,https://www.ecipartners.com,PE,London,UK,"Technology, SaaS, Education","Buyout, Growth",,Yes,,seed
Hg,https://www.hgcapital.com,PE,London,UK,"Software, SaaS, Tech-Enabled Services","Buyout, Growth",,Yes,,seed
Graphite Capital,https://www.graphitecapital.com,PE,London,UK,"Consumer, Business Services, Healthcare",Mid-Market Buyout,,Yes,,seed
NVM Private Equity,https://www.nvm.co.uk,PE,Newcastle,UK,"Technology, Manufacturing, Business Services",Lower Mid-Market,,Yes,,seed
Mobeus Equity Partners,https://www.mobeusequity.co.uk,PE,London,UK,"Technology, Healthcare, Business Services",Lower Mid-Market,An equity investor in UK-based SMEs.,Yes,,seed
YFM Equity Partners,https://www.yfmep.com,PE,Leeds,UK,"Manufacturing, Technology, Business Services",Lower Mid-Market,Independent private equity businessed owned by its senior managers and investment team.,Yes,,seed
Endless LLP,https://www.endlessllp.com,PE,Leeds,UK,"Distressed, Manufacturing, Retail","Turnaround, Buyout",UK based transformational private equity investor.,Yes,,seed
