id,kind,priority,status,scope,reviewerQuestion,evidenceRequired,acceptanceCriteria,linkedModuleIds,linkedSubModuleIds,linkedComponentWordIds,linkedRequirementIds,linkedInterfaceIds,linkedCalculationIds,blockers
assumption_resolution:compliance:IEC-61851,assumption_resolution,major,needs_review,IEC-61851,"Can the IEC-61851 assumption be accepted for architecture review, or must it be replaced with evidence?","Charging modes, control pilot and safety-function evidence.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:IEC-62196-3,assumption_resolution,major,needs_review,IEC-62196-3,"Can the IEC-62196-3 assumption be accepted for architecture review, or must it be replaced with evidence?","CCS2 connector rating, cable assembly and temperature evidence.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:ISO-15118,assumption_resolution,major,needs_review,ISO-15118,"Can the ISO-15118 assumption be accepted for architecture review, or must it be replaced with evidence?","PLC communication, Plug and Charge and session-state evidence where applicable.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:OCPP-1.6J/2.0.1,assumption_resolution,major,needs_review,OCPP-1.6J/2.0.1,"Can the OCPP-1.6J/2.0.1 assumption be accepted for architecture review, or must it be replaced with evidence?","Backend session, metering, fault and firmware-management evidence.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:component:charging_connector_interface_ccs2_cable_connector_ccs2_liquid_cooled_cable_and_connector,assumption_resolution,major,needs_review,CCS2 liquid-cooled cable and connector,"Can the CCS2 liquid-cooled cable and connector assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",charging_connector_interface,,ccs2_liquid_cooled_cable_and_connector,,,,
assumption_resolution:component:charging_connector_interface_vehicle_communication_frontend_iso_15118_plc_modem,assumption_resolution,major,needs_review,ISO 15118 PLC modem,"Can the ISO 15118 PLC modem assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",charging_connector_interface; control_compute_communication,,iso_15118_plc_modem,,,,
assumption_resolution:component:control_compute_communication_backend_gateway_ocpp_communications_gateway,assumption_resolution,major,needs_review,OCPP communications gateway,"Can the OCPP communications gateway assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",control_compute_communication,,ocpp_communications_gateway,,,,
assumption_resolution:component:control_compute_communication_protocol_stack_iso_15118_plc_modem,assumption_resolution,major,needs_review,ISO 15118 PLC modem,"Can the ISO 15118 PLC modem assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",charging_connector_interface; control_compute_communication,,iso_15118_plc_modem,,,,
assumption_resolution:component:energy_conversion_transduction_rectifier_power_modules_power_module_stack,assumption_resolution,major,needs_review,Power module stack,"Can the Power module stack assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",energy_conversion_transduction,,power_module_stack,,,,
assumption_resolution:component:environmental_interface_liquid_cooling_loop_cooling_loop_assembly,assumption_resolution,major,needs_review,Cooling loop assembly,"Can the Cooling loop assembly assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",environmental_interface,,cooling_loop_assembly,,,,
