id,kind,status,basis,scope,claim,provenanceRefs,sourceRefs,reviewerEvidenceRefs,linkedRequirementIds,linkedModuleIds,linkedComponentWordIds,blocksBom,blocksPublish,nextAction
bom_source_field:control_compute_communication_main_controller_heat_pump_controller_pcb:manufacturer,bom_source_field,source_required,assumption,Heat pump controller PCB / manufacturer,manufacturer is required but not source-backed.,,,,cop,control_compute_communication,heat_pump_controller_pcb,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_main_controller_heat_pump_controller_pcb:mpn,bom_source_field,source_required,assumption,Heat pump controller PCB / mpn,mpn is required but not source-backed.,,,,cop,control_compute_communication,heat_pump_controller_pcb,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_main_controller_heat_pump_controller_pcb:supplier,bom_source_field,source_required,assumption,Heat pump controller PCB / supplier,supplier is required but not source-backed.,,,,cop,control_compute_communication,heat_pump_controller_pcb,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_main_controller_heat_pump_controller_pcb:unit_cost_gbp,bom_source_field,source_required,assumption,Heat pump controller PCB / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,cop,control_compute_communication,heat_pump_controller_pcb,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor:manufacturer,bom_source_field,source_required,assumption,Inverter scroll compressor / manufacturer,manufacturer is required but not source-backed.,,,,thermal_output_kw; cop,energy_conversion_transduction,inverter_scroll_compressor,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor:mpn,bom_source_field,source_required,assumption,Inverter scroll compressor / mpn,mpn is required but not source-backed.,,,,thermal_output_kw; cop,energy_conversion_transduction,inverter_scroll_compressor,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor:supplier,bom_source_field,source_required,assumption,Inverter scroll compressor / supplier,supplier is required but not source-backed.,,,,thermal_output_kw; cop,energy_conversion_transduction,inverter_scroll_compressor,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor:unit_cost_gbp,bom_source_field,source_required,assumption,Inverter scroll compressor / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,thermal_output_kw; cop,energy_conversion_transduction,inverter_scroll_compressor,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve:manufacturer,bom_source_field,source_required,assumption,Electronic expansion valve / manufacturer,manufacturer is required but not source-backed.,,,,,energy_conversion_transduction,electronic_expansion_valve,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve:mpn,bom_source_field,source_required,assumption,Electronic expansion valve / mpn,mpn is required but not source-backed.,,,,,energy_conversion_transduction,electronic_expansion_valve,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve:supplier,bom_source_field,source_required,assumption,Electronic expansion valve / supplier,supplier is required but not source-backed.,,,,,energy_conversion_transduction,electronic_expansion_valve,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve:unit_cost_gbp,bom_source_field,source_required,assumption,Electronic expansion valve / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,energy_conversion_transduction,electronic_expansion_valve,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_fan_air_path_variable_speed_fan_assembly:manufacturer,bom_source_field,source_required,assumption,Variable-speed fan assembly / manufacturer,manufacturer is required but not source-backed.,,,,,environmental_interface,variable_speed_fan_assembly,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_fan_air_path_variable_speed_fan_assembly:mpn,bom_source_field,source_required,assumption,Variable-speed fan assembly / mpn,mpn is required but not source-backed.,,,,,environmental_interface,variable_speed_fan_assembly,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_fan_air_path_variable_speed_fan_assembly:supplier,bom_source_field,source_required,assumption,Variable-speed fan assembly / supplier,supplier is required but not source-backed.,,,,,environmental_interface,variable_speed_fan_assembly,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_fan_air_path_variable_speed_fan_assembly:unit_cost_gbp,bom_source_field,source_required,assumption,Variable-speed fan assembly / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,environmental_interface,variable_speed_fan_assembly,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_outdoor_evaporator_outdoor_finned_evaporator_coil:manufacturer,bom_source_field,source_required,assumption,Outdoor finned evaporator coil / manufacturer,manufacturer is required but not source-backed.,,,,thermal_output_kw,environmental_interface,outdoor_finned_evaporator_coil,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_outdoor_evaporator_outdoor_finned_evaporator_coil:mpn,bom_source_field,source_required,assumption,Outdoor finned evaporator coil / mpn,mpn is required but not source-backed.,,,,thermal_output_kw,environmental_interface,outdoor_finned_evaporator_coil,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_outdoor_evaporator_outdoor_finned_evaporator_coil:supplier,bom_source_field,source_required,assumption,Outdoor finned evaporator coil / supplier,supplier is required but not source-backed.,,,,thermal_output_kw,environmental_interface,outdoor_finned_evaporator_coil,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_outdoor_evaporator_outdoor_finned_evaporator_coil:unit_cost_gbp,bom_source_field,source_required,assumption,Outdoor finned evaporator coil / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,thermal_output_kw,environmental_interface,outdoor_finned_evaporator_coil,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:mass_fluid_transport_process_circulation_pump_group_hydronic_circulation_pump:manufacturer,bom_source_field,source_required,assumption,Hydronic circulation pump / manufacturer,manufacturer is required but not source-backed.,,,,,mass_fluid_transport_process,hydronic_circulation_pump,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:mass_fluid_transport_process_circulation_pump_group_hydronic_circulation_pump:mpn,bom_source_field,source_required,assumption,Hydronic circulation pump / mpn,mpn is required but not source-backed.,,,,,mass_fluid_transport_process,hydronic_circulation_pump,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:mass_fluid_transport_process_circulation_pump_group_hydronic_circulation_pump:supplier,bom_source_field,source_required,assumption,Hydronic circulation pump / supplier,supplier is required but not source-backed.,,,,,mass_fluid_transport_process,hydronic_circulation_pump,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:mass_fluid_transport_process_circulation_pump_group_hydronic_circulation_pump:unit_cost_gbp,bom_source_field,source_required,assumption,Hydronic circulation pump / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,mass_fluid_transport_process,hydronic_circulation_pump,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:mass_fluid_transport_process_condenser_heat_exchanger_brazed_plate_heat_exchanger:manufacturer,bom_source_field,source_required,assumption,Brazed plate heat exchanger / manufacturer,manufacturer is required but not source-backed.,,,,thermal_output_kw,mass_fluid_transport_process,brazed_plate_heat_exchanger,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:mass_fluid_transport_process_condenser_heat_exchanger_brazed_plate_heat_exchanger:mpn,bom_source_field,source_required,assumption,Brazed plate heat exchanger / mpn,mpn is required but not source-backed.,,,,thermal_output_kw,mass_fluid_transport_process,brazed_plate_heat_exchanger,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:mass_fluid_transport_process_condenser_heat_exchanger_brazed_plate_heat_exchanger:supplier,bom_source_field,source_required,assumption,Brazed plate heat exchanger / supplier,supplier is required but not source-backed.,,,,thermal_output_kw,mass_fluid_transport_process,brazed_plate_heat_exchanger,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:mass_fluid_transport_process_condenser_heat_exchanger_brazed_plate_heat_exchanger:unit_cost_gbp,bom_source_field,source_required,assumption,Brazed plate heat exchanger / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,thermal_output_kw,mass_fluid_transport_process,brazed_plate_heat_exchanger,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:mass_fluid_transport_process_hydronic_safety_group_hydronic_safety_valve_kit:manufacturer,bom_source_field,source_required,assumption,Hydronic safety valve kit / manufacturer,manufacturer is required but not source-backed.,,,,,mass_fluid_transport_process,hydronic_safety_valve_kit,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:mass_fluid_transport_process_hydronic_safety_group_hydronic_safety_valve_kit:mpn,bom_source_field,source_required,assumption,Hydronic safety valve kit / mpn,mpn is required but not source-backed.,,,,,mass_fluid_transport_process,hydronic_safety_valve_kit,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:mass_fluid_transport_process_hydronic_safety_group_hydronic_safety_valve_kit:supplier,bom_source_field,source_required,assumption,Hydronic safety valve kit / supplier,supplier is required but not source-backed.,,,,,mass_fluid_transport_process,hydronic_safety_valve_kit,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:mass_fluid_transport_process_hydronic_safety_group_hydronic_safety_valve_kit:unit_cost_gbp,bom_source_field,source_required,assumption,Hydronic safety valve kit / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,mass_fluid_transport_process,hydronic_safety_valve_kit,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:sensing_instrumentation_refrigerant_sensing_refrigerant_sensor_and_pressure_transducers:manufacturer,bom_source_field,source_required,assumption,Refrigerant sensor and pressure transducers / manufacturer,manufacturer is required but not source-backed.,,,,cop,sensing_instrumentation,refrigerant_sensor_and_pressure_transducers,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:sensing_instrumentation_refrigerant_sensing_refrigerant_sensor_and_pressure_transducers:mpn,bom_source_field,source_required,assumption,Refrigerant sensor and pressure transducers / mpn,mpn is required but not source-backed.,,,,cop,sensing_instrumentation,refrigerant_sensor_and_pressure_transducers,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:sensing_instrumentation_refrigerant_sensing_refrigerant_sensor_and_pressure_transducers:supplier,bom_source_field,source_required,assumption,Refrigerant sensor and pressure transducers / supplier,supplier is required but not source-backed.,,,,cop,sensing_instrumentation,refrigerant_sensor_and_pressure_transducers,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:sensing_instrumentation_refrigerant_sensing_refrigerant_sensor_and_pressure_transducers:unit_cost_gbp,bom_source_field,source_required,assumption,Refrigerant sensor and pressure transducers / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,cop,sensing_instrumentation,refrigerant_sensor_and_pressure_transducers,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
component_candidate:control_compute_communication_main_controller_heat_pump_controller_pcb,component_candidate,source_required,generated_model,Heat pump controller PCB,Heat pump controller PCB is an architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,,,cop,control_compute_communication,heat_pump_controller_pcb,true,true,"Admit source-backed supplier, manufacturer, MPN, unit cost and lead-time evidence through sourcing intake."
component_candidate:energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor,component_candidate,source_required,generated_model,Inverter scroll compressor,Inverter scroll compressor is an architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,,,thermal_output_kw; cop,energy_conversion_transduction,inverter_scroll_compressor,true,true,"Admit source-backed supplier, manufacturer, MPN, unit cost and lead-time evidence through sourcing intake."
component_candidate:energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve,component_candidate,source_required,generated_model,Electronic expansion valve,Electronic expansion valve is an architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,,,,energy_conversion_transduction,electronic_expansion_valve,true,true,"Admit source-backed supplier, manufacturer, MPN, unit cost and lead-time evidence through sourcing intake."
component_candidate:environmental_interface_fan_air_path_variable_speed_fan_assembly,component_candidate,source_required,generated_model,Variable-speed fan assembly,Variable-speed fan assembly is an architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,,,,environmental_interface,variable_speed_fan_assembly,true,true,"Admit source-backed supplier, manufacturer, MPN, unit cost and lead-time evidence through sourcing intake."
component_candidate:environmental_interface_outdoor_evaporator_outdoor_finned_evaporator_coil,component_candidate,source_required,generated_model,Outdoor finned evaporator coil,Outdoor finned evaporator coil is an architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,,,thermal_output_kw,environmental_interface,outdoor_finned_evaporator_coil,true,true,"Admit source-backed supplier, manufacturer, MPN, unit cost and lead-time evidence through sourcing intake."
component_candidate:mass_fluid_transport_process_circulation_pump_group_hydronic_circulation_pump,component_candidate,source_required,generated_model,Hydronic circulation pump,Hydronic circulation pump is an architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,,,,mass_fluid_transport_process,hydronic_circulation_pump,true,true,"Admit source-backed supplier, manufacturer, MPN, unit cost and lead-time evidence through sourcing intake."
component_candidate:mass_fluid_transport_process_condenser_heat_exchanger_brazed_plate_heat_exchanger,component_candidate,source_required,generated_model,Brazed plate heat exchanger,Brazed plate heat exchanger is an architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,,,thermal_output_kw,mass_fluid_transport_process,brazed_plate_heat_exchanger,true,true,"Admit source-backed supplier, manufacturer, MPN, unit cost and lead-time evidence through sourcing intake."
component_candidate:mass_fluid_transport_process_hydronic_safety_group_hydronic_safety_valve_kit,component_candidate,source_required,generated_model,Hydronic safety valve kit,Hydronic safety valve kit is an architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,,,,mass_fluid_transport_process,hydronic_safety_valve_kit,true,true,"Admit source-backed supplier, manufacturer, MPN, unit cost and lead-time evidence through sourcing intake."
component_candidate:sensing_instrumentation_refrigerant_sensing_refrigerant_sensor_and_pressure_transducers,component_candidate,source_required,generated_model,Refrigerant sensor and pressure transducers,Refrigerant sensor and pressure transducers is an architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.heat_pump,,,cop,sensing_instrumentation,refrigerant_sensor_and_pressure_transducers,true,true,"Admit source-backed supplier, manufacturer, MPN, unit cost and lead-time evidence through sourcing intake."
headline_metric:capex_gbp,headline_metric,source_required,assumption,Estimated CAPEX,Estimated CAPEX = 0 GBP.,formula:capex=sum(bom.totalCostGbp); class_pack:heat_pump.class_pack,,,,,,true,true,Admit source-backed BoM costs before treating this cost metric as a claim.
headline_metric:opex_annual_gbp,headline_metric,source_required,assumption,Estimated annual OPEX,Estimated annual OPEX = 0 GBP/year.,formula:opex=capex*0.04,,,,,,true,true,Admit source-backed BoM costs before treating this cost metric as a claim.
