moduleId,moduleName,verdict,subModuleCount,componentWordCount,interfaceCount,linkedRequirementCount,requiredInterfaceContracts,carrierCompleteInterfaceContracts,blockedAllocationRows,reviewQuestions,acceptedReviewQuestions,blockedReviewQuestions,linkedCalculationRows,assumptionReviewRows,criticalBomLines,unpricedCriticalLines,passRatio,blockers,requiredAction
structure_containment,Ultra-Light Wing Structure,review,3,12,6,1,0,0,0,8,0,0,1,3,1,1,0.86,,1 critical BoM line(s) need source-backed cost evidence. 8 engineering review question(s) await acceptance. 3 assumption row(s) need review or source evidence.
energy_harvesting,Solar Energy Harvesting,review,3,12,5,2,1,1,0,12,0,0,2,8,2,2,0.86,,2 critical BoM line(s) need source-backed cost evidence. 12 engineering review question(s) await acceptance. 8 assumption row(s) need review or source evidence.
energy_storage_source,Night-Cycle Energy Storage,review,3,12,6,1,2,2,0,10,0,0,1,5,1,1,0.86,,1 critical BoM line(s) need source-backed cost evidence. 10 engineering review question(s) await acceptance. 5 assumption row(s) need review or source evidence.
power_distribution,Flight Power Distribution,review,3,12,8,1,3,3,0,10,0,0,1,5,0,0,0.86,,10 engineering review question(s) await acceptance. 5 assumption row(s) need review or source evidence.
actuation_kinematics,Propulsion And Control Surfaces,review,3,12,6,2,2,2,0,12,0,0,2,6,1,1,0.86,,1 critical BoM line(s) need source-backed cost evidence. 12 engineering review question(s) await acceptance. 6 assumption row(s) need review or source evidence.
control_compute_communication,Autonomy Control Communication,review,3,12,7,2,4,4,0,17,0,0,3,10,2,2,0.86,,2 critical BoM line(s) need source-backed cost evidence. 17 engineering review question(s) await acceptance. 10 assumption row(s) need review or source evidence.
sensing_instrumentation,Navigation And Airdata Sensing,review,3,12,4,1,1,1,0,11,0,0,2,7,1,1,0.86,,1 critical BoM line(s) need source-backed cost evidence. 11 engineering review question(s) await acceptance. 7 assumption row(s) need review or source evidence.
payload_communication,Communications Payload,review,3,12,6,0,1,1,0,7,0,0,0,4,2,2,0.71,,2 critical BoM line(s) need source-backed cost evidence. 7 engineering review question(s) await acceptance. 4 assumption row(s) need review or source evidence.
environmental_interface,Stratospheric Environmental Interface,review,3,12,6,1,1,1,0,11,0,0,2,5,1,1,0.86,,1 critical BoM line(s) need source-backed cost evidence. 11 engineering review question(s) await acceptance. 5 assumption row(s) need review or source evidence.
safety_protection,Flight Safety And Recovery,review,3,12,6,1,1,1,0,11,0,0,2,6,1,1,0.86,,1 critical BoM line(s) need source-backed cost evidence. 11 engineering review question(s) await acceptance. 6 assumption row(s) need review or source evidence.
maintenance_serviceability,Ground Handling Serviceability,review,3,12,5,1,0,0,0,7,0,0,1,3,0,0,0.86,,7 engineering review question(s) await acceptance. 3 assumption row(s) need review or source evidence.
