lineId,componentWordId,description,duplicateGroupSize,duplicatePeerLineIds,duplicateResolution,priority,ledgerStatus,quantity,unit,unitCostGbp,totalCostGbp,supplier,manufacturer,mpn,leadTimeWeeks,sourceGrade,evidenceRef,evidenceQuote,retrievedAt,rejectionReasons,nextAction
structure_containment_pressure_hull_shell_pressure_hull,pressure_hull,Pressure hull,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_pressure_hull_shell_endcap_clamp_ring,endcap_clamp_ring,endcap clamp ring,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_pressure_hull_shell_double_o_ring_gland_set,double_o_ring_gland_set,double O-ring gland set,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_pressure_hull_shell_hull_proof_test_port,hull_proof_test_port,hull proof-test port,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_internal_mounting_frame_electronics_tray_rail,electronics_tray_rail,electronics tray rail,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_internal_mounting_frame_battery_cradle_frame,battery_cradle_frame,battery cradle frame,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_internal_mounting_frame_payload_mounting_rail,payload_mounting_rail,payload mounting rail,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_internal_mounting_frame_trim_weight_pocket,trim_weight_pocket,trim weight pocket,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_hydrodynamic_fairing_nose_fairing,nose_fairing,nose fairing,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_hydrodynamic_fairing_tail_cone_fairing,tail_cone_fairing,tail cone fairing,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_hydrodynamic_fairing_stabilising_fin_set,stabilising_fin_set,stabilising fin set,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
