id,kind,priority,status,scope,reviewerQuestion,evidenceRequired,acceptanceCriteria,linkedModuleIds,linkedSubModuleIds,linkedComponentWordIds,linkedRequirementIds,linkedInterfaceIds,linkedCalculationIds,blockers
assumption_resolution:compliance:IEC-60601-1,assumption_resolution,major,needs_review,IEC-60601-1,"Can the IEC-60601-1 assumption be accepted for architecture review, or must it be replaced with evidence?","Electrical safety, leakage, power source and abnormal-operation evidence tailored to wearable use.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:IEC-62304,assumption_resolution,major,needs_review,IEC-62304,"Can the IEC-62304 assumption be accepted for architecture review, or must it be replaced with evidence?","Software architecture, risk class, verification and release evidence.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:ISO-10993,assumption_resolution,major,needs_review,ISO-10993,"Can the ISO-10993 assumption be accepted for architecture review, or must it be replaced with evidence?","Skin-contact material, adhesive and wear-duration biocompatibility evidence.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:ISO-14971,assumption_resolution,major,needs_review,ISO-14971,"Can the ISO-14971 assumption be accepted for architecture review, or must it be replaced with evidence?","Hazard analysis, risk controls and residual-risk acceptability.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:component:actuation_kinematics_disposable_applicator_disposable_applicator,assumption_resolution,major,needs_review,Disposable applicator,"Can the Disposable applicator assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",actuation_kinematics,,disposable_applicator,,,,
assumption_resolution:component:control_compute_communication_ble_telemetry_ble_radio_module,assumption_resolution,major,needs_review,BLE radio module,"Can the BLE radio module assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",control_compute_communication,,ble_radio_module,,,,
assumption_resolution:component:control_compute_communication_mcu_firmware_low_power_microcontroller,assumption_resolution,major,needs_review,Low-power microcontroller,"Can the Low-power microcontroller assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",control_compute_communication,,low_power_microcontroller,,,,
assumption_resolution:component:energy_storage_source_battery_cell_thin_film_battery,assumption_resolution,major,needs_review,Thin-film battery,"Can the Thin-film battery assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",energy_storage_source,,thin_film_battery,,,,
assumption_resolution:component:environmental_interface_temperature_compensation_temperature_sensor,assumption_resolution,major,needs_review,Temperature sensor,"Can the Temperature sensor assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",environmental_interface,,temperature_sensor,,,,
assumption_resolution:component:maintenance_serviceability_lot_traceability_udi_label_set,assumption_resolution,major,needs_review,UDI label set,"Can the UDI label set assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",maintenance_serviceability,,udi_label_set,,,,
assumption_resolution:component:maintenance_serviceability_sterile_packaging_sterile_barrier_pouch,assumption_resolution,major,needs_review,Sterile barrier pouch,"Can the Sterile barrier pouch assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",maintenance_serviceability,,sterile_barrier_pouch,,,,
assumption_resolution:component:sensing_instrumentation_glucose_filament_stack_enzyme_reagent_membrane,assumption_resolution,major,needs_review,Enzyme reagent membrane,"Can the Enzyme reagent membrane assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",sensing_instrumentation,,enzyme_reagent_membrane,,,,
assumption_resolution:component:sensing_instrumentation_glucose_filament_stack_glucose_sensing_filament,assumption_resolution,major,needs_review,Glucose sensing filament,"Can the Glucose sensing filament assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",sensing_instrumentation,,glucose_sensing_filament,,,,
