id,kind,priority,status,scope,issue,requiredEvidence,closurePath,blocks,linkedIds,source
readiness:1,readiness_blocker,blocker,open,Report readiness gate,bom score 1 is below 8.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",score_repair,publishable,,report_readiness_gate
readiness:2,readiness_blocker,blocker,open,Report readiness gate,9 critical BoM line(s) lack source-backed cost evidence.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",sourcing_intake,bom; publishable,,report_readiness_gate
readiness:3,readiness_blocker,blocker,open,Report readiness gate,5 verification activity/activities remain blocked.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",verification_intake,publishable,,report_readiness_gate
readiness:4,readiness_blocker,blocker,open,Report readiness gate,0/25 non-sourcing verification activity/activities have accepted reviewer evidence.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",verification_intake,publishable,,report_readiness_gate
assumption:metric:headline_output,assumption_review,major,needs_review,Annual useful heat output,Annual useful heat output uses thermal_output_kw * annual_full_load_hours with medium confidence.,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",engineering_review,publishable,,engineering_assumption_ledger
assumption:metric:capex_gbp,assumption_review,blocker,ready_for_intake,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,Admit source-backed BoM pricing before treating this cost metric as a claim.,sourcing_intake,bom; publishable,,engineering_assumption_ledger
assumption:metric:opex_annual_gbp,assumption_review,blocker,ready_for_intake,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,Admit source-backed BoM pricing before treating this cost metric as a claim.,sourcing_intake,bom; publishable,,engineering_assumption_ledger
assumption:sanity:heatpump_cop_input_power,assumption_review,major,needs_review,COP And Input Power,COP And Input Power currently evaluates as pass against COP 2.5 to 5.5 for plausible air-source heat-pump operating points.,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,thermal_output_kw; cop,engineering_assumption_ledger
assumption:sanity:heatpump_refrigerant_hydronic_closure,assumption_review,major,needs_review,Refrigerant/Hydronic Closure,"Refrigerant/Hydronic Closure currently evaluates as pass against refrigerant loop, hydronic loop, control bus and sensor bus present.","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,thermal_output_kw; cop,engineering_assumption_ledger
assumption:sanity:heatpump_safety_serviceability,assumption_review,major,needs_review,Safety And Serviceability Interfaces,"Safety And Serviceability Interfaces currently evaluates as pass against pressure relief, protective earth, condensate drain and service access present.","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,,engineering_assumption_ledger
assumption:compliance:EN-14511,assumption_review,major,needs_review,EN-14511,Heat pump performance test conditions is relevant to this product class in UK/EU.,"Capacity, COP and operating-point test evidence.",engineering_review,publishable,,engineering_assumption_ledger
assumption:compliance:EN-378,assumption_review,major,needs_review,EN-378,Refrigerating systems and heat pumps safety is relevant to this product class in UK/EU.,"Refrigerant charge, pressure protection and safety assessment.",engineering_review,publishable,,engineering_assumption_ledger
assumption:compliance:EN-60335-2-40,assumption_review,major,needs_review,EN-60335-2-40,Electrical safety for heat pumps and air conditioners is relevant to this product class in UK/EU.,"Electrical safety, leakage, temperature and abnormal-operation evidence.",engineering_review,publishable,,engineering_assumption_ledger
sourcing:inverter_scroll_compressor,sourcing_evidence,blocker,ready_for_intake,Inverter scroll compressor,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,inverter_scroll_compressor,sourcing_worklist
sourcing:electronic_expansion_valve,sourcing_evidence,blocker,ready_for_intake,Electronic expansion valve,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,electronic_expansion_valve,sourcing_worklist
sourcing:outdoor_finned_evaporator_coil,sourcing_evidence,blocker,ready_for_intake,Outdoor finned evaporator coil,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,outdoor_finned_evaporator_coil,sourcing_worklist
sourcing:variable_speed_fan_assembly,sourcing_evidence,blocker,ready_for_intake,Variable-speed fan assembly,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,variable_speed_fan_assembly,sourcing_worklist
sourcing:brazed_plate_heat_exchanger,sourcing_evidence,blocker,ready_for_intake,Brazed plate heat exchanger,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,brazed_plate_heat_exchanger,sourcing_worklist
sourcing:hydronic_circulation_pump,sourcing_evidence,blocker,ready_for_intake,Hydronic circulation pump,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,hydronic_circulation_pump,sourcing_worklist
sourcing:hydronic_safety_valve_kit,sourcing_evidence,blocker,ready_for_intake,Hydronic safety valve kit,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,hydronic_safety_valve_kit,sourcing_worklist
