batchId,batchSequence,batchKind,batchTitle,batchStatus,itemId,closureRowId,action,priority,status,componentWordId,description,searchTerms,requiredEvidence,acceptanceCriteria,rejectionCriteria,targetOutcome,blocksProcurement,sourceArtifacts
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:1:disposable_applicator,bom-close:actuation_kinematics_disposable_applicator_disposable_applicator,collect_source_evidence,blocker,ready,disposable_applicator,Disposable applicator,Disposable applicator; Disposable applicator manufacturer part number; Disposable applicator catalogue price GBP; Disposable applicator datasheet; Disposable applicator continuous glucose monitor; Disposable applicator wearable medical device,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:2:ble_radio_module,bom-close:control_compute_communication_ble_telemetry_ble_radio_module,collect_source_evidence,blocker,ready,ble_radio_module,BLE radio module,BLE radio module; BLE radio module manufacturer part number; BLE radio module catalogue price GBP; BLE radio module datasheet; BLE radio module continuous glucose monitor; BLE radio module wearable medical device,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:3:low_power_microcontroller,bom-close:control_compute_communication_mcu_firmware_low_power_microcontroller,collect_source_evidence,blocker,ready,low_power_microcontroller,Low-power microcontroller,Low-power microcontroller; Low-power microcontroller manufacturer part number; Low-power microcontroller catalogue price GBP; Low-power microcontroller datasheet; Low-power microcontroller continuous glucose monitor; Low-power microcontroller wearable medical device,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:4:thin_film_battery,bom-close:energy_storage_source_battery_cell_thin_film_battery,collect_source_evidence,blocker,ready,thin_film_battery,Thin-film battery,Thin-film battery; Thin-film battery manufacturer part number; Thin-film battery catalogue price GBP; Thin-film battery datasheet; Thin-film battery continuous glucose monitor; Thin-film battery wearable medical device,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:5:temperature_sensor,bom-close:environmental_interface_temperature_compensation_temperature_sensor,collect_source_evidence,blocker,ready,temperature_sensor,Temperature sensor,Temperature sensor; Temperature sensor manufacturer part number; Temperature sensor catalogue price GBP; Temperature sensor datasheet; Temperature sensor continuous glucose monitor; Temperature sensor wearable medical device,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:6:udi_label_set,bom-close:maintenance_serviceability_lot_traceability_udi_label_set,collect_source_evidence,blocker,ready,udi_label_set,UDI label set,UDI label set; UDI label set manufacturer part number; UDI label set catalogue price GBP; UDI label set datasheet; UDI label set continuous glucose monitor; UDI label set wearable medical device,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:7:sterile_barrier_pouch,bom-close:maintenance_serviceability_sterile_packaging_sterile_barrier_pouch,collect_source_evidence,blocker,ready,sterile_barrier_pouch,Sterile barrier pouch,Sterile barrier pouch; Sterile barrier pouch manufacturer part number; Sterile barrier pouch catalogue price GBP; Sterile barrier pouch datasheet; Sterile barrier pouch continuous glucose monitor; Sterile barrier pouch wearable medical device,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:8:enzyme_reagent_membrane,bom-close:sensing_instrumentation_glucose_filament_stack_enzyme_reagent_membrane,collect_source_evidence,blocker,ready,enzyme_reagent_membrane,Enzyme reagent membrane,Enzyme reagent membrane; Enzyme reagent membrane manufacturer part number; Enzyme reagent membrane catalogue price GBP; Enzyme reagent membrane datasheet; Enzyme reagent membrane continuous glucose monitor; Enzyme reagent membrane wearable medical device,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:9:glucose_sensing_filament,bom-close:sensing_instrumentation_glucose_filament_stack_glucose_sensing_filament,collect_source_evidence,blocker,ready,glucose_sensing_filament,Glucose sensing filament,Glucose sensing filament; Glucose sensing filament manufacturer part number; Glucose sensing filament catalogue price GBP; Glucose sensing filament datasheet; Glucose sensing filament continuous glucose monitor; Glucose sensing filament wearable medical device,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:10:reference_electrode,bom-close:sensing_instrumentation_glucose_filament_stack_reference_electrode,collect_source_evidence,blocker,ready,reference_electrode,Reference electrode,Reference electrode; Reference electrode manufacturer part number; Reference electrode catalogue price GBP; Reference electrode datasheet; Reference electrode continuous glucose monitor; Reference electrode wearable medical device,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
