activityId,activity,status,evidenceKind,moduleId,moduleName,requirementIds,sanityCheckIds,interfaceIds,componentWordIds,acceptanceCriteria,blockers
design_review:skin_patient_interface,Review Skin Patient Interface architecture allocation,ready_for_review,design_review,skin_patient_interface,Skin Patient Interface,wear_days,cgm_wear_duration; cgm_patch_power_comms_safety,adhesive_skin_boundary; interstitial_fluid_path; sterile_boundary; insertion_path; service_access,adhesive_skin_patch; hydrocolloid_edge_seal; breathable_backing_film; pull_tab_liner; skin_contact_gasket; filament_entry_seal; antimicrobial_contact_pad; insertion_site_spacing_ring; flex_relief_bridge; sweat_channel_texture; patch_stretch_zone; removal_aid_tab,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:skin_patient_interface,Verify Skin Patient Interface requirement calculations,ready_for_review,calculation,skin_patient_interface,Skin Patient Interface,wear_days,cgm_wear_duration; cgm_patch_power_comms_safety,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:skin_patient_interface,Collect source-backed evidence for Skin Patient Interface critical components,blocked,source_evidence,skin_patient_interface,Skin Patient Interface,wear_days,,,adhesive_skin_patch,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",adhesive_skin_patch
design_review:sensing_instrumentation,Review Glucose Sensing Instrumentation architecture allocation,ready_for_review,design_review,sensing_instrumentation,Glucose Sensing Instrumentation,reading_interval_minutes; mard_percent,cgm_reading_interval; cgm_biofluid_signal_closure; cgm_patch_power_comms_safety; cgm_accuracy_target,interstitial_fluid_path; electrode_signal_path; sensor_signal_bus; calibration_data_bus; analog_power_rail; temperature_compensation_bus,glucose_sensing_filament; enzyme_reagent_membrane; reference_electrode; diffusion_limiting_membrane; potentiostat_afe; low_leakage_input_guard; electrode_flex_tail; sensor_bias_resistor_network; calibration_data_eeprom; drift_estimator_firmware_table; factory_calibration_code; signal_integrity_test_pad,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:sensing_instrumentation,Verify Glucose Sensing Instrumentation requirement calculations,ready_for_review,calculation,sensing_instrumentation,Glucose Sensing Instrumentation,reading_interval_minutes; mard_percent,cgm_reading_interval; cgm_biofluid_signal_closure; cgm_patch_power_comms_safety; cgm_accuracy_target,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:sensing_instrumentation,Collect source-backed evidence for Glucose Sensing Instrumentation critical components,blocked,source_evidence,sensing_instrumentation,Glucose Sensing Instrumentation,reading_interval_minutes; mard_percent,,,glucose_sensing_filament; enzyme_reagent_membrane; reference_electrode,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",glucose_sensing_filament enzyme_reagent_membrane reference_electrode
design_review:actuation_kinematics,Review Applicator Insertion Mechanism architecture allocation,ready_for_review,design_review,actuation_kinematics,Applicator Insertion Mechanism,,,insertion_path; sterile_boundary; user_trigger; service_access,disposable_applicator; spring_insertion_driver; trigger_button; safety_cap; introducer_needle; filament_deployment_shuttle; depth_stop_collar; retraction_latch; needle_shield; post_use_lock_tab; applicator_status_window; trigger_interlock_spring,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
source_evidence:actuation_kinematics,Collect source-backed evidence for Applicator Insertion Mechanism critical components,blocked,source_evidence,actuation_kinematics,Applicator Insertion Mechanism,,,,disposable_applicator,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",disposable_applicator
design_review:structure_containment,Review Transmitter Housing Structure architecture allocation,ready_for_review,design_review,structure_containment,Transmitter Housing Structure,,,electronics_mount; ingress_boundary; adhesive_skin_boundary; service_access; insertion_path,protective_transmitter_housing; ultrasonic_weld_seam; electronics_carrier_tray; ingress_gasket; flexible_patch_frame; sensor_port_boss; transmitter_latch_rail; strain_relief_web; hydrophobic_vent_membrane; ip_ingress_seal; splash_shield_lip; housing_serial_marking,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
source_evidence:structure_containment,Collect source-backed evidence for Transmitter Housing Structure critical components,blocked,source_evidence,structure_containment,Transmitter Housing Structure,,,,protective_transmitter_housing,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",protective_transmitter_housing
