activityId,activity,status,evidenceKind,moduleId,moduleName,requirementIds,sanityCheckIds,interfaceIds,componentWordIds,acceptanceCriteria,blockers
design_review:structure_containment,Review Rack Structure Containment architecture allocation,ready_for_review,design_review,structure_containment,Rack Structure Containment,rack_units,edgeai_power_density; edgeai_thermal_power_safety,rack_mount; airflow_path; service_access; protective_earth,1u_rack_chassis; slide_rail_kit; internal_divider_panel; front_bezel_assembly; accelerator_retention_bracket; pcie_riser_support; card_stiffener_rail; gpu_airflow_baffle; asset_label_plate; airflow_direction_label; rack_ear_set; cable_management_arm,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:structure_containment,Verify Rack Structure Containment requirement calculations,ready_for_review,calculation,structure_containment,Rack Structure Containment,rack_units,edgeai_power_density; edgeai_thermal_power_safety,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:structure_containment,Collect source-backed evidence for Rack Structure Containment critical components,blocked,source_evidence,structure_containment,Rack Structure Containment,rack_units,,,1u_rack_chassis,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",1u_rack_chassis
design_review:compute_acceleration,Review Compute Acceleration architecture allocation,ready_for_review,design_review,compute_acceleration,Compute Acceleration,compute_tops,edgeai_compute_throughput; edgeai_data_compute_closure; edgeai_thermal_power_safety,pcie_fabric; memory_bus; gpu_power_bus; thermal_path; sensor_bus; low_voltage_rail,ai_accelerator_module; accelerator_carrier_board; pcie_edge_connector; accelerator_retention_latch; cpu_module; ecc_memory; system_motherboard; boot_flash_device; high_current_vrm_module; pcie_retimer_set; clock_distribution_device; power_integrity_capacitor_bank,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:compute_acceleration,Verify Compute Acceleration requirement calculations,ready_for_review,calculation,compute_acceleration,Compute Acceleration,compute_tops,edgeai_compute_throughput; edgeai_data_compute_closure; edgeai_thermal_power_safety,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:compute_acceleration,Collect source-backed evidence for Compute Acceleration critical components,blocked,source_evidence,compute_acceleration,Compute Acceleration,compute_tops,,,ai_accelerator_module; cpu_module; ecc_memory; system_motherboard,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",ai_accelerator_module cpu_module ecc_memory system_motherboard
design_review:network_io,Review Network IO architecture allocation,ready_for_review,design_review,network_io,Network IO,,,inference_network; management_network; pcie_fabric; service_access; protective_earth,high_speed_nic; optical_transceiver_cage; nic_heatsink; network_link_led_board; ptp_timing_module; gpio_trigger_input; data_ingest_connector; network_bypass_relay; emi_gasket_strip; shielded_io_bracket; cable_strain_relief_comb; service_loop_tie_set,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
source_evidence:network_io,Collect source-backed evidence for Network IO critical components,blocked,source_evidence,network_io,Network IO,,,,high_speed_nic,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",high_speed_nic
design_review:data_storage,Review Data Storage architecture allocation,ready_for_review,design_review,data_storage,Data Storage,,,storage_bus; pcie_fabric; service_access; secure_boot_chain; management_network,nvme_ssd; m_2_carrier_tray; drive_thermal_pad; drive_retention_screw_set; model_cache_partition; storage_health_monitor; secure_erase_controller; firmware_recovery_image; event_log_partition; write_endurance_counter; crash_dump_region; log_export_port,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
source_evidence:data_storage,Collect source-backed evidence for Data Storage critical components,blocked,source_evidence,data_storage,Data Storage,,,,nvme_ssd,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",nvme_ssd
design_review:control_compute_communication,Review Control Compute Communication architecture allocation,ready_for_review,design_review,control_compute_communication,Control Compute Communication,compute_tops,edgeai_compute_throughput; edgeai_data_compute_closure; edgeai_thermal_power_safety,pcie_fabric; storage_bus; management_network; inference_network; sensor_bus; thermal_alarm_bus; secure_boot_chain; service_access,bmc_management_controller; management_ethernet_phy; bios_firmware_image; platform_configuration_eeprom; inference_runtime_image; accelerator_driver_bundle; watchdog_service; configuration_manifest; out_of_band_management_port; serial_console_header; debug_access_lockout; firmware_signing_key_slot,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:control_compute_communication,Verify Control Compute Communication requirement calculations,ready_for_review,calculation,control_compute_communication,Control Compute Communication,compute_tops,edgeai_compute_throughput; edgeai_data_compute_closure; edgeai_thermal_power_safety,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:control_compute_communication,Collect source-backed evidence for Control Compute Communication critical components,blocked,source_evidence,control_compute_communication,Control Compute Communication,compute_tops,,,bmc_management_controller,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",bmc_management_controller
design_review:power_distribution,Review Power Distribution architecture allocation,ready_for_review,design_review,power_distribution,Power Distribution,power_budget_w,edgeai_power_density; edgeai_thermal_power_safety,ac_input_bus; low_voltage_rail; gpu_power_bus; protective_earth; hardwired_trip; sensor_bus; service_access,redundant_power_supply; ac_inlet_filter; input_fuse_holder; power_good_signal_harness; 12_v_busbar; accelerator_power_harness; hot_swap_controller; fan_power_distribution_loom; hold_up_capacitor_module; brownout_detector; current_shunt_module; efuse_channel_set,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:power_distribution,Verify Power Distribution requirement calculations,ready_for_review,calculation,power_distribution,Power Distribution,power_budget_w,edgeai_power_density; edgeai_thermal_power_safety,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:power_distribution,Collect source-backed evidence for Power Distribution critical components,blocked,source_evidence,power_distribution,Power Distribution,power_budget_w,,,redundant_power_supply,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",redundant_power_supply
design_review:environmental_interface,Review Thermal Airflow Interface architecture allocation,ready_for_review,design_review,environmental_interface,Thermal Airflow Interface,compute_tops; rack_units; power_budget_w,edgeai_compute_throughput; edgeai_data_compute_closure; edgeai_thermal_power_safety; edgeai_power_density,airflow_path; thermal_path; fan_control_bus; sensor_bus; service_access,fan_wall_assembly; pwm_fan_controller; airflow_straightener; replaceable_dust_filter; heatsink_cold_plate; thermal_interface_material_set; heatpipe_assembly; rear_exhaust_duct; front_inlet_grille; rear_exhaust_grille; air_seal_foam_kit; rack_pressure_map_label,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:environmental_interface,Verify Thermal Airflow Interface requirement calculations,ready_for_review,calculation,environmental_interface,Thermal Airflow Interface,compute_tops; rack_units; power_budget_w,edgeai_compute_throughput; edgeai_data_compute_closure; edgeai_thermal_power_safety; edgeai_power_density,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
