id,kind,priority,status,scope,issue,requiredEvidence,closurePath,blocks,linkedIds,source
readiness:1,readiness_blocker,blocker,open,Report readiness gate,bom score 1 is below 8.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",score_repair,publishable,,report_readiness_gate
readiness:2,readiness_blocker,blocker,open,Report readiness gate,8 critical BoM line(s) lack source-backed cost evidence.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",sourcing_intake,bom; publishable,,report_readiness_gate
readiness:3,readiness_blocker,blocker,open,Report readiness gate,5 verification activity/activities remain blocked.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",verification_intake,publishable,,report_readiness_gate
readiness:4,readiness_blocker,blocker,open,Report readiness gate,0/19 non-sourcing verification activity/activities have accepted reviewer evidence.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",verification_intake,publishable,,report_readiness_gate
calculation:drone_reserve_time_minutes,calculation_review,major,needs_review,Drone 20% reserve time,8 minutes reserved at 20% of stated endurance.,"Confirm return-to-home reserve, hover reserve, battery ageing, wind case and payload power.",engineering_review,publishable,duration_minutes,engineering_calculation_ledger
assumption:metric:headline_output,assumption_review,major,needs_review,Flight endurance,Flight endurance uses duration_minutes with medium confidence.,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",engineering_review,publishable,,engineering_assumption_ledger
assumption:metric:capex_gbp,assumption_review,blocker,ready_for_intake,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,Admit source-backed BoM pricing before treating this cost metric as a claim.,sourcing_intake,bom; publishable,,engineering_assumption_ledger
assumption:metric:opex_annual_gbp,assumption_review,blocker,ready_for_intake,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,Admit source-backed BoM pricing before treating this cost metric as a claim.,sourcing_intake,bom; publishable,,engineering_assumption_ledger
assumption:sanity:drone_endurance_target,assumption_review,major,needs_review,Endurance Target,"Endurance Target currently evaluates as warn against <=30 min typical, 30-45 min aggressive, >45 min high-risk without mass/power budget.","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,duration_minutes,engineering_assumption_ledger
assumption:sanity:drone_propulsion_quads,assumption_review,major,needs_review,Quad Propulsion Allocation,Quad Propulsion Allocation currently evaluates as pass against four motors and four ESCs allocated for quadcopter layout.,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,duration_minutes,engineering_assumption_ledger
assumption:sanity:drone_control_power_chain,assumption_review,major,needs_review,Control/Power/Actuation Chain,"Control/Power/Actuation Chain currently evaluates as pass against power bus, motor drive, sensor bus and radio link all present.","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,duration_minutes,engineering_assumption_ledger
assumption:compliance:UK-UAS,assumption_review,major,needs_review,UK-UAS,UK unmanned aircraft operating rules is relevant to this product class in UK.,"Mass, geofencing and operating-category evidence.",engineering_review,publishable,,engineering_assumption_ledger
assumption:compliance:CE-EMC,assumption_review,major,needs_review,CE-EMC,CE electromagnetic compatibility is relevant to this product class in UK/EU.,EMC test plan and declarations.,engineering_review,publishable,,engineering_assumption_ledger
