activityId,activity,evidenceKind,reviewerName,verdict,evidenceRef,evidenceNote,reviewedAt
design_review:structure_containment,Review Growing Structure And Containment architecture allocation,design_review,,,,,
calculation:structure_containment,Verify Growing Structure And Containment requirement calculations,calculation,,,,,
design_review:environmental_interface,Review Light Climate And Gas Environment architecture allocation,design_review,,,,,
calculation:environmental_interface,Verify Light Climate And Gas Environment requirement calculations,calculation,,,,,
design_review:mass_fluid_transport_process,Review Nutrient And Water Transport Process architecture allocation,design_review,,,,,
design_review:sensing_instrumentation,Review Crop And Process Instrumentation architecture allocation,design_review,,,,,
design_review:control_compute_communication,Review Recipe Control And Communications architecture allocation,design_review,,,,,
design_review:power_distribution,Review Wet-Zone Power Distribution architecture allocation,design_review,,,,,
design_review:safety_protection,Review Food-Safe Safety And Protection architecture allocation,design_review,,,,,
design_review:maintenance_serviceability,Review Harvest Cleaning And Serviceability architecture allocation,design_review,,,,,
calculation:maintenance_serviceability,Verify Harvest Cleaning And Serviceability requirement calculations,calculation,,,,,
design_review:hmi_ergonomics,Review Operator HMI And Labelling architecture allocation,design_review,,,,,
interface_review:control_compute_communication:environmental_interface:actuator_bus,Verify actuator_bus interface contract,interface_review,,,,,
interface_review:control_compute_communication:mass_fluid_transport_process:actuator_bus,Verify actuator_bus interface contract,interface_review,,,,,
interface_review:environmental_interface:mass_fluid_transport_process:sensor_bus,Verify sensor_bus interface contract,interface_review,,,,,
compliance_review:CE-UKCA,Plan evidence for CE-UKCA,compliance_review,,,,,
compliance_review:WRAS,Plan evidence for WRAS,compliance_review,,,,,
risk_review:1,Review risk control for Crop loss from pump failure,compliance_review,,,,,
risk_review:2,Review risk control for Electrical fault in humid grow area,compliance_review,,,,,
