id,lineId,componentWordId,description,priority,quantity,unit,traceStatus,ledgerStatus,duplicateResolution,supplier,manufacturer,mpn,unitCostGbp,totalCostGbp,sourceRef,sourceReferenceClass,sourceReferenceStatus,sourceQualityIssues,supplierClaim,manufacturerClaim,mpnClaim,unitCostClaim,sourceBackedRequiredClaims,missingRequiredClaims,provenanceViolations,canDisplayCandidate,canDisplayPricedReview,canUseForProcurement,requiredAction
bom-trace:structure_containment_wing_primary_structure_high_aspect_ratio_wing_structure,structure_containment_wing_primary_structure_high_aspect_ratio_wing_structure,high_aspect_ratio_wing_structure,High-aspect-ratio wing structure,critical,1,candidate,critical_unsourced,critical_unpriced,unique_allocation,,,,,,,,,,missing_source,missing_source,missing_source,missing_source,0,4,0,yes,no,no,Collect admissible source evidence for this critical line before BoM can pass.
bom-trace:structure_containment_wing_primary_structure_carbon_spar_cap_set,structure_containment_wing_primary_structure_carbon_spar_cap_set,carbon_spar_cap_set,carbon spar cap set,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_wing_primary_structure_foam_rib_set,structure_containment_wing_primary_structure_foam_rib_set,foam_rib_set,foam rib set,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_wing_primary_structure_wing_joiner_sleeve,structure_containment_wing_primary_structure_wing_joiner_sleeve,wing_joiner_sleeve,wing joiner sleeve,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_tail_control_structure_tail_boom_assembly,structure_containment_tail_control_structure_tail_boom_assembly,tail_boom_assembly,tail boom assembly,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_tail_control_structure_elevator_surface,structure_containment_tail_control_structure_elevator_surface,elevator_surface,elevator surface,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_tail_control_structure_rudder_surface,structure_containment_tail_control_structure_rudder_surface,rudder_surface,rudder surface,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_tail_control_structure_control_hinge_set,structure_containment_tail_control_structure_control_hinge_set,control_hinge_set,control hinge set,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_payload_bay_structure_payload_bay_frame,structure_containment_payload_bay_structure_payload_bay_frame,payload_bay_frame,payload bay frame,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_payload_bay_structure_avionics_tray,structure_containment_payload_bay_structure_avionics_tray,avionics_tray,avionics tray,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_payload_bay_structure_access_panel_latch_set,structure_containment_payload_bay_structure_access_panel_latch_set,access_panel_latch_set,access panel latch set,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_payload_bay_structure_mass_balance_bracket,structure_containment_payload_bay_structure_mass_balance_bracket,mass_balance_bracket,mass balance bracket,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_harvesting_solar_skin_array_solar_cell_array,energy_harvesting_solar_skin_array_solar_cell_array,solar_cell_array,Solar cell array,critical,1,candidate,critical_unsourced,critical_unpriced,unique_allocation,,,,,,,,,,missing_source,missing_source,missing_source,missing_source,0,4,0,yes,no,no,Collect admissible source evidence for this critical line before BoM can pass.
bom-trace:energy_harvesting_solar_skin_array_cell_interconnect_ribbon,energy_harvesting_solar_skin_array_cell_interconnect_ribbon,cell_interconnect_ribbon,cell interconnect ribbon,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_harvesting_solar_skin_array_transparent_encapsulation_film,energy_harvesting_solar_skin_array_transparent_encapsulation_film,transparent_encapsulation_film,transparent encapsulation film,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_harvesting_solar_skin_array_solar_string_bypass_diode,energy_harvesting_solar_skin_array_solar_string_bypass_diode,solar_string_bypass_diode,solar string bypass diode,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_harvesting_mppt_conversion_mppt_power_tracker,energy_harvesting_mppt_conversion_mppt_power_tracker,mppt_power_tracker,MPPT power tracker,critical,1,candidate,critical_unsourced,critical_unpriced,unique_allocation,,,,,,,,,,missing_source,missing_source,missing_source,missing_source,0,4,0,yes,no,no,Collect admissible source evidence for this critical line before BoM can pass.
bom-trace:energy_harvesting_mppt_conversion_solar_input_current_sensor,energy_harvesting_mppt_conversion_solar_input_current_sensor,solar_input_current_sensor,solar input current sensor,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_harvesting_mppt_conversion_solar_voltage_tap_loom,energy_harvesting_mppt_conversion_solar_voltage_tap_loom,solar_voltage_tap_loom,solar voltage tap loom,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_harvesting_mppt_conversion_mppt_heat_spreader,energy_harvesting_mppt_conversion_mppt_heat_spreader,mppt_heat_spreader,MPPT heat spreader,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_harvesting_solar_health_monitoring_solar_string_monitor_board,energy_harvesting_solar_health_monitoring_solar_string_monitor_board,solar_string_monitor_board,solar string monitor board,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_harvesting_solar_health_monitoring_uv_exposure_witness_coupon,energy_harvesting_solar_health_monitoring_uv_exposure_witness_coupon,uv_exposure_witness_coupon,UV exposure witness coupon,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_harvesting_solar_health_monitoring_wing_surface_temperature_sensor,energy_harvesting_solar_health_monitoring_wing_surface_temperature_sensor,wing_surface_temperature_sensor,wing surface temperature sensor,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_harvesting_solar_health_monitoring_solar_inspection_connector,energy_harvesting_solar_health_monitoring_solar_inspection_connector,solar_inspection_connector,solar inspection connector,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
