lineId,componentWordId,description,duplicateGroupSize,duplicatePeerLineIds,duplicateResolution,priority,ledgerStatus,quantity,unit,unitCostGbp,totalCostGbp,supplier,manufacturer,mpn,leadTimeWeeks,sourceGrade,evidenceRef,evidenceQuote,retrievedAt,rejectionReasons,nextAction
power_distribution_ac_input_switchgear_ac_input_breaker_and_spd,ac_input_breaker_and_spd,AC input breaker and SPD,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
power_distribution_ac_input_switchgear_lockable_ac_isolator,lockable_ac_isolator,lockable AC isolator,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
power_distribution_ac_input_switchgear_surge_arrestor_cartridge,surge_arrestor_cartridge,surge arrestor cartridge,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
power_distribution_ac_input_switchgear_input_terminal_shroud,input_terminal_shroud,input terminal shroud,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
power_distribution_dc_output_switchgear_dc_output_contactor_set,dc_output_contactor_set,DC output contactor set,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
power_distribution_dc_output_switchgear_precharge_resistor_module,precharge_resistor_module,precharge resistor module,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
power_distribution_dc_output_switchgear_dc_output_fuse_carrier,dc_output_fuse_carrier,DC output fuse carrier,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
power_distribution_dc_output_switchgear_output_polarity_label,output_polarity_label,output polarity label,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
power_distribution_billing_metering_branch_mid_energy_meter,mid_energy_meter,MID energy meter,2,sensing_instrumentation_energy_metering_mid_energy_meter,canonical_review_required,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Resolve duplicate component identity before sourcing: decide whether this is one shared physical item or separate allocated lines.
power_distribution_billing_metering_branch_meter_ct_shunt_set,meter_ct_shunt_set,meter CT shunt set,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
power_distribution_billing_metering_branch_meter_seal_kit,meter_seal_kit,meter seal kit,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
power_distribution_billing_metering_branch_meter_calibration_label,meter_calibration_label,meter calibration label,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_rectifier_power_modules_power_module_stack,power_module_stack,Power module stack,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
energy_conversion_transduction_rectifier_power_modules_power_module_backplane,power_module_backplane,power module backplane,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_rectifier_power_modules_module_locking_rail,module_locking_rail,module locking rail,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_rectifier_power_modules_dc_link_capacitor_bank,dc_link_capacitor_bank,DC-link capacitor bank,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_output_filtering_dc_output_choke,dc_output_choke,DC output choke,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_output_filtering_emi_filter_assembly,emi_filter_assembly,EMI filter assembly,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_output_filtering_snubber_network_board,snubber_network_board,snubber network board,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_output_filtering_thermal_interface_pad_set,thermal_interface_pad_set,thermal interface pad set,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_converter_supervision_module_health_monitor_board,module_health_monitor_board,module health monitor board,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_converter_supervision_heatsink_temperature_probe,heatsink_temperature_probe,heatsink temperature probe,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_converter_supervision_fan_coolant_derating_table,fan_coolant_derating_table,fan/coolant derating table,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_conversion_transduction_converter_supervision_firmware_recovery_jumper,firmware_recovery_jumper,firmware recovery jumper,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
charging_connector_interface_ccs2_cable_connector_ccs2_liquid_cooled_cable_and_connector,ccs2_liquid_cooled_cable_and_connector,CCS2 liquid-cooled cable and connector,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
