rowType,id,moduleId,moduleName,subModuleId,subModuleName,componentWordId,label,status,interfaces,componentWordIds,criticalComponentWordIds,duplicateComponentWordIds,blockers,requiredAction
submodule,power_distribution:ac_input_switchgear,power_distribution,AC Input And DC Output Distribution,ac_input_switchgear,AC input switchgear,,,ready,ac_input_bus; protective_earth; service_access,ac_input_breaker_and_spd; lockable_ac_isolator; surge_arrestor_cartridge; input_terminal_shroud,ac_input_breaker_and_spd,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:dc_output_switchgear,power_distribution,AC Input And DC Output Distribution,dc_output_switchgear,DC output switchgear,,,ready,dc_output_bus; control_bus; protective_earth,dc_output_contactor_set; precharge_resistor_module; dc_output_fuse_carrier; output_polarity_label,dc_output_contactor_set,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:billing_metering_branch,power_distribution,AC Input And DC Output Distribution,billing_metering_branch,Billing metering branch,,,review,metering_bus; dc_output_bus; service_access,mid_energy_meter; meter_ct_shunt_set; meter_seal_kit; meter_calibration_label,mid_energy_meter,mid_energy_meter,,Resolve duplicate component identity before sourcing: mid_energy_meter.
submodule,energy_conversion_transduction:rectifier_power_modules,energy_conversion_transduction,Power Conversion Stack,rectifier_power_modules,Rectifier power modules,,,ready,ac_input_bus; dc_output_bus; coolant_loop; control_bus,power_module_stack; power_module_backplane; module_locking_rail; dc_link_capacitor_bank,power_module_stack,,,Submodule has component candidates and no allocation blocker.
submodule,energy_conversion_transduction:output_filtering,energy_conversion_transduction,Power Conversion Stack,output_filtering,Output filtering,,,ready,dc_output_bus; protective_earth,dc_output_choke; emi_filter_assembly; snubber_network_board; thermal_interface_pad_set,,,,Submodule has component candidates and no allocation blocker.
submodule,energy_conversion_transduction:converter_supervision,energy_conversion_transduction,Power Conversion Stack,converter_supervision,Converter supervision,,,ready,control_bus; sensor_bus; coolant_loop,module_health_monitor_board; heatsink_temperature_probe; fan_coolant_derating_table; firmware_recovery_jumper,,,,Submodule has component candidates and no allocation blocker.
submodule,charging_connector_interface:ccs2_cable_connector,charging_connector_interface,Vehicle Charging Interface,ccs2_cable_connector,CCS2 cable connector,,,ready,dc_output_bus; ccs2_vehicle_interface; control_pilot; protective_earth,ccs2_liquid_cooled_cable_and_connector; connector_temperature_sensor_pair; proximity_pilot_resistor_set; cable_strain_relief_boot,ccs2_liquid_cooled_cable_and_connector,,,Submodule has component candidates and no allocation blocker.
submodule,charging_connector_interface:connector_cooling_coupling,charging_connector_interface,Vehicle Charging Interface,connector_cooling_coupling,Connector cooling coupling,,,ready,coolant_loop; ccs2_vehicle_interface; service_access,liquid_cooled_cable_manifold; quick_connect_coolant_coupler; coolant_leak_catch_tray; cable_coolant_temperature_probe,,,,Submodule has component candidates and no allocation blocker.
submodule,charging_connector_interface:vehicle_communication_frontend,charging_connector_interface,Vehicle Charging Interface,vehicle_communication_frontend,Vehicle communication frontend,,,review,iso15118_plc; control_pilot; control_bus,iso_15118_plc_modem; control_pilot_interface_board; proximity_detection_input; vehicle_comms_isolation_transformer,iso_15118_plc_modem,iso_15118_plc_modem,,Resolve duplicate component identity before sourcing: iso_15118_plc_modem.
submodule,control_compute_communication:charge_controller,control_compute_communication,Control Compute Communication,charge_controller,Charge controller,,,ready,control_bus; metering_bus; alarm_bus,charge_controller_pcb; safety_io_terminal_block; real_time_clock_module; nonvolatile_event_log_memory,,,,Submodule has component candidates and no allocation blocker.
