id,kind,status,basis,scope,claim,provenanceRefs,sourceRefs,reviewerEvidenceRefs,linkedRequirementIds,linkedModuleIds,linkedComponentWordIds,blocksBom,blocksPublish,nextAction
bom_source_field:control_compute_communication_environmental_controller_environmental_controller:manufacturer,bom_source_field,source_required,assumption,Environmental controller / manufacturer,manufacturer is required but not source-backed.,,,,,control_compute_communication,environmental_controller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_environmental_controller_environmental_controller:mpn,bom_source_field,source_required,assumption,Environmental controller / mpn,mpn is required but not source-backed.,,,,,control_compute_communication,environmental_controller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_environmental_controller_environmental_controller:supplier,bom_source_field,source_required,assumption,Environmental controller / supplier,supplier is required but not source-backed.,,,,,control_compute_communication,environmental_controller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_environmental_controller_environmental_controller:unit_cost_gbp,bom_source_field,source_required,assumption,Environmental controller / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,control_compute_communication,environmental_controller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_canopy_air_mixing_air_circulation_fans:manufacturer,bom_source_field,source_required,assumption,Air circulation fans / manufacturer,manufacturer is required but not source-backed.,,,,,environmental_interface,air_circulation_fans,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_canopy_air_mixing_air_circulation_fans:mpn,bom_source_field,source_required,assumption,Air circulation fans / mpn,mpn is required but not source-backed.,,,,,environmental_interface,air_circulation_fans,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_canopy_air_mixing_air_circulation_fans:supplier,bom_source_field,source_required,assumption,Air circulation fans / supplier,supplier is required but not source-backed.,,,,,environmental_interface,air_circulation_fans,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_canopy_air_mixing_air_circulation_fans:unit_cost_gbp,bom_source_field,source_required,assumption,Air circulation fans / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,environmental_interface,air_circulation_fans,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_co2_enrichment_co2_sensor_or_dosing:manufacturer,bom_source_field,source_required,assumption,CO2 sensor or dosing / manufacturer,manufacturer is required but not source-backed.,,,,,environmental_interface,co2_sensor_or_dosing,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_co2_enrichment_co2_sensor_or_dosing:mpn,bom_source_field,source_required,assumption,CO2 sensor or dosing / mpn,mpn is required but not source-backed.,,,,,environmental_interface,co2_sensor_or_dosing,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
