batchId,batchSequence,batchKind,batchTitle,batchStatus,itemId,closureRowId,action,priority,status,componentWordId,description,searchTerms,requiredEvidence,acceptanceCriteria,rejectionCriteria,targetOutcome,blocksProcurement,sourceArtifacts
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:1:environmental_controller,bom-close:control_compute_communication_environmental_controller_environmental_controller,collect_source_evidence,blocker,ready,environmental_controller,Environmental controller,Environmental controller; Environmental controller manufacturer part number; Environmental controller catalogue price GBP; Environmental controller datasheet; Environmental controller horticulture hydroponic; Environmental controller food safe,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:2:air_circulation_fans,bom-close:environmental_interface_canopy_air_mixing_air_circulation_fans,collect_source_evidence,blocker,ready,air_circulation_fans,Air circulation fans,Air circulation fans; Air circulation fans manufacturer part number; Air circulation fans catalogue price GBP; Air circulation fans datasheet; Air circulation fans horticulture hydroponic; Air circulation fans food safe,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:3:co2_sensor_or_dosing,bom-close:environmental_interface_co2_enrichment_co2_sensor_or_dosing,collect_source_evidence,blocker,ready,co2_sensor_or_dosing,CO2 sensor or dosing,CO2 sensor or dosing; CO2 sensor or dosing manufacturer part number; CO2 sensor or dosing catalogue price GBP; CO2 sensor or dosing datasheet; CO2 sensor or dosing horticulture hydroponic; CO2 sensor or dosing food safe,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:4:led_grow_lights,bom-close:environmental_interface_horticultural_lighting_led_grow_lights,collect_source_evidence,blocker,ready,led_grow_lights,LED grow lights,LED grow lights; LED grow lights manufacturer part number; LED grow lights catalogue price GBP; LED grow lights datasheet; LED grow lights horticulture hydroponic; LED grow lights food safe,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:5:nutrient_pump,bom-close:mass_fluid_transport_process_fertigation_pumping_nutrient_pump,collect_source_evidence,blocker,ready,nutrient_pump,Nutrient pump,Nutrient pump; Nutrient pump manufacturer part number; Nutrient pump catalogue price GBP; Nutrient pump datasheet; Nutrient pump horticulture hydroponic; Nutrient pump food safe,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:6:reservoir_and_plumbing_set,bom-close:mass_fluid_transport_process_reservoir_plumbing_reservoir_and_plumbing_set,collect_source_evidence,blocker,ready,reservoir_and_plumbing_set,Reservoir and plumbing set,Reservoir and plumbing set; Reservoir and plumbing set manufacturer part number; Reservoir and plumbing set catalogue price GBP; Reservoir and plumbing set datasheet; Reservoir and plumbing set horticulture hydroponic; Reservoir and plumbing set food safe,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:7:rcd_isolator_panel,bom-close:power_distribution_mains_panel_rcd_isolator_panel,collect_source_evidence,blocker,ready,rcd_isolator_panel,RCD isolator panel,RCD isolator panel; RCD isolator panel manufacturer part number; RCD isolator panel catalogue price GBP; RCD isolator panel datasheet; RCD isolator panel horticulture hydroponic; RCD isolator panel food safe,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:8:growing_rack_structure,bom-close:structure_containment_growing_rack_stack_growing_rack_structure,collect_source_evidence,blocker,ready,growing_rack_structure,Growing rack structure,Growing rack structure; Growing rack structure manufacturer part number; Growing rack structure catalogue price GBP; Growing rack structure datasheet; Growing rack structure horticulture hydroponic; Growing rack structure food safe,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:6:candidate_sourcing_deferred,6,candidate_sourcing_deferred,Defer Candidate-Only Sourcing,deferred,candidate_sourcing_deferred:1:analog_input_module,bom-close:control_compute_communication_environmental_controller_analog_input_module,defer_candidate_sourcing,minor,deferred,analog_input_module,analog input module,analog input module; analog input module manufacturer part number; analog input module catalogue price GBP; analog input module datasheet; analog input module horticulture hydroponic; analog input module food safe,no immediate evidence required unless this candidate is promoted to procurement scope,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,candidate remains out of procurement totals,no,*.sourcing-pack.csv; *.bom-evidence-trace.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:6:candidate_sourcing_deferred,6,candidate_sourcing_deferred,Defer Candidate-Only Sourcing,deferred,candidate_sourcing_deferred:2:din_rail_plc,bom-close:control_compute_communication_environmental_controller_din_rail_plc,defer_candidate_sourcing,minor,deferred,din_rail_plc,DIN-rail PLC,DIN-rail PLC; DIN-rail PLC manufacturer part number; DIN-rail PLC catalogue price GBP; DIN-rail PLC datasheet; DIN-rail PLC horticulture hydroponic; DIN-rail PLC food safe,no immediate evidence required unless this candidate is promoted to procurement scope,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,candidate remains out of procurement totals,no,*.sourcing-pack.csv; *.bom-evidence-trace.csv; *.bom-evidence-closure-plan.csv
