lineId,componentWordId,description,critical,field,value,status,sourceRef,sourceQuote,retrievedAt,nextAction
energy_storage_source_cell_string_lfp_prismatic_cells,lfp_prismatic_cells,LFP prismatic cells,true,supplier,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
energy_storage_source_cell_string_lfp_prismatic_cells,lfp_prismatic_cells,LFP prismatic cells,true,manufacturer,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
energy_storage_source_cell_string_lfp_prismatic_cells,lfp_prismatic_cells,LFP prismatic cells,true,mpn,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
energy_storage_source_cell_string_lfp_prismatic_cells,lfp_prismatic_cells,LFP prismatic cells,true,unit_cost_gbp,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
energy_storage_source_cell_string_lfp_prismatic_cells,lfp_prismatic_cells,LFP prismatic cells,true,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
energy_storage_source_cell_string_cell_to_cell_busbar,cell_to_cell_busbar,cell-to-cell busbar,false,supplier,,not_claimed,,,,No claim is made for this field yet.
energy_storage_source_cell_string_cell_to_cell_busbar,cell_to_cell_busbar,cell-to-cell busbar,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
energy_storage_source_cell_string_cell_to_cell_busbar,cell_to_cell_busbar,cell-to-cell busbar,false,mpn,,not_claimed,,,,No claim is made for this field yet.
energy_storage_source_cell_string_cell_to_cell_busbar,cell_to_cell_busbar,cell-to-cell busbar,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
energy_storage_source_cell_string_cell_to_cell_busbar,cell_to_cell_busbar,cell-to-cell busbar,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
energy_storage_source_cell_string_cell_terminal_hardware_set,cell_terminal_hardware_set,cell terminal hardware set,false,supplier,,not_claimed,,,,No claim is made for this field yet.
energy_storage_source_cell_string_cell_terminal_hardware_set,cell_terminal_hardware_set,cell terminal hardware set,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
energy_storage_source_cell_string_cell_terminal_hardware_set,cell_terminal_hardware_set,cell terminal hardware set,false,mpn,,not_claimed,,,,No claim is made for this field yet.
energy_storage_source_cell_string_cell_terminal_hardware_set,cell_terminal_hardware_set,cell terminal hardware set,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
energy_storage_source_cell_string_cell_terminal_hardware_set,cell_terminal_hardware_set,cell terminal hardware set,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
energy_storage_source_cell_string_cell_insulation_pad,cell_insulation_pad,cell insulation pad,false,supplier,,not_claimed,,,,No claim is made for this field yet.
energy_storage_source_cell_string_cell_insulation_pad,cell_insulation_pad,cell insulation pad,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
