rowType,id,moduleId,moduleName,subModuleId,subModuleName,componentWordId,label,status,interfaces,componentWordIds,criticalComponentWordIds,duplicateComponentWordIds,blockers,requiredAction
submodule,energy_conversion_transduction:compressor_inverter_stage,energy_conversion_transduction,Refrigerant Energy Conversion,compressor_inverter_stage,Compressor inverter stage,,,ready,refrigerant_loop; control_bus; protective_earth,inverter_scroll_compressor; compressor_inverter_drive; compressor_mounting_grommet_set; crankcase_heater_band,inverter_scroll_compressor,,,Submodule has component candidates and no allocation blocker.
submodule,energy_conversion_transduction:expansion_metering_stage,energy_conversion_transduction,Refrigerant Energy Conversion,expansion_metering_stage,Expansion metering stage,,,ready,refrigerant_loop; control_bus; service_access,electronic_expansion_valve; eev_stepper_harness; liquid_line_filter_drier; sight_glass_indicator,electronic_expansion_valve,,,Submodule has component candidates and no allocation blocker.
submodule,energy_conversion_transduction:refrigerant_manifold,energy_conversion_transduction,Refrigerant Energy Conversion,refrigerant_manifold,Refrigerant manifold,,,ready,refrigerant_loop; service_access,copper_refrigerant_tube_set; service_valve_pair; brazed_joint_sleeve_set; refrigerant_charge_label,,,,Submodule has component candidates and no allocation blocker.
submodule,energy_conversion_transduction:condenser_coupling_boundary,energy_conversion_transduction,Refrigerant Energy Conversion,condenser_coupling_boundary,Condenser coupling boundary,,,ready,refrigerant_loop; hydronic_loop; sensor_bus; service_access,refrigerant_stub_out_pair; hydronic_stub_out_pair; plate_heat_exchanger_mounting_bracket; condenser_insulation_sleeve,,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:outdoor_evaporator,environmental_interface,Outdoor Air Interface,outdoor_evaporator,Outdoor evaporator,,,ready,refrigerant_loop; airflow_path; sensor_bus,outdoor_finned_evaporator_coil; coil_temperature_sensor; coil_guard_grille; hydrophilic_fin_coating,outdoor_finned_evaporator_coil,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:fan_air_path,environmental_interface,Outdoor Air Interface,fan_air_path,Fan air path,,,ready,airflow_path; control_bus; protective_earth,variable_speed_fan_assembly; ec_fan_motor_controller; fan_shroud; inlet_debris_screen,variable_speed_fan_assembly,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:defrost_condensate,environmental_interface,Outdoor Air Interface,defrost_condensate,Defrost and condensate path,,,ready,condensate_drain; sensor_bus; service_access,condensate_drain_tray; trace_heater_cable; defrost_temperature_probe; drain_hose_barb,,,,Submodule has component candidates and no allocation blocker.
submodule,mass_fluid_transport_process:condenser_heat_exchanger,mass_fluid_transport_process,Hydronic Heat Delivery,condenser_heat_exchanger,Condenser heat exchanger,,,ready,refrigerant_loop; hydronic_loop; sensor_bus,brazed_plate_heat_exchanger; plate_exchanger_insulation_jacket; water_outlet_temperature_sensor; refrigerant_outlet_temperature_sensor,brazed_plate_heat_exchanger,,,Submodule has component candidates and no allocation blocker.
submodule,mass_fluid_transport_process:circulation_pump_group,mass_fluid_transport_process,Hydronic Heat Delivery,circulation_pump_group,Circulation pump group,,,ready,hydronic_loop; control_bus; protective_earth,hydronic_circulation_pump; pump_isolation_valve_pair; flow_proving_switch; strainer_filter,hydronic_circulation_pump,,,Submodule has component candidates and no allocation blocker.
submodule,mass_fluid_transport_process:hydronic_safety_group,mass_fluid_transport_process,Hydronic Heat Delivery,hydronic_safety_group,Hydronic safety group,,,ready,hydronic_loop; pressure_relief; service_access,hydronic_safety_valve_kit; expansion_vessel; automatic_air_vent; fill_and_drain_valve_set,hydronic_safety_valve_kit,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:main_controller,control_compute_communication,Control Compute Communication,main_controller,Main controller,,,ready,control_bus; sensor_bus; service_port,heat_pump_controller_pcb; controller_enclosure; real_time_clock_module; non_volatile_fault_memory,heat_pump_controller_pcb,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:power_driver_io,control_compute_communication,Control Compute Communication,power_driver_io,Power driver IO,,,ready,control_bus; protective_earth; alarm_bus,compressor_contactor; pump_relay_output; fan_pwm_output_board; safety_chain_input_terminal,,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:service_communications,control_compute_communication,Control Compute Communication,service_communications,Service communications,,,ready,service_port; sensor_bus,modbus_service_port; usb_commissioning_adapter; fault_led_stack; installer_qr_code_label,,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:refrigerant_sensing,sensing_instrumentation,Sensing Instrumentation,refrigerant_sensing,Refrigerant sensing,,,ready,sensor_bus; refrigerant_loop,refrigerant_sensor_and_pressure_transducers; suction_temperature_probe; discharge_temperature_probe; refrigerant_leak_sensor,refrigerant_sensor_and_pressure_transducers,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:water_sensing,sensing_instrumentation,Sensing Instrumentation,water_sensing,Water sensing,,,ready,sensor_bus; hydronic_loop,flow_temperature_sensor; return_temperature_sensor; flow_meter_cartridge; water_pressure_transducer,,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:ambient_sensing,sensing_instrumentation,Sensing Instrumentation,ambient_sensing,Ambient sensing,,,ready,sensor_bus; airflow_path,ambient_temperature_sensor; ambient_humidity_sensor; air_pressure_switch; rain_ingress_sensor,,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:mains_input_protection,power_distribution,Electrical Power Distribution,mains_input_protection,Mains input protection,,,ready,mains_supply; protective_earth; service_access,lockable_isolator_switch; mcb_breaker_set; rcd_protection_device; surge_protection_device,,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:internal_power_rails,power_distribution,Electrical Power Distribution,internal_power_rails,Internal power rails,,,ready,mains_supply; control_bus; protective_earth,24_v_dc_power_supply; terminal_rail_assembly; fused_auxiliary_terminal; protective_earth_bar,,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:cable_management,power_distribution,Electrical Power Distribution,cable_management,Cable management,,,ready,service_access; sensor_bus; control_bus,segregated_cable_duct; ip_rated_cable_gland_set; emc_ferrite_clamp_set; wiring_diagram_label,,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:weatherproof_cabinet,structure_containment,Monobloc Structure And Containment,weatherproof_cabinet,Weatherproof cabinet,,,ready,airflow_path; service_access; protective_earth,galvanised_steel_cabinet; powder_coated_access_panel; epdm_door_gasket; ip_rated_fastener_set,,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:mounting_base,structure_containment,Monobloc Structure And Containment,mounting_base,Mounting base,,,ready,mechanical_mounts; condensate_drain,anti_vibration_foot_set; base_rail_pair; condensate_fall_spacer; lifting_lug_set,,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:service_access_panels,structure_containment,Monobloc Structure And Containment,service_access_panels,Service access panels,,,ready,service_access,removable_service_panel; hinged_controller_cover; quarter_turn_latch_set; service_clearance_label,,,,Submodule has component candidates and no allocation blocker.
